LeagueId;Round;MatchDate;PredictionDate;Home;Away;Band;HistoricalStatus;Postponed;SourceFile
Australia_NPLNSW;27;2026-08-01;2026-07-31;WS Wanderers U21;UNSW;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLNorthernNSW;22;2026-08-01;2026-07-31;Adamstown Rosebud;Valentine;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLQueensland;24;2026-08-01;2026-07-31;Gold Coast;Gold Coast Knights;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLQueensland;24;2026-08-01;2026-07-31;Queensland Lions;Peninsula;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLQueenslandU23;22;2026-08-01;2026-07-31;Gold Coast Blaze U23;Gold Coast Knights U23;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLQueenslandU23;22;2026-08-01;2026-07-31;Queensland Lions U23;Peninsula U23;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLQueenslandU23;22;2026-08-01;2026-07-31;Rochedale U23;Eastern Suburbs U23;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLQueenslandU23;22;2026-08-01;2026-07-31;Wynnum Wolves U23;Brisbane City U23;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLSouthAustralia;22;2026-08-01;2026-07-31;FK Beograd;Croydon;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLSouthAustralia;22;2026-08-01;2026-07-31;NE Metrostars;Adelaide United U23;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLSouthAustralia;22;2026-08-01;2026-07-31;Playford Patriots;West Torrens;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLSouthAustralia;22;2026-08-01;2026-07-31;Sturt Lions;Adelaide Comets;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLSouthAustralia;22;2026-08-01;2026-07-31;West Adelaide;Para;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLTasmania;20;2026-08-01;2026-07-31;Glenorchy Knights;Devonport;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLTasmania;20;2026-08-01;2026-07-31;Kingborough Lions;Launceston United;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLTasmania;20;2026-08-01;2026-07-31;South East Utd.;Riverside Olympic;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLTasmania;20;2026-08-01;2026-07-31;South Hobart;Launceston;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLVictoria;25;2026-08-01;2026-07-31;Altona Magic;George Cross;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLVictoria;25;2026-08-01;2026-07-31;Avondale FC;Heidelberg;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLVictoria;25;2026-08-01;2026-07-31;Dandenong Thunder;Dandenong City;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLVictoria;25;2026-08-01;2026-07-31;Hume City;Melbourne City U21;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Australia_NPLWesternAustralia;22;2026-08-01;2026-07-31;Balcatta;Armadale;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
