Adjustment;Occurrences;OK;KO;Precision;AverageLevel
StrongDefense;21;11;10;52.381;1.4286
RecentForm;6;3;3;50.0;1.0
Restart;4;3;1;75.0;1.0
StrongAttackBonus;0;0;0;0.0;0.0
RecentFormBonus;0;0;0;0.0;0.0
RestartBonus;0;0;0;0.0;0.0
