ConfigurationId;StrongDefenseWeight;RecentFormWeight;RestartWeight;MaxTotalPenalty;StrongAttackBonusWeight;RecentFormBonusWeight;RestartBonusWeight;BaselineAltaOK;BaselineAltaKO;BaselineAltaTotal;BaselineAltaPrecision;SimulatedAltaOK;SimulatedAltaKO;SimulatedAltaTotal;SimulatedAltaPrecision;AltaCoverage;AltaKOAvoided;AltaOKLost;ProtectiveBalance;AltaOKPromoted;AltaKOPromoted;PromotionBalance;ObjectiveScore
51;0.0;1.0;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
52;0.0;1.0;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
53;0.0;1.0;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
54;0.0;1.0;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
55;0.0;1.0;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
56;0.0;1.0;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
57;0.0;1.0;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
58;0.0;1.0;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
59;0.0;1.0;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
60;0.0;1.0;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
61;0.0;1.0;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
62;0.0;1.0;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
63;0.0;1.0;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
64;0.0;1.0;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
65;0.0;1.0;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
66;0.0;1.0;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
67;0.0;1.0;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
68;0.0;1.0;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
69;0.0;1.0;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
70;0.0;1.0;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
76;0.0;1.5;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
77;0.0;1.5;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
78;0.0;1.5;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
79;0.0;1.5;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
80;0.0;1.5;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
81;0.0;1.5;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
82;0.0;1.5;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
83;0.0;1.5;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
84;0.0;1.5;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
85;0.0;1.5;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
86;0.0;1.5;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
87;0.0;1.5;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
88;0.0;1.5;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
89;0.0;1.5;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
90;0.0;1.5;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
91;0.0;1.5;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
92;0.0;1.5;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
93;0.0;1.5;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
94;0.0;1.5;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
95;0.0;1.5;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
101;0.0;2.0;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
102;0.0;2.0;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
103;0.0;2.0;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
104;0.0;2.0;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
105;0.0;2.0;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
106;0.0;2.0;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
107;0.0;2.0;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
108;0.0;2.0;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
109;0.0;2.0;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
110;0.0;2.0;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
111;0.0;2.0;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
112;0.0;2.0;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
113;0.0;2.0;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
114;0.0;2.0;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
115;0.0;2.0;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
116;0.0;2.0;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
117;0.0;2.0;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
118;0.0;2.0;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
119;0.0;2.0;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
120;0.0;2.0;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
176;0.5;1.0;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
177;0.5;1.0;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
178;0.5;1.0;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
179;0.5;1.0;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
180;0.5;1.0;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
181;0.5;1.0;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
182;0.5;1.0;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
183;0.5;1.0;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
184;0.5;1.0;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
185;0.5;1.0;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
186;0.5;1.0;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
187;0.5;1.0;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
188;0.5;1.0;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
189;0.5;1.0;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
190;0.5;1.0;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
191;0.5;1.0;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
192;0.5;1.0;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
193;0.5;1.0;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
194;0.5;1.0;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
195;0.5;1.0;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
201;0.5;1.5;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
202;0.5;1.5;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
203;0.5;1.5;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
204;0.5;1.5;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
205;0.5;1.5;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
206;0.5;1.5;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
207;0.5;1.5;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
208;0.5;1.5;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
209;0.5;1.5;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
210;0.5;1.5;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
211;0.5;1.5;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
212;0.5;1.5;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
213;0.5;1.5;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
214;0.5;1.5;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
215;0.5;1.5;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
216;0.5;1.5;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
217;0.5;1.5;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
218;0.5;1.5;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
219;0.5;1.5;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
220;0.5;1.5;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
226;0.5;2.0;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
227;0.5;2.0;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
228;0.5;2.0;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
229;0.5;2.0;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
230;0.5;2.0;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
231;0.5;2.0;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
232;0.5;2.0;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
233;0.5;2.0;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
234;0.5;2.0;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
235;0.5;2.0;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
236;0.5;2.0;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
237;0.5;2.0;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
238;0.5;2.0;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
239;0.5;2.0;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
240;0.5;2.0;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
241;0.5;2.0;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
242;0.5;2.0;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
243;0.5;2.0;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
244;0.5;2.0;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
245;0.5;2.0;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
301;1.0;1.0;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
302;1.0;1.0;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
303;1.0;1.0;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
304;1.0;1.0;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
305;1.0;1.0;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
306;1.0;1.0;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
307;1.0;1.0;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
308;1.0;1.0;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
309;1.0;1.0;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
310;1.0;1.0;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
311;1.0;1.0;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
312;1.0;1.0;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
313;1.0;1.0;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
314;1.0;1.0;1.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
315;1.0;1.0;1.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
316;1.0;1.0;1.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
317;1.0;1.0;1.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
318;1.0;1.0;1.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
319;1.0;1.0;1.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
320;1.0;1.0;1.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
326;1.0;1.5;0.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
327;1.0;1.5;0.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
328;1.0;1.5;0.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
329;1.0;1.5;0.0;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
330;1.0;1.5;0.0;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
331;1.0;1.5;0.5;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
332;1.0;1.5;0.5;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
333;1.0;1.5;0.5;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
334;1.0;1.5;0.5;5.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
335;1.0;1.5;0.5;6.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
336;1.0;1.5;1.0;2.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
337;1.0;1.5;1.0;3.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
338;1.0;1.5;1.0;4.0;0.0;0.0;0.0;48;23;71;67.6056;48;22;70;68.5714;98.5915;1;0;1;0;0;0;1784.3058
