Scope;Name;OK;KO;N;Rate;LeagueId
LEAGUE;V30;3;1;4;75.0;Australia_NPLACT
LEAGUE;V31;6;0;6;100.0;Australia_NPLACT
LEAGUE;V31_ONLY;3;0;3;100.0;Australia_NPLACT
LEAGUE;V31;1;0;1;100.0;Australia_NPLNorthernNSW
LEAGUE;V31_ONLY;1;0;1;100.0;Australia_NPLNorthernNSW
LEAGUE;V30;1;0;1;100.0;Australia_NPLQueensland
LEAGUE;V31;3;0;3;100.0;Australia_NPLQueensland
LEAGUE;V31_ONLY;2;0;2;100.0;Australia_NPLQueensland
LEAGUE;V31;1;0;1;100.0;Australia_NPLQueenslandU23
LEAGUE;V31_ONLY;1;0;1;100.0;Australia_NPLQueenslandU23
LEAGUE;V30;1;0;1;100.0;Australia_NPLSouthAustralia
LEAGUE;V31;0;2;2;0.0;Australia_NPLSouthAustralia
LEAGUE;V31_ONLY;0;2;2;0.0;Australia_NPLSouthAustralia
LEAGUE;V30;2;0;2;100.0;Australia_NPLTasmania
LEAGUE;V31;3;1;4;75.0;Australia_NPLTasmania
LEAGUE;V31_ONLY;1;1;2;50.0;Australia_NPLTasmania
LEAGUE;V30;1;0;1;100.0;Australia_NPL_NSW_U20
LEAGUE;V31;2;0;2;100.0;Australia_NPL_NSW_U20
LEAGUE;V31_ONLY;1;0;1;100.0;Australia_NPL_NSW_U20
LEAGUE;V30;1;0;1;100.0;Australia_NSWLeagueOne
LEAGUE;V31;1;1;2;50.0;Australia_NSWLeagueOne
LEAGUE;V31_ONLY;0;1;1;0.0;Australia_NSWLeagueOne
LEAGUE;V31;1;0;1;100.0;Australia_NorthernNSWStateLeague
LEAGUE;V31_ONLY;1;0;1;100.0;Australia_NorthernNSWStateLeague
LEAGUE;V30;2;1;3;66.67;Australia_SAStateLeague
LEAGUE;V31;2;2;4;50.0;Australia_SAStateLeague
LEAGUE;V31_ONLY;1;1;2;50.0;Australia_SAStateLeague
LEAGUE;V30;2;0;2;100.0;Australia_TasmaniaNorthernChampionship
LEAGUE;V31;5;0;5;100.0;Australia_TasmaniaNorthernChampionship
LEAGUE;V31_ONLY;4;0;4;100.0;Australia_TasmaniaNorthernChampionship
LEAGUE;V30;1;0;1;100.0;Australia_TasmaniaSouthernChampionship
LEAGUE;V31;7;1;8;87.5;Australia_TasmaniaSouthernChampionship
LEAGUE;V31_ONLY;6;1;7;85.71;Australia_TasmaniaSouthernChampionship
LEAGUE;V31;3;1;4;75.0;Australia_VictoriaPremierLeague
LEAGUE;V31_ONLY;3;1;4;75.0;Australia_VictoriaPremierLeague
LEAGUE;V31;1;0;1;100.0;Australia_VictoriaPremierLeague2
LEAGUE;V31_ONLY;1;0;1;100.0;Australia_VictoriaPremierLeague2
LEAGUE;V30;2;0;2;100.0;Australia_WAStateLeague
LEAGUE;V31;3;0;3;100.0;Australia_WAStateLeague
LEAGUE;V31_ONLY;1;0;1;100.0;Australia_WAStateLeague
LEAGUE;V30;1;1;2;50.0;Belarus_PershayaLiga
LEAGUE;V30;1;0;1;100.0;Bolivia_DivisionProfesional
LEAGUE;V31;1;0;1;100.0;Bolivia_DivisionProfesional
LEAGUE;V30;1;0;1;100.0;Bulgaria_ParvaLiga
LEAGUE;V30;1;0;1;100.0;CzechRepublic_ChNL
LEAGUE;V31;1;0;1;100.0;CzechRepublic_ChNL
LEAGUE;V31_ONLY;1;0;1;100.0;CzechRepublic_ChNL
LEAGUE;V31;0;1;1;0.0;Denmark_1stDivision
LEAGUE;V31_ONLY;0;1;1;0.0;Denmark_1stDivision
LEAGUE;V31;0;1;1;0.0;Denmark_Superliga
LEAGUE;V31_ONLY;0;1;1;0.0;Denmark_Superliga
LEAGUE;V30;2;0;2;100.0;Estonia_Esiliiga
LEAGUE;V31;2;2;4;50.0;Estonia_Esiliiga
LEAGUE;V31_ONLY;0;2;2;0.0;Estonia_Esiliiga
LEAGUE;V30;2;0;2;100.0;Estonia_EsiliigaB
LEAGUE;V31;4;0;4;100.0;Estonia_EsiliigaB
LEAGUE;V31_ONLY;2;0;2;100.0;Estonia_EsiliigaB
LEAGUE;V30;4;0;4;100.0;Estonia_MeistriliigaWomen
LEAGUE;V31;3;0;3;100.0;Estonia_MeistriliigaWomen
LEAGUE;V31_ONLY;1;0;1;100.0;Estonia_MeistriliigaWomen
LEAGUE;V30;1;0;1;100.0;FaroeIslands_1Deild
LEAGUE;V31;4;0;4;100.0;FaroeIslands_1Deild
LEAGUE;V31_ONLY;4;0;4;100.0;FaroeIslands_1Deild
LEAGUE;V30;1;0;1;100.0;Finland_Kakkonen_GroupA
LEAGUE;V31;1;0;1;100.0;Finland_Kakkonen_GroupA
LEAGUE;V30;1;0;1;100.0;Finland_Kakkonen_GroupB
LEAGUE;V31;1;0;1;100.0;Finland_Kakkonen_GroupB
LEAGUE;V30;2;1;3;66.67;Finland_Kakkonen_GroupC
LEAGUE;V31;5;2;7;71.43;Finland_Kakkonen_GroupC
LEAGUE;V31_ONLY;3;1;4;75.0;Finland_Kakkonen_GroupC
LEAGUE;V31;5;0;5;100.0;Finland_Kolmonen_Eastern_Group1
LEAGUE;V31_ONLY;5;0;5;100.0;Finland_Kolmonen_Eastern_Group1
LEAGUE;V30;2;0;2;100.0;Finland_Kolmonen_Eastern_Group2
LEAGUE;V31;2;0;2;100.0;Finland_Kolmonen_Eastern_Group2
LEAGUE;V30;2;0;2;100.0;Finland_Kolmonen_Eastern_Group3
LEAGUE;V31;3;0;3;100.0;Finland_Kolmonen_Eastern_Group3
LEAGUE;V31_ONLY;1;0;1;100.0;Finland_Kolmonen_Eastern_Group3
LEAGUE;V30;4;0;4;100.0;Finland_Kolmonen_North
LEAGUE;V31;6;0;6;100.0;Finland_Kolmonen_North
LEAGUE;V31_ONLY;3;0;3;100.0;Finland_Kolmonen_North
LEAGUE;V30;2;0;2;100.0;Finland_Kolmonen_Southern_Group1
LEAGUE;V31;2;0;2;100.0;Finland_Kolmonen_Southern_Group1
LEAGUE;V30;2;0;2;100.0;Finland_Kolmonen_Southern_Group2
