Profile;OriginalBand;NewBand;Outcome;Matches
BALANCED_BONUS;ALTA;ALTA;KO;112
BALANCED_BONUS;ALTA;ALTA;OK;279
BALANCED_BONUS;ALTA;MEDIA;KO;24
BALANCED_BONUS;ALTA;MEDIA;OK;55
BALANCED_BONUS;BASSA;BASSA;KO;146
BALANCED_BONUS;BASSA;BASSA;OK;176
BALANCED_BONUS;BASSA;MEDIA;KO;10
BALANCED_BONUS;BASSA;MEDIA;OK;6
BALANCED_BONUS;MEDIA;ALTA;KO;8
BALANCED_BONUS;MEDIA;ALTA;OK;11
BALANCED_BONUS;MEDIA;BASSA;KO;32
BALANCED_BONUS;MEDIA;BASSA;OK;30
BALANCED_BONUS;MEDIA;MEDIA;KO;159
BALANCED_BONUS;MEDIA;MEDIA;OK;276
BASELINE;ALTA;ALTA;KO;136
BASELINE;ALTA;ALTA;OK;334
BASELINE;BASSA;BASSA;KO;156
BASELINE;BASSA;BASSA;OK;182
BASELINE;MEDIA;MEDIA;KO;199
BASELINE;MEDIA;MEDIA;OK;317
GRID_G1_P1_R2;ALTA;ALTA;KO;124
GRID_G1_P1_R2;ALTA;ALTA;OK;312
GRID_G1_P1_R2;ALTA;MEDIA;KO;12
GRID_G1_P1_R2;ALTA;MEDIA;OK;22
GRID_G1_P1_R2;BASSA;BASSA;KO;156
GRID_G1_P1_R2;BASSA;BASSA;OK;182
GRID_G1_P1_R2;MEDIA;BASSA;KO;13
GRID_G1_P1_R2;MEDIA;BASSA;OK;12
GRID_G1_P1_R2;MEDIA;MEDIA;KO;186
GRID_G1_P1_R2;MEDIA;MEDIA;OK;305
GRID_G1_P1_R4;ALTA;ALTA;KO;124
GRID_G1_P1_R4;ALTA;ALTA;OK;312
GRID_G1_P1_R4;ALTA;MEDIA;KO;12
GRID_G1_P1_R4;ALTA;MEDIA;OK;22
GRID_G1_P1_R4;BASSA;BASSA;KO;156
GRID_G1_P1_R4;BASSA;BASSA;OK;182
GRID_G1_P1_R4;MEDIA;BASSA;KO;13
GRID_G1_P1_R4;MEDIA;BASSA;OK;13
GRID_G1_P1_R4;MEDIA;MEDIA;KO;186
GRID_G1_P1_R4;MEDIA;MEDIA;OK;304
GRID_G1_P1_R6;ALTA;ALTA;KO;124
GRID_G1_P1_R6;ALTA;ALTA;OK;312
GRID_G1_P1_R6;ALTA;MEDIA;KO;12
GRID_G1_P1_R6;ALTA;MEDIA;OK;22
GRID_G1_P1_R6;BASSA;BASSA;KO;156
GRID_G1_P1_R6;BASSA;BASSA;OK;182
GRID_G1_P1_R6;MEDIA;BASSA;KO;13
GRID_G1_P1_R6;MEDIA;BASSA;OK;13
GRID_G1_P1_R6;MEDIA;MEDIA;KO;186
GRID_G1_P1_R6;MEDIA;MEDIA;OK;304
GRID_G1_P2_R2;ALTA;ALTA;KO;116
GRID_G1_P2_R2;ALTA;ALTA;OK;295
GRID_G1_P2_R2;ALTA;MEDIA;KO;20
GRID_G1_P2_R2;ALTA;MEDIA;OK;39
GRID_G1_P2_R2;BASSA;BASSA;KO;156
GRID_G1_P2_R2;BASSA;BASSA;OK;182
GRID_G1_P2_R2;MEDIA;BASSA;KO;20
GRID_G1_P2_R2;MEDIA;BASSA;OK;25
GRID_G1_P2_R2;MEDIA;MEDIA;KO;179
GRID_G1_P2_R2;MEDIA;MEDIA;OK;292
GRID_G1_P2_R4;ALTA;ALTA;KO;116
GRID_G1_P2_R4;ALTA;ALTA;OK;295
GRID_G1_P2_R4;ALTA;MEDIA;KO;20
