country;league;Home;Away;PosHome;PosAway;PtsHome;PtsAway;GFHome;GSHome;GFAway;GSAway;MatchHome;WinHome;GFH10;GSH10;MatchAway;WinAway;GFA10;GSA10
Australia;Northern NSW NPL;Edgeworth E.;Lambton J.;6;5;20;21;26;24;30;22;14;8;18;18;15;6;19;12
Australia;Queensland NPL;Gold Coast Knights;Eastern Suburbs;6;4;23;28;31;18;29;17;12;7;26;11;14;6;19;10
Australia;Queensland Premier League;Robina City;Capalaba;6;11;20;7;23;19;14;40;14;7;20;14;14;8;11;31
Australia;Queensland Premier League;Logan Lightning;Holland Park Hawks;9;7;17;19;20;23;22;24;13;5;11;19;14;7;17;18
Finland;Veikkausliiga;KuPS;Ilves;3;8;24;15;19;12;19;21;13;4;14;10;12;6;17;16
Finland;Veikkausliiga;Lahti;TPS Turku;9;7;11;15;14;14;12;11;11;3;10;14;11;3;8;10
Finland;Veikkausliiga;VPS;Oulu;6;2;17;25;11;9;18;9;11;3;10;8;12;5;12;9
Finland;Veikkausliiga;Inter Turku;SJK;1;10;26;9;20;11;12;18;13;4;14;7;11;4;10;14
Finland;Veikkausliiga;Jaro;Gnistan;11;5;7;17;10;27;17;15;12;6;10;24;11;3;16;9
Finland;Veikkausliiga;Mariehamn;HJK;12;4;4;19;6;19;21;13;11;2;4;12;12;4;13;10
Georgia;Erovnuli Liga;Iberia 1999;Meshakhte Tkibuli;2;10;31;11;25;17;12;32;18;4;13;12;18;6;8;23
Georgia;Erovnuli Liga;Din. Tbilisi;Dinamo Batumi;3;5;28;27;29;20;27;28;18;6;23;14;18;7;19;17
Kyrgyzstan;Premier League;Alga;Bars;3;5;28;23;26;11;26;10;12;6;20;10;10;8;26;10
Kyrgyzstan;Premier League;Neftchi Kochkor-Ata;Dordoi Bishkek;11;14;13;11;13;19;13;18;12;4;12;14;12;4;12;15
Russia;FNL2 Group B;Zvezda St. Peterburg;Sp. Mosca 2;9;10;12;11;10;15;11;18;11;2;8;13;12;4;7;13
