country;league;Home;Away;PosHome;PosAway;PtsHome;PtsAway;GFHome;GSHome;GFAway;GSAway;MatchHome;WinHome;GFH10;GSH10;MatchAway;WinAway;GFA10;GSA10
Iceland;Besta deild;KR Reykjavik;Akranes;2;5;25;15;38;25;13;16;11;8;32;21;10;5;10;14
Norway;3rd Division Group 4;Fana;Sogndal 2;8;4;13;18;21;20;28;13;10;8;21;20;9;6;28;13
Norway;3rd Division Group 4;Forde;Åsane 2;7;11;15;10;15;22;14;17;10;6;15;22;10;5;14;17
Norway;3rd Division Group 2;Odd 2;Flekkeroy;14;1;8;23;15;29;26;13;10;9;15;29;10;6;26;13
Norway;3rd Division Group 2;Haugesund 2;Madla IL;11;2;11;21;22;25;23;12;10;9;22;25;10;8;23;12
Sweden;Superettan;Oddevold;Ljungskile;9;13;18;12;23;19;15;16;12;7;18;15;12;4;14;15
Sweden;Superettan;Varberg;Landskrona;3;7;24;19;24;13;18;12;12;6;22;11;12;3;17;13
Sweden;Superettan;Örebro;Sandviken;12;11;13;15;10;16;19;17;12;3;9;13;12;5;16;15
Australia;NSW NPL U20;Sydney Olympic U20;Rockdale Ilinden U20;16;14;2;19;17;55;26;35;19;8;9;30;19;7;17;20
Estonia;Esiliiga;Elva;Flora U21;4;3;23;26;29;27;36;24;16;7;19;19;13;8;31;17
Estonia;Esiliiga;Maardu;Viimsi JK;9;2;16;30;19;33;26;11;15;4;14;15;15;6;17;11
Estonia;Esiliiga B;Tulevik;Tammeka U21;2;1;33;34;52;33;48;31;16;8;31;23;16;8;31;20
Estonia;Esiliiga B;Legion;Parnu JK Vaprus U21;10;5;7;26;11;60;42;35;15;7;9;29;16;8;31;25
Estonia;Esiliiga B;Levadia U19;Johvi Phoenix;7;3;23;28;39;31;42;41;16;7;28;22;16;8;30;24
Estonia;Esiliiga B;Tallinna Kalev U21;Narva U21;9;4;11;26;32;37;38;23;16;6;22;22;15;6;27;17
Ireland;Premier Division;Shelbourne;Bohemians;5;4;30;34;31;29;33;27;21;5;15;13;22;8;22;19
Ireland;Premier Division;Shamrock Rovers;Derry City;1;6;43;25;34;19;27;26;22;4;15;10;22;3;11;10
Latvia;Virsliga;RFS;Ogre United;2;10;46;7;42;14;16;42;18;8;29;11;18;5;11;27
Sweden;Division 2 Norrland;Boden;IFK Lulea;4;3;16;22;13;9;28;12;10;3;13;9;10;7;29;13
Sweden;Division 2 Sodra Svealand;Sleipner;Nykopings;4;2;24;25;24;19;22;10;12;7;22;16;12;5;18;8
Sweden;Division 2 Sodra Svealand;Syrianska;Ragsved;13;7;11;21;18;30;27;19;12;8;15;25;12;8;23;20
Norway;3rd Division Group 2;Aalesund 2;Ranheim 2;14;13;10;10;17;31;25;26;10;8;17;29;10;6;25;28
