Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU
v20def;29.00;3227;2047;1180;63.43;61.76;2569;1632;937;63.53;61.65
v20def;30.00;3208;2035;1173;63.44;61.75;2552;1620;932;63.48;61.59
v20def;31.00;3176;2019;1157;63.57;61.88;2522;1605;917;63.64;61.74
v20def;32.00;3164;2016;1148;63.72;62.03;2510;1602;908;63.82;61.93
v20def;33.00;3147;2004;1143;63.68;61.98;2493;1590;903;63.78;61.87
v20def;34.00;3109;1988;1121;63.94;62.24;2459;1576;883;64.09;62.17
v20def;35.00;3074;1967;1107;63.99;62.27;2425;1556;869;64.16;62.24
v20def;36.00;3016;1935;1081;64.16;62.43;2372;1526;846;64.33;62.38
v20def;37.00;2971;1911;1060;64.32;62.58;2335;1505;830;64.45;62.49
v20def;38.00;2916;1887;1029;64.71;62.96;2286;1484;802;64.92;62.94
v20def;39.00;2848;1848;1000;64.89;63.12;2229;1451;778;65.10;63.09
v20def;40.00;2784;1812;972;65.09;63.30;2176;1421;755;65.30;63.28
v20def;41.00;2691;1767;924;65.66;63.85;2092;1383;709;66.11;64.05
v20def;42.00;2612;1718;894;65.77;63.93;2029;1343;686;66.19;64.10
v20def;43.00;2523;1670;853;66.19;64.32;1950;1301;649;66.72;64.60
v20def;44.00;2430;1622;808;66.75;64.85;1874;1263;611;67.40;65.24
v20def;45.00;2351;1575;776;66.99;65.07;1809;1224;585;67.66;65.47
v20def;46.00;2272;1517;755;66.77;64.81;1743;1176;567;67.47;65.23
v20def;47.00;2195;1471;724;67.02;65.02;1678;1134;544;67.58;65.30
v20def;48.00;2101;1419;682;67.54;65.51;1603;1091;512;68.06;65.74
v20def;49.00;2011;1358;653;67.53;65.45;1529;1039;490;67.95;65.57
v20def;50.00;1933;1303;630;67.41;65.29;1465;994;471;67.85;65.41
v20def;51.00;1800;1225;575;68.06;65.87;1346;924;422;68.65;66.12
v20def;52.00;1716;1172;544;68.30;66.06;1282;881;401;68.72;66.13
v20def;53.00;1615;1108;507;68.61;66.30;1200;827;373;68.92;66.24
v20def;54.00;1525;1060;465;69.51;67.15;1137;793;344;69.74;67.01
v20def;55.00;1436;1003;433;69.85;67.42;1068;748;320;70.04;67.22
v20def;56.00;1328;938;390;70.63;68.13;986;696;290;70.59;67.67
v20def;57.00;1236;878;358;71.04;68.44;917;654;263;71.32;68.31
v20def;58.00;1142;817;325;71.54;68.86;842;608;234;72.21;69.09
v20def;59.00;1050;752;298;71.62;68.82;783;569;214;72.67;69.44
v20def;60.00;955;693;262;72.57;69.65;711;526;185;73.98;70.63
v20def;61.00;866;632;234;72.98;69.92;634;474;160;74.76;71.24
v20def;62.00;801;587;214;73.28;70.11;587;444;143;75.64;72.01
v20def;63.00;732;532;200;72.68;69.34;531;399;132;75.14;71.29
v20def;64.00;676;492;184;72.78;69.30;492;371;121;75.41;71.41
v20def;65.00;599;444;155;74.12;70.47;437;334;103;76.43;72.23
v20def;66.00;538;395;143;73.42;69.53;391;295;96;75.45;70.95
v20def;67.00;479;353;126;73.70;69.57;348;264;84;75.86;71.10
v20def;68.00;423;320;103;75.65;71.34;307;241;66;78.50;73.57
v20def;69.00;374;285;89;76.20;71.63;272;217;55;79.78;74.61
v20def;70.00;344;264;80;76.74;72.00;252;204;48;80.95;75.65
v20def;71.00;295;225;70;76.27;71.10;217;174;43;80.18;74.38
v20def;72.00;259;195;64;75.29;69.69;186;148;38;79.57;73.20
v20def;73.00;227;171;56;75.33;69.33;160;126;34;78.75;71.78
v20def;74.00;196;151;45;77.04;70.67;139;111;28;79.86;72.43
v20def;75.00;166;127;39;76.51;69.50;116;92;24;79.31;71.06
