Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU;Rank
v20def;70.00;344;264;80;76.74;72.00;252;204;48;80.95;75.65;1
v20def;69.00;374;285;89;76.20;71.63;272;217;55;79.78;74.61;2
v20def;68.00;423;320;103;75.65;71.34;307;241;66;78.50;73.57;3
v20def;71.00;295;225;70;76.27;71.10;217;174;43;80.18;74.38;4
v20def;74.00;196;151;45;77.04;70.67;139;111;28;79.86;72.43;5
v20def;65.00;599;444;155;74.12;70.47;437;334;103;76.43;72.23;6
v20def;62.00;801;587;214;73.28;70.11;587;444;143;75.64;72.01;7
v20def;61.00;866;632;234;72.98;69.92;634;474;160;74.76;71.24;8
v20def;72.00;259;195;64;75.29;69.69;186;148;38;79.57;73.20;9
v20def;60.00;955;693;262;72.57;69.65;711;526;185;73.98;70.63;10
v20def;67.00;479;353;126;73.70;69.57;348;264;84;75.86;71.10;11
v20def;66.00;538;395;143;73.42;69.53;391;295;96;75.45;70.95;12
v20def;75.00;166;127;39;76.51;69.50;116;92;24;79.31;71.06;13
v20def;63.00;732;532;200;72.68;69.34;531;399;132;75.14;71.29;14
v20def;73.00;227;171;56;75.33;69.33;160;126;34;78.75;71.78;15
v20def;64.00;676;492;184;72.78;69.30;492;371;121;75.41;71.41;16
v20def;58.00;1142;817;325;71.54;68.86;842;608;234;72.21;69.09;17
v20def;59.00;1050;752;298;71.62;68.82;783;569;214;72.67;69.44;18
v20def;57.00;1236;878;358;71.04;68.44;917;654;263;71.32;68.31;19
v20def;56.00;1328;938;390;70.63;68.13;986;696;290;70.59;67.67;20
v22def;77.00;646;483;163;74.77;71.28;486;367;119;75.51;71.50;1
v22def;80.00;471;354;117;75.16;71.06;361;275;86;76.18;71.52;2
v22def;81.00;416;313;103;75.24;70.87;325;250;75;76.92;72.04;3
v22def;78.00;589;439;150;74.53;70.86;444;337;107;75.90;71.71;4
v22def;79.00;524;391;133;74.62;70.72;397;302;95;76.07;71.64;5
v22def;76.00;710;525;185;73.94;70.59;536;400;136;74.63;70.78;6
v22def;75.00;780;572;208;73.33;70.12;583;430;153;73.76;70.04;7
v22def;82.00;376;281;95;74.73;70.11;298;228;70;76.51;71.38;8
v22def;74.00;840;613;227;72.98;69.87;629;462;167;73.45;69.86;9
v22def;83.00;322;240;82;74.53;69.51;256;197;59;76.95;71.42;10
v22def;73.00;904;651;253;72.01;69.00;681;496;185;72.83;69.37;11
v22def;72.00;965;690;275;71.50;68.57;731;527;204;72.09;68.73;12
v22def;71.00;1038;738;300;71.10;68.27;791;568;223;71.81;68.57;13
v22def;84.00;279;204;75;73.12;67.63;224;170;54;75.89;69.89;14
v22def;70.00;1111;781;330;70.30;67.54;851;603;248;70.86;67.72;15
v22def;69.00;1181;828;353;70.11;67.44;904;641;263;70.91;67.86;16
v22def;86.00;218;160;58;73.39;67.16;179;136;43;75.98;69.22;17
v22def;66.00;1402;976;426;69.61;67.16;1072;752;320;70.15;67.34;18
v22def;67.00;1332;928;404;69.67;67.15;1020;718;302;70.39;67.52;19
v22def;64.00;1542;1069;473;69.33;66.98;1181;827;354;70.03;67.35;20
v25def;77.00;585;438;147;74.87;71.20;456;339;117;74.34;70.14;1
v25def;80.00;425;320;105;75.29;70.98;339;254;85;74.93;70.05;2
v25def;78.00;535;400;135;74.77;70.92;419;313;106;74.70;70.33;3
v25def;81.00;375;283;92;75.47;70.87;306;231;75;75.49;70.37;4
v25def;76.00;645;478;167;74.11;70.59;504;371;133;73.61;69.60;5
v25def;79.00;474;354;120;74.68;70.58;373;279;94;74.80;70.16;6
v25def;82.00;345;260;85;75.36;70.55;283;213;70;75.27;69.92;7
v25def;75.00;712;524;188;73.60;70.24;550;401;149;72.91;69.05;8
v25def;83.00;294;221;73;75.17;69.93;243;184;59;75.72;69.96;9
v25def;74.00;768;562;206;73.18;69.93;594;431;163;72.56;68.83;10
v25def;73.00;828;600;228;72.46;69.32;643;465;178;72.32;68.73;11
v25def;72.00;886;639;247;72.12;69.08;692;496;196;71.68;68.21;12
v25def;71.00;951;680;271;71.50;68.55;748;533;215;71.26;67.91;13
v25def;84.00;254;188;66;74.02;68.29;214;160;54;74.77;68.55;14
v25def;70.00;1019;721;298;70.76;67.89;803;566;237;70.49;67.24;15
v25def;69.00;1080;762;318;70.56;67.77;851;601;250;70.62;67.48;16
v25def;85.00;216;159;57;73.61;67.36;185;139;46;75.14;68.44;17
v25def;67.00;1214;849;365;69.93;67.30;957;670;287;70.01;67.03;18
v25def;86.00;194;143;51;73.71;67.10;169;126;43;74.56;67.49;19
v25def;66.00;1276;889;387;69.67;67.09;1005;700;305;69.65;66.74;20
