MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-07-12;Australia_NPLQueensland;Gold Coast Knights;Brisbane City;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;1.09;13.0;13.0;5.68;10.0;9.6;9.6;8.57;8.57;9.09;2.4.0
2026-07-12;Australia_NPLQueenslandU23;QLD State Team U17;Rochedale U23;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: nessun contro rilevante || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;3.82;12.93;13.0;8.0;6.15;10.8;7.2;10.0;6.25;7.68;2.4.0
2026-07-12;Australia_NPLQueenslandU23;Gold Coast Knights U23;Brisbane City U23;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;3.82;13.0;11.82;6.14;10.0;9.6;8.4;8.57;8.57;7.28;2.4.0
2026-07-12;Estonia_Esiliiga;Nomme Utd U21;Flora U21;100;ALTA;21;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;5.33;12.19;13.0;8.0;9.09;10.8;12.0;8.57;10.0;9.49;2.4.0
2026-07-12;Estonia_EsiliigaB;Johvi Phoenix;Parnu JK Vaprus U21;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;2.67;13.0;13.0;8.0;8.82;9.6;12.0;10.0;9.0;10.59;2.4.0
2026-07-12;Estonia_EsiliigaB;Tammeka U21;Narva U21;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;0.67;13.0;13.0;7.06;6.95;10.8;9.6;8.89;7.5;8.12;2.4.0
2026-07-12;Estonia_EsiliigaB;Levadia U19;Tallinna Kalev U21;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;2.0;13.0;12.86;7.06;9.89;8.4;9.6;6.25;10.0;8.82;2.4.0
2026-07-12;Finland_Kakkonen_GroupC;Vaajakoski;Jaro 2;100;ALTA;14;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;4.67;10.74;12.89;8.0;10.0;9.6;9.6;8.0;8.33;7.64;2.4.0
2026-07-12;Finland_Kakkonen_GroupC;Narpes Kraft;VPS 2;100;ALTA;14;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;0.67;13.0;13.0;8.0;8.68;10.8;12.0;8.0;10.0;9.82;2.4.0
2026-07-12;Iceland_BestaDeildKarla;KR Reykjavik;Vestmannaeyjar;100;ALTA;19;2026-07-12;PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga || PRO V24: v24 bonus: BTTS alto | v24 bonus: ospite offensivo | v24 bonus: entrambe concedono gol | v24 bonus: profilo partita aperta;2.73;13.0;10.0;8.0;9.09;10.8;7.2;10.0;6.67;10.19;2.4.0
