MatchDate;LeagueId;Home;Away;Score;Band;Round;PredictionDate;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion
2026-09-24;England_SouthernLeaguePremierCentral;Bury Town;Hitchin;48.94;MEDIA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.097 | Attacco casa: 2.14/gara | Difesa trasferta subisce: 1.57/gara | Over25 casa ultime10: 0.57 | Over25 trasferta ultime10: 0.29 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.40;AwayGALast5=1.20;BaseScore=51.94;FinalScore=48.94]";1.94;21.43;;;15.71;8.57;4.29;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierSouth;Taunton;Bath;48.03;MEDIA;13;2026-09-22;England_SouthernLeaguePremierSouth;England_SouthernLeaguePremierSouth;;"Ranking gap: 0.016 | Attacco casa: 2.86/gara | Difesa trasferta subisce: 0.86/gara | Over25 casa ultime10: 0.86 | Over25 trasferta ultime10: 0.29 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.60;AwayGALast5=0.80;BaseScore=51.03;FinalScore=48.03]";0.32;25.0;;;8.57;12.86;4.29;;;;2.0.defplus1
2026-09-24;England_NPLPremierDivision;Cleethorpes;Redcar Athletic;45.55;MEDIA;11;2026-09-22;England_NPLPremierDivision;England_NPLPremierDivision;;"Ranking gap: 0.011 | Attacco casa: 2.67/gara | Difesa trasferta subisce: 0.67/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 0.44 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.60;AwayGALast5=0.80;BaseScore=48.55;FinalScore=45.55]";0.22;25.0;;;6.67;10.0;6.67;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierSouth;Malvern Town;Gloucester;42.44;BASSA;13;2026-09-22;England_SouthernLeaguePremierSouth;England_SouthernLeaguePremierSouth;;"Ranking gap: 0.022 | Attacco casa: 1.00/gara | Difesa trasferta subisce: 1.57/gara | Over25 casa ultime10: 0.86 | Over25 trasferta ultime10: 0.43 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.80;AwayGALast5=1.40;BaseScore=45.44;FinalScore=42.44]";0.44;10.0;;;15.71;12.86;6.43;;;;2.0.defplus1
2026-09-22;Armenia_FirstLeague;Sardarapat 2;Ararat-Armenia 2;41.87;BASSA;11;2026-09-22;Armenia_FirstLeague;Armenia_FirstLeague;seconda divisione armena;Ranking gap: 0.010 | Attacco casa: 0.67/gara | Difesa trasferta subisce: 2.00/gara | Over25 casa ultime10: 0.67 | Over25 trasferta ultime10: 0.33;0.2;6.67;;;20.0;10.0;5.0;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierCentral;Worcester;Banbury;37.77;BASSA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.003 | Attacco casa: 0.71/gara | Difesa trasferta subisce: 1.86/gara | Over25 casa ultime10: 0.29 | Over25 trasferta ultime10: 0.71 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.20;AwayGALast5=2.40;BaseScore=40.77;FinalScore=37.77]";0.06;7.14;;;18.57;4.29;10.71;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierCentral;Stourbridge;Real Bedford;37.25;BASSA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.060 | Attacco casa: 1.33/gara | Difesa trasferta subisce: 1.00/gara | Over25 casa ultime10: 0.33 | Over25 trasferta ultime10: 0.71 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.40;AwayGALast5=1.00;BaseScore=40.25;FinalScore=37.25]";1.2;13.33;;;10.0;5.0;10.71;;;;2.0.defplus1
2026-09-22;Paraguay_DivisionIntermedia;Encarnacion FC;Dep. Capiata;35.62;BASSA;11;2026-09-22;Paraguay_DivisionIntermedia;Paraguay_DivisionIntermedia;;"Ranking gap: 0.038 | Attacco casa: 1.00/gara | Difesa trasferta subisce: 1.71/gara | Over25 casa ultime10: 0.29 | Over25 trasferta ultime10: 0.43 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.20;AwayGALast5=1.40;BaseScore=38.62;FinalScore=35.62]";0.76;10.0;;;17.14;4.29;6.43;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierCentral;Anstey Nomads;Alvechurch;33.93;BASSA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.025 | Attacco casa: 1.86/gara | Difesa trasferta subisce: 0.29/gara | Over25 casa ultime10: 0.57 | Over25 trasferta ultime10: 0.43 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.00;AwayGALast5=0.00;BaseScore=36.93;FinalScore=33.93]";0.5;18.57;;;2.86;8.57;6.43;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierCentral;Rushall;Kettering;33.75;BASSA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.016 | Attacco casa: 1.86/gara | Difesa trasferta subisce: 0.29/gara | Over25 casa ultime10: 0.86 | Over25 trasferta ultime10: 0.14 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=1.60;AwayGALast5=0.20;BaseScore=36.75;FinalScore=33.75]";0.32;18.57;;;2.86;12.86;2.14;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierSouth;Berkhamsted;Hanworth;32.24;BASSA;13;2026-09-22;England_SouthernLeaguePremierSouth;England_SouthernLeaguePremierSouth;;"Ranking gap: 0.012 | Attacco casa: 1.25/gara | Difesa trasferta subisce: 0.86/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.43 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=0.80;AwayGALast5=1.20;BaseScore=35.24;FinalScore=32.24]";0.24;12.5;;;8.57;7.5;6.43;;;;2.0.defplus1
2026-09-22;Romania_Liga2;CSC Dumbravita;CSM Resita;30.38;BASSA;9;2026-09-22;Romania_Liga2;Romania_Liga2;;"Ranking gap: 0.139 | Attacco casa: 0.71/gara | Difesa trasferta subisce: 1.17/gara | Over25 casa ultime10: 0.29 | Over25 trasferta ultime10: 0.50 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.40;AwayGALast5=1.40;BaseScore=33.38;FinalScore=30.38]";2.78;7.14;;;11.67;4.29;7.5;;;;2.0.defplus1
2026-09-24;England_SouthernLeaguePremierCentral;Stratford;Bromsgrove;29.02;BASSA;9;2026-09-22;England_SouthernLeaguePremierCentral;England_SouthernLeaguePremierCentral;;"Ranking gap: 0.101 | Attacco casa: 0.57/gara | Difesa trasferta subisce: 0.71/gara | Over25 casa ultime10: 0.43 | Over25 trasferta ultime10: 0.71 || V20DEF_STRONG_DEFENSE[Rule=AT_LEAST_ONE_STRONG;Threshold=1.60;Penalty=-3.00;HomeGALast5=2.40;AwayGALast5=0.60;BaseScore=32.02;FinalScore=29.02]";2.02;5.71;;;7.14;6.43;10.71;;;;2.0.defplus1
