Transition;OK;KO;Total;HitRate
ALTA_TO_ALTA;81;26;107;75.7009
ALTA_TO_NON_ALTA;11;4;15;73.3333
NON_ALTA_TO_ALTA;13;8;21;61.9048
NON_ALTA_TO_NON_ALTA;1247;775;2022;61.6716
