Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;vg1;Austria_Regionalliga_East;1;0;2026-09-18;2026-09-18;1;100.0
2;vg1;Austria_Regionalliga_South;1;0;2026-09-18;2026-09-18;1;100.0
3;vg1;Estonia_EsiliigaB;1;0;2026-09-14;2026-09-14;1;100.0
4;vg1;Finland_Kolmonen_Eastern_Group3;1;0;2026-09-18;2026-09-18;1;100.0
5;vg1;Finland_Kolmonen_Southern_Group2;1;0;2026-09-17;2026-09-17;1;100.0
6;vg1;Finland_Kolmonen_Western_Group2;1;0;2026-09-16;2026-09-16;1;100.0
7;vg1;Germany_Oberliga_Hamburg;1;0;2026-09-18;2026-09-18;1;100.0
8;vg1;Germany_Regionalliga_Nord;1;0;2026-09-15;2026-09-15;1;100.0
9;vg1;Germany_Regionalliga_West;1;0;2026-09-18;2026-09-18;1;100.0
10;vg1;Kyrgyzstan_PremierLiga;1;0;2026-09-18;2026-09-18;1;100.0
11;vg1;Netherlands_EersteDivisie;1;0;2026-09-18;2026-09-18;1;100.0
12;vg1;Norway_3rdDivision_Group3;1;0;2026-09-17;2026-09-17;1;100.0
13;vg1;Norway_3rdDivision_Group5;1;0;2026-09-14;2026-09-14;1;100.0
14;vg1;Russia_PremierLeague;1;0;2026-09-17;2026-09-17;1;100.0
15;vg1;Austria_Salzburg;0;1;2026-09-18;2026-09-18;1;0.0
16;vg1;Moldova_Liga1_GroupA;0;1;2026-09-18;2026-09-18;1;0.0
17;vg1;NorthernIreland_NIFLChampionship;0;1;2026-09-18;2026-09-18;1;0.0
