LeagueId;Season;MatchDate;Home;Away;ActualHomeXG;ActualAwayXG;HomeGoals;AwayGoals;Goals;Over25;Source;HomeXGPlayed;HomeXGFAvg;HomeXGAAvg;HomeXGFLast3Avg;HomeXGALast3Avg;HomeXGFLast5Avg;HomeXGALast5Avg;HomeXGFLast10Avg;HomeXGALast10Avg;AwayXGPlayed;AwayXGFAvg;AwayXGAAvg;AwayXGFLast3Avg;AwayXGALast3Avg;AwayXGFLast5Avg;AwayXGALast5Avg;AwayXGFLast10Avg;AwayXGALast10Avg;ProjectedHomeXG;ProjectedAwayXG;ProjectedTotalXG
Italy_SerieA;2022;2022-08-13;AC Milan;Udinese;2.68095;0.439661;4;2;6;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-13;Lecce;Inter;0.752988;2.52817;1;2;3;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-13;Monza;Torino;1.0301;3.13646;1;2;3;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-13;Sampdoria;Atalanta;0.617683;2.28675;0;2;2;0;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-14;Fiorentina;Cremonese;2.01254;1.76638;3;2;5;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-14;Lazio;Bologna;0.709672;1.59632;2;1;3;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-14;Salernitana;Roma;0.505094;2.98256;0;1;1;0;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-14;Spezia;Empoli;0.861875;0.987781;1;0;1;0;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-15;Juventus;Sassuolo;2.24204;0.878583;3;0;3;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-15;Verona;Napoli;1.13087;2.79803;2;5;7;1;understat;0;;;;;;;;;0;;;;;;;;;;;
Italy_SerieA;2022;2022-08-20;Inter;Spezia;2.62744;0.482897;3;0;3;1;understat;1;2.5282;0.7530;2.5282;0.7530;2.5282;0.7530;2.5282;0.7530;1;0.8619;0.9878;0.8619;0.9878;0.8619;0.9878;0.8619;0.9878;1.7580;0.8074;2.5654
Italy_SerieA;2022;2022-08-20;Sassuolo;Lecce;0.803483;0.703764;1;0;1;0;understat;1;0.8786;2.2420;0.8786;2.2420;0.8786;2.2420;0.8786;2.2420;1;0.7530;2.5282;0.7530;2.5282;0.7530;2.5282;0.7530;2.5282;1.7034;1.4975;3.2009
Italy_SerieA;2022;2022-08-20;Torino;Lazio;0.996405;0.713273;0;0;0;0;understat;1;3.1365;1.0301;3.1365;1.0301;3.1365;1.0301;3.1365;1.0301;1;0.7097;1.5963;0.7097;1.5963;0.7097;1.5963;0.7097;1.5963;2.3664;0.8699;3.2363
Italy_SerieA;2022;2022-08-20;Udinese;Salernitana;1.42871;1.50184;0;0;0;0;understat;1;0.4397;2.6810;0.4397;2.6810;0.4397;2.6810;0.4397;2.6810;1;0.5051;2.9826;0.5051;2.9826;0.5051;2.9826;0.5051;2.9826;1.7111;1.5930;3.3041
Italy_SerieA;2022;2022-08-21;Atalanta;AC Milan;0.538424;1.53637;1;1;2;0;understat;1;2.2868;0.6177;2.2868;0.6177;2.2868;0.6177;2.2868;0.6177;1;2.6810;0.4397;2.6810;0.4397;2.6810;0.4397;2.6810;0.4397;1.3632;1.6493;3.0125
Italy_SerieA;2022;2022-08-21;Bologna;Verona;1.13475;2.46808;1;1;2;0;understat;1;1.5963;0.7097;1.5963;0.7097;1.5963;0.7097;1.5963;0.7097;1;1.1309;2.7980;1.1309;2.7980;1.1309;2.7980;1.1309;2.7980;2.1972;0.9203;3.1174
Italy_SerieA;2022;2022-08-21;Empoli;Fiorentina;0.757409;0.796219;0;0;0;0;understat;1;0.9878;0.8619;0.9878;0.8619;0.9878;0.8619;0.9878;0.8619;1;2.0125;1.7664;2.0125;1.7664;2.0125;1.7664;2.0125;1.7664;1.3771;1.4372;2.8143
Italy_SerieA;2022;2022-08-21;Napoli;Monza;3.26352;0.121476;4;0;4;1;understat;1;2.7980;1.1309;2.7980;1.1309;2.7980;1.1309;2.7980;1.1309;1;1.0301;3.1365;1.0301;3.1365;1.0301;3.1365;1.0301;3.1365;2.9672;1.0805;4.0477
Italy_SerieA;2022;2022-08-22;Roma;Cremonese;2.91426;0.508942;1;0;1;0;understat;1;2.9826;0.5051;2.9826;0.5051;2.9826;0.5051;2.9826;0.5051;1;1.7664;2.0125;1.7664;2.0125;1.7664;2.0125;1.7664;2.0125;2.4975;1.1357;3.6333
Italy_SerieA;2022;2022-08-22;Sampdoria;Juventus;0.948831;0.807606;0;0;0;0;understat;1;0.6177;2.2868;0.6177;2.2868;0.6177;2.2868;0.6177;2.2868;1;2.2420;0.8786;2.2420;0.8786;2.2420;0.8786;2.2420;0.8786;0.7481;2.2644;3.0125
Italy_SerieA;2022;2022-08-26;Lazio;Inter;0.997005;1.62842;3;1;4;1;understat;2;0.7115;1.2964;0.7115;1.2964;0.7115;1.2964;0.7115;1.2964;2;2.5778;0.6179;2.5778;0.6179;2.5778;0.6179;2.5778;0.6179;0.6647;1.9371;2.6018
Italy_SerieA;2022;2022-08-26;Monza;Udinese;0.988468;2.26189;1;2;3;1;understat;2;0.5758;3.2000;0.5758;3.2000;0.5758;3.2000;0.5758;3.2000;2;0.9342;2.0914;0.9342;2.0914;0.9342;2.0914;0.9342;2.0914;1.3336;2.0671;3.4007
Italy_SerieA;2022;2022-08-27;AC Milan;Bologna;2.83694;0.505259;2;0;2;0;understat;2;2.1087;0.4890;2.1087;0.4890;2.1087;0.4890;2.1087;0.4890;2;1.3655;1.5889;1.3655;1.5889;1.3655;1.5889;1.3655;1.5889;1.8488;0.9273;2.7761
Italy_SerieA;2022;2022-08-27;Cremonese;Torino;0.815757;2.71403;1;2;3;1;understat;2;1.1377;2.4634;1.1377;2.4634;1.1377;2.4634;1.1377;2.4634;2;2.0664;0.8717;2.0664;0.8717;2.0664;0.8717;2.0664;0.8717;1.0047;2.2649;3.2696
Italy_SerieA;2022;2022-08-27;Juventus;Roma;0.633345;0.963959;1;1;2;0;understat;2;1.5248;0.9137;1.5248;0.9137;1.5248;0.9137;1.5248;0.9137;2;2.9484;0.5070;2.9484;0.5070;2.9484;0.5070;2.9484;0.5070;1.0159;1.9311;2.9470
Italy_SerieA;2022;2022-08-27;Spezia;Sassuolo;1.17548;2.83921;2;2;4;1;understat;2;0.6724;1.8076;0.6724;1.8076;0.6724;1.8076;0.6724;1.8076;2;0.8410;1.4729;0.8410;1.4729;0.8410;1.4729;0.8410;1.4729;1.0726;1.3243;2.3970
Italy_SerieA;2022;2022-08-28;Fiorentina;Napoli;0.381649;1.68549;0;0;0;0;understat;2;1.4044;1.2619;1.4044;1.2619;1.4044;1.2619;1.4044;1.2619;2;3.0308;0.6262;3.0308;0.6262;3.0308;0.6262;3.0308;0.6262;1.0153;2.1463;3.1616
Italy_SerieA;2022;2022-08-28;Lecce;Empoli;0.813378;0.37813;1;1;2;0;understat;2;0.7284;1.6658;0.7284;1.6658;0.7284;1.6658;0.7284;1.6658;2;0.8726;0.8290;0.8726;0.8290;0.8726;0.8290;0.8726;0.8290;0.7787;1.2692;2.0479
Italy_SerieA;2022;2022-08-28;Salernitana;Sampdoria;1.76461;1.66897;4;0;4;1;understat;2;1.0035;2.2056;1.0035;2.2056;1.0035;2.2056;1.0035;2.2056;2;0.7833;1.5472;0.7833;1.5472;0.7833;1.5472;0.7833;1.5472;1.2753;1.4944;2.7698
Italy_SerieA;2022;2022-08-28;Verona;Atalanta;0.369511;0.843159;0;1;1;0;understat;2;1.7995;1.9664;1.7995;1.9664;1.7995;1.9664;1.7995;1.9664;2;1.4126;1.0770;1.4126;1.0770;1.4126;1.0770;1.4126;1.0770;1.4383;1.6895;3.1277
Italy_SerieA;2022;2022-08-30;Inter;Cremonese;2.79797;1.06761;3;1;4;1;understat;3;2.2613;0.7443;2.2613;0.7443;2.2613;0.7443;2.2613;0.7443;3;1.0304;2.5469;1.0304;2.5469;1.0304;2.5469;1.0304;2.5469;2.4041;0.8873;3.2915
Italy_SerieA;2022;2022-08-30;Roma;Monza;2.67127;0.560728;3;0;3;1;understat;3;2.2869;0.5491;2.2869;0.5491;2.2869;0.5491;2.2869;0.5491;3;0.7133;2.8873;0.7133;2.8873;0.7133;2.8873;0.7133;2.8873;2.5871;0.6312;3.2183
Italy_SerieA;2022;2022-08-30;Sassuolo;AC Milan;1.06304;0.914316;0;0;0;0;understat;3;1.5071;1.3738;1.5071;1.3738;1.5071;1.3738;1.5071;1.3738;3;2.3514;0.4944;2.3514;0.4944;2.3514;0.4944;2.3514;0.4944;1.0008;1.8626;2.8634
Italy_SerieA;2022;2022-08-31;Empoli;Verona;0.778503;0.589249;1;1;2;0;understat;3;0.7078;0.8238;0.7078;0.8238;0.7078;0.8238;0.7078;0.8238;3;1.3228;1.5920;1.3228;1.5920;1.3228;1.5920;1.3228;1.5920;1.1499;1.0733;2.2232
Italy_SerieA;2022;2022-08-31;Juventus;Spezia;1.76503;0.175145;2;0;2;0;understat;3;1.2277;0.9305;1.2277;0.9305;1.2277;0.9305;1.2277;0.9305;3;0.8401;2.1515;0.8401;2.1515;0.8401;2.1515;0.8401;2.1515;1.6896;0.8853;2.5748
Italy_SerieA;2022;2022-08-31;Napoli;Lecce;2.00236;1.02186;1;1;2;0;understat;3;2.5823;0.5447;2.5823;0.5447;2.5823;0.5447;2.5823;0.5447;3;0.7567;1.2366;0.7567;1.2366;0.7567;1.2366;0.7567;1.2366;1.9095;0.6507;2.5602
Italy_SerieA;2022;2022-08-31;Sampdoria;Lazio;0.740992;1.61049;1;1;2;0;understat;3;1.0785;1.6197;1.0785;1.6197;1.0785;1.6197;1.0785;1.6197;3;0.8066;1.4070;0.8066;1.4070;0.8066;1.4070;0.8066;1.4070;1.2428;1.2132;2.4559
Italy_SerieA;2022;2022-08-31;Udinese;Fiorentina;0.879492;0.44345;1;0;1;0;understat;3;1.3768;1.7238;1.3768;1.7238;1.3768;1.7238;1.3768;1.7238;3;1.0635;1.4031;1.0635;1.4031;1.0635;1.4031;1.0635;1.4031;1.3899;1.3936;2.7835
Italy_SerieA;2022;2022-09-01;Atalanta;Torino;2.86971;0.398647;3;1;4;1;understat;3;1.2228;0.8412;1.2228;0.8412;1.2228;0.8412;1.2228;0.8412;3;2.2823;0.8530;2.2823;0.8530;2.2823;0.8530;2.2823;0.8530;1.0379;1.5617;2.5997
Italy_SerieA;2022;2022-09-01;Bologna;Salernitana;1.96131;1.19651;1;1;2;0;understat;3;1.0788;2.0049;1.0788;2.0049;1.0788;2.0049;1.0788;2.0049;3;1.2572;2.0267;1.2572;2.0267;1.2572;2.0267;1.2572;2.0267;1.5528;1.6310;3.1838
Italy_SerieA;2022;2022-09-03;AC Milan;Inter;1.63731;2.07688;3;2;5;1;understat;4;1.9921;0.6366;1.7625;0.7022;1.9921;0.6366;1.9921;0.6366;4;2.3955;0.8251;2.3513;0.8492;2.3955;0.8251;2.3955;0.8251;1.4086;1.5160;2.9247
Italy_SerieA;2022;2022-09-03;Fiorentina;Juventus;1.83258;1.07522;1;1;2;0;understat;4;0.9085;1.2722;0.5404;1.1075;0.9085;1.2722;0.9085;1.2722;4;1.3620;0.7416;1.0687;0.6960;1.3620;0.7416;1.3620;0.7416;0.8250;1.3171;2.1421
Italy_SerieA;2022;2022-09-03;Lazio;Napoli;0.299785;2.0197;1;2;3;1;understat;4;1.0076;1.2405;1.1069;1.1219;1.0076;1.2405;1.0076;1.2405;4;2.4373;0.6640;2.3171;0.5083;2.4373;0.6640;2.4373;0.6640;0.8358;1.8389;2.6747
Italy_SerieA;2022;2022-09-04;Cremonese;Sassuolo;0.417337;1.70824;0;0;0;0;understat;4;1.0397;2.6097;0.7974;2.8088;1.0397;2.6097;1.0397;2.6097;4;1.3961;1.2589;1.5686;0.9312;1.3961;1.2589;1.3961;1.2589;1.1493;2.0029;3.1522
