Population;PPGBucket;Matches;OK;KO;SuccessRate
ALTA;0.00-0.20;10;7;3;0.7000
ALTA;0.20-0.40;14;9;5;0.6429
ALTA;0.40-0.60;32;29;3;0.9062
ALTA;0.80-1.00;13;11;2;0.8462
ALTA;1.00-1.20;34;26;8;0.7647
ALTA;1.20-1.40;10;9;1;0.9000
ALTA;1.60-1.80;8;6;2;0.7500
ALTA;1.80-2.00;12;10;2;0.8333
ALTA;2.00-2.20;3;1;2;0.3333
ALTA;2.20-2.40;4;2;2;0.5000
MEDIA;0.00-0.20;9;5;4;0.5556
MEDIA;0.20-0.40;18;14;4;0.7778
MEDIA;0.40-0.60;26;13;13;0.5000
MEDIA;0.80-1.00;34;21;13;0.6176
MEDIA;1.00-1.20;36;23;13;0.6389
MEDIA;1.20-1.40;16;7;9;0.4375
MEDIA;1.60-1.80;13;7;6;0.5385
MEDIA;1.80-2.00;6;4;2;0.6667
MEDIA;2.00-2.20;11;7;4;0.6364
MEDIA;2.20-2.40;2;2;0;1.0000
MEDIA;2.60-2.80;1;1;0;1.0000
ALL;0.00-0.20;19;12;7;0.6316
ALL;0.20-0.40;32;23;9;0.7188
ALL;0.40-0.60;58;42;16;0.7241
ALL;0.80-1.00;47;32;15;0.6809
ALL;1.00-1.20;70;49;21;0.7000
ALL;1.20-1.40;26;16;10;0.6154
ALL;1.60-1.80;21;13;8;0.6190
ALL;1.80-2.00;18;14;4;0.7778
ALL;2.00-2.20;14;8;6;0.5714
ALL;2.20-2.40;6;4;2;0.6667
ALL;2.60-2.80;1;1;0;1.0000
