TopN;Engine;OK;KO;Precision;MinimumScore
25;v25;17;8;68.0;85.4
25;v251;17;8;68.0;84.65
50;v25;34;16;68.0;79.27
50;v251;34;16;68.0;79.27
100;v25;66;34;66.0;68.25
100;v251;67;33;67.0;67.74
