MatchDate;LeagueId;Home;Away;Over25;ScoreV25;ScoreV251;ScoreDelta;BandV25;BandV251;StrongDefenseAdjustment;RecentFormAdjustment;RestartAdjustment;TotalAdjustment;ReasonV251
2026-09-06;CzechRepublic_1Liga;Jablonec;Liberec;OK;38.48;36.48;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: nessun indicatore over forte || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | trend over casa non forte | trend over trasferta non forte | profilo over interno debole | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=38.48;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.50 GA/gara)"
2026-09-06;CzechRepublic_3MSFL;Sigma Olomouc B;Artis Brno B;KO;56.45;54.45;-2.0;BASSA;BASSA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | attacco trasferta positivo | trend over recente casa | profilo over interno positivo || CONTRO: trend over trasferta non forte | profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=56.45;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.00 GA/gara)"
2026-09-06;CzechRepublic_3MSFL;Zlin B;Blansko;OK;62.46;61.46;-1.0;MEDIA;MEDIA;-1.0;0.0;0.0;-1.0;"PRO: difesa trasferta vulnerabile | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole || V251_DIAGNOSTICS[BaseScore=62.46;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.83 GA/gara)"
2026-09-06;Denmark_1stDivision;Aarhus Fremad;Kolding;OK;57.8;56.8;-1.0;BASSA;BASSA;-1.0;0.0;0.0;-1.0;"PRO: difesa trasferta vulnerabile | profilo over interno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | trend over trasferta non forte | profilo over esterno debole || V251_DIAGNOSTICS[BaseScore=57.80;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.83 GA/gara)"
2026-09-06;Estonia_Meistriliiga;Paide;Levadia;KO;67.99;65.99;-2.0;MEDIA;MEDIA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | attacco trasferta positivo | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: trend over casa non forte | profilo over interno debole || V251_DIAGNOSTICS[BaseScore=67.99;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.77 GA/gara)"
2026-09-06;FaroeIslands_1Deild;HB Torshavn 2;Sandur;KO;73.6;72.6;-1.0;MEDIA;MEDIA;-1.0;0.0;0.0;-1.0;"PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | profilo over interno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=73.60;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.88 GA/gara)"
2026-09-06;FaroeIslands_1Deild;Runavik 2;Streymur 2;OK;80.75;79.75;-1.0;ALTA;ALTA;0.0;-1.0;0.0;-1.0;"PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga || V251_DIAGNOSTICS[BaseScore=80.75;StrongDefense=0.00;RecentForm=-1.00;Restart=0.00;Total=-1.00] || CONTRO V251: entrambe con PPG ultime5 basso (0.60+0.20)"
2026-09-06;Germany_Oberliga_Hamburg;Tesla Hamburg;Dassendorf;KO;79.19;77.19;-2.0;ALTA;ALTA;-2.0;0.0;0.0;-2.0;"PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: attacco casa non dominante | profilo over interno debole || V251_DIAGNOSTICS[BaseScore=79.19;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.60 GA/gara)"
2026-09-06;Germany_Oberliga_Hessen;Kassel 2;Hummetroth;KO;60.33;59.33;-1.0;MEDIA;BASSA;0.0;-1.0;0.0;-1.0;"PRO: difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente trasferta | alta tendenza BTTS || CONTRO: attacco casa non dominante | ospite poco prolifico: rischio 1-0 / 2-0 | v22 monitora possibile sopravvalutazione weak_ga | trend over casa non forte | profilo over interno debole | profilo over esterno debole || V251_DIAGNOSTICS[BaseScore=60.33;StrongDefense=0.00;RecentForm=-1.00;Restart=0.00;Total=-1.00] || CONTRO V251: entrambe con PPG ultime5 basso (0.20+0.20)"
2026-09-06;Germany_Regionalliga_Nord;Brema 2;Phonix Lubeck;KO;67.75;65.75;-2.0;MEDIA;MEDIA;-2.0;0.0;0.0;-2.0;"PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo | profilo over esterno positivo || CONTRO: attacco casa non dominante | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=67.75;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.67 GA/gara)"
2026-09-06;Germany_Regionalliga_West;Hilden;Oberhausen;OK;58.12;57.12;-1.0;BASSA;BASSA;-1.0;0.0;0.0;-1.0;"PRO: attacco trasferta positivo | difesa casa vulnerabile | trend over recente trasferta | profilo over esterno positivo || CONTRO: attacco casa non dominante | trend over casa non forte | profilo over interno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=58.12;StrongDefense=-1.00;RecentForm=0.00;Restart=0.00;Total=-1.00] || CONTRO V251: difesa solida (0.83 GA/gara)"
2026-09-06;Germany_Regionalliga_West;Schalke 2;FC Gutersloh;OK;73.39;71.39;-2.0;MEDIA;MEDIA;-2.0;0.0;0.0;-2.0;"PRO: attacco casa positivo | attacco trasferta positivo | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over interno positivo || CONTRO: profilo over esterno debole | BTTS basso: possibile partita a senso unico || V251_DIAGNOSTICS[BaseScore=73.39;StrongDefense=-2.00;RecentForm=0.00;Restart=0.00;Total=-2.00] || CONTRO V251: difesa molto solida (0.50 GA/gara)"
2026-09-06;Iceland_BestaDeildKarla;Akureyri;Breidablik;OK;77.71;76.71;-1.0;ALTA;ALTA;0.0;-1.0;0.0;-1.0;"PRO: attacco casa positivo | attacco trasferta positivo | difesa trasferta vulnerabile | difesa casa vulnerabile | trend over recente casa | trend over recente trasferta | profilo over esterno positivo | alta tendenza BTTS || CONTRO: v22 monitora possibile sopravvalutazione weak_ga | profilo over interno debole || V251_DIAGNOSTICS[BaseScore=77.71;StrongDefense=0.00;RecentForm=-1.00;Restart=0.00;Total=-1.00] || CONTRO V251: entrambe con PPG ultime5 basso (0.40+0.20)"
