BandV25;BandV251;Result;Matches
ALTA;ALTA;KO;19
ALTA;ALTA;OK;41
ALTA;MEDIA;OK;1
BASSA;BASSA;KO;61
BASSA;BASSA;OK;76
IMM-ALTA-4;IMM-ALTA-4;KO;1
IMM-ALTA-6;IMM-ALTA-6;KO;2
IMM-ALTA-6;IMM-ALTA-6;OK;5
IMM-ALTA-7;IMM-ALTA-7;KO;1
IMM-ALTA-7;IMM-ALTA-7;OK;5
IMM-ALTA-8;IMM-ALTA-8;KO;7
IMM-ALTA-8;IMM-ALTA-8;OK;7
IMM-ALTA-9;IMM-ALTA-9;KO;1
IMM-ALTA-9;IMM-ALTA-9;OK;2
MEDIA;BASSA;KO;3
MEDIA;BASSA;OK;2
MEDIA;MEDIA;KO;69
MEDIA;MEDIA;OK;84
