country;league;Home;Away;PosHome;PosAway;PtsHome;PtsAway;GFHome;GSHome;GFAway;GSAway;MatchHome;WinHome;GFH10;GSH10;MatchAway;WinAway;GFA10;GSA10
Norway;3rd Division;Harstad;Kongsvinger 2;10;7;11;14;22;19;21;20;10;8;22;19;10;7;21;20
Norway;3rd Division;Floya;Strømsgodset 2;3;8;20;14;24;16;21;22;10;8;24;16;10;10;21;22
Norway;3rd Division;Sandefjord 2;Brumunddal;5;13;18;7;28;19;12;36;10;9;28;19;10;10;12;36
Norway;3rd Division;Mandalskameratene;Vag;6;10;15;12;24;18;13;17;10;5;24;18;10;5;13;17
Norway;3rd Division;Akra;Vindbjart;12;5;11;17;14;25;18;12;10;6;14;25;10;4;18;12
Norway;2nd Division;Grorud;Junkeren;6;8;17;13;15;12;15;17;10;5;15;12;10;6;15;17
Norway;2nd Division;Trygg/Lade;Lørenskog;14;4;5;21;13;23;20;10;11;7;13;23;11;5;20;10
Norway;OBOS-ligaen;Bryne;Åsane;9;14;13;9;17;20;15;23;11;7;17;17;11;6;13;20
Norway;OBOS-ligaen;Egersund;Haugesund;11;3;13;25;14;19;34;18;11;7;11;19;11;7;30;16
Norway;OBOS-ligaen;Kongsvinger;Strömsgodset;2;1;26;26;25;12;32;12;11;8;22;12;11;7;30;11
Norway;OBOS-ligaen;Moss;Sandnes;7;10;17;13;20;22;14;18;11;8;17;20;11;3;13;16
Norway;OBOS-ligaen;Odd;Hodd;4;8;22;14;24;14;14;15;11;8;20;14;11;5;12;14
Norway;OBOS-ligaen;Raufoss;Sogndal;15;12;7;12;13;27;19;26;11;7;12;24;11;8;19;22
Norway;OBOS-ligaen;Strømmen;Stabaek;16;5;5;21;14;33;25;13;11;8;14;30;11;8;24;11
Iceland;Besta deild;Breidablik;Akureyri;4;9;16;10;26;19;15;19;10;7;24;18;10;4;13;16
Iceland;Besta deild;Hafnarfjordur;Thor Akureyri;12;11;5;6;14;27;8;27;10;8;13;26;10;7;8;27
Iceland;Besta deild;Valur;Keflavik;6;8;15;11;19;23;13;20;11;8;18;21;10;7;13;20
Iceland;Besta deild;Vestmannaeyjar;Stjarnan;10;7;8;11;18;24;22;26;10;7;18;24;11;7;17;21
Iceland;Besta deild;Fram;Vikingur Reykjavik;3;1;23;31;29;19;36;6;10;8;29;19;11;6;30;3
Iceland;Division 1;Vestri;Afturelding;4;3;16;16;19;19;23;15;10;6;18;18;8;7;23;15
Iceland;Division 1;IR Reykjavik;Volsungur;9;12;10;5;18;23;7;18;9;8;18;23;9;5;7;18
Iceland;Division 1;Aegir;Throttur;11;1;7;19;11;17;21;10;9;6;11;14;9;5;21;10
Iceland;Division 1;Grotta;Fylkir;8;2;12;18;15;17;14;11;8;7;15;17;9;4;14;11
Iceland;Division 1;Kopavogur;Grindavik;6;10;15;7;16;16;7;10;9;6;16;16;8;3;7;10
