LeagueId;Home;Away
USA_USLLeagueTwo_Northeast;Seacoast United Phantoms;Boston Bolts
USA_USLLeagueTwo_MidSouth;Hattiesburg FC;Jackson Boom
USA_USLLeagueTwo_Metropolitan;Long Island Rough Riders;Cedar Stars
USA_USLLeagueTwo_Mountain;Flatirons FC;Utah United
USA_USLLeagueTwo_SouthFlorida;Brevard SC;Weston FC FC
USA_USLLeagueTwo_SouthCentral;Birmingham 2;Swarm FC
Australia_NPLNSW;Sydney FC U23;Sydney Utd
Australia_NPLQueensland;Rochedale;Gold Coast Knights
Australia_NPLVictoria;Heidelberg;Oakleigh
Australia_NPLVictoria;Dandenong City;Avondale FC
Australia_NPLVictoria;Bentleigh;Altona Magic
Australia_NPLVictoria;St Albans;Melbourne City U21
Australia_NPLWesternAustralia;Bayswater City;Perth RedStar
Australia_NSWLeagueOne;Blacktown Spartans;Rydalmere Lions
Australia_QueenslandPremierLeague;Brisbane Strikers;Ipswich
Australia_QueenslandPremierLeague;Holland Park Hawks;Redlands
Australia_SAStateLeague;Eastern United;Cumberland Utd.
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;South Hobart U21
Australia_TasmaniaSouthernChampionship;Olympia Warriors;University of Tasmania
Australia_VictoriaPremierLeague2;Keilor Park;Moreland City
Australia_NPL_NSW_U20;Sydney FC U20;Sydney Utd U20
