LeagueId;Home;Away
Estonia_Meistriliiga;Kuressaare;Flora
Estonia_Esiliiga;Tartu Welco;Viimsi JK
Finland_Ykkonen;Jazz Pori;KPV
Iceland_BestaDeildKarla;Thor Akureyri;KR Reykjavik
Iceland_BestaDeildKarla;Vikingur Reykjavik;Akureyri
Lithuania_ILyga;BFA Vilnius;Ekranas
Lithuania_ILyga;Zalgiris 2;Hegelmann Litauen 2
Norway_OBOSLigaen;Lyn;Åsane
USA_USLLeagueTwo_SouthCentral;Birmingham 2;Columbus United
Belarus_VysshayaLiga;BATE;Gomel
Belarus_VysshayaLiga;FC Minsk;Din. Minsk
Finland_Kakkonen_GroupA;PPJ;Kiffen
Finland_Kakkonen_GroupB;EBK;Abo
