LeagueId;Home;Away
USA_USLLeagueTwo_SouthAtlantic;Asheville City;Charlotte Independ. 2
USA_USLLeagueTwo_LoneStar;Hill Country Lobos;Lonestar SC
USA_USLLeagueTwo_Mountain;Atletico Union;Real Colorado
Australia_NPLNSW;SD Raiders;Sydney FC U23
Australia_QueenslandPremierLeague;Logan Lightning;Redlands
Australia_NPL_NSW_U20;SD Raiders U20;Sydney FC U20
Estonia_Esiliiga;Nomme Utd U21;Flora U21
Finland_Kakkonen_GroupC;SJK Akatemia 2;Vaajakoski
Latvia_Virsliga;RFS;BFC Daugavpils
Latvia_Virsliga;FK Liepaja;Ogre United
FaroeIslands_PremierLeague;HB Torshavn;Skala Itrottarfelag
FaroeIslands_PremierLeague;Toftir;Argir
FaroeIslands_PremierLeague;Vikingur;Runavik
Latvia_Virsliga;Auda;Riga FC
Latvia_Virsliga;Jelgava;Grobina
Lithuania_Toplyga;FA Siauliai;Transinvest
Lithuania_Toplyga;FK Panevezys;Suduva
USA_USLLeagueTwo_SouthAtlantic;Asheville City;Charlotte Independ. 2
USA_USLLeagueTwo_LoneStar;Hill Country Lobos;Lonestar SC
USA_USLLeagueTwo_Mountain;Atletico Union;Real Colorado
USA_USLLeagueTwo_GreatForest;Erie Sports Center;Pittsburgh Riverhounds 2
USA_USLLeagueTwo_MidAtlantic;Philadelphia Lone Star;Ocean City
USA_USLLeagueTwo_Northeast;Seacoast Utd Phantoms;Black Rock
USA_USLLeagueTwo_NorCal;Glens SC;San Francisco City
Australia_NPLNSW;SD Raiders;Sydney FC U23
Australia_QueenslandPremierLeague;Logan Lightning;Redlands
Australia_NPL_NSW_U20;SD Raiders U20;Sydney FC U20
Estonia_Esiliiga;Nomme Utd U21;Flora U21
Finland_Kakkonen_GroupC;SJK Akatemia 2;Vaajakoski
Latvia_Virsliga;RFS;BFC Daugavpils
Latvia_Virsliga;FK Liepaja;Ogre United
