LeagueId;Home;Away
Iceland_BestaDeildKarla;Breidablik;Vikingur Reykjavik
Norway_3rdDivision_Group1;Konnerud;Ready
Norway_3rdDivision_Group2;Strindheim;Melhus
Norway_3rdDivision_Group3;Åsane 2;OS
Norway_3rdDivision_Group3;Austevoll;Fyllingsdalen
Norway_3rdDivision_Group4;Staal Jorpeland;Hinna
Norway_3rdDivision_Group4;Vag;Viking 2
Norway_3rdDivision_Group6;Brumunddal;SK Gjovik-Lyn
Sweden_Division2_NorraGotaland;IFK Skovde;Lidkoping
Sweden_Division2_NorraSvealand;Helges;Sunnersta AIF
Sweden_Division2_SodraSvealand;Nykopings;Nacka FC
Sweden_Division2_VastraGotaland;Galtabacks BK;Boljan
