LeagueId;Home;Away
Iceland_BestaDeildKarla_2026;Keflavik;Fram
Latvia_Virsliga_2026;Super Nova;Ogre United
Lithuania_Toplyga_2026;Suduva;Transinvest
Sweden_Allsvenskan_2026;Brommapojkarna;GAIS
Sweden_Allsvenskan_2026;Hacken;Djurgarden
USA_MLSNextPro_EasternConference_SoutheastDivision_2026;Crown Legacy;Orlando City B
USA_MLSNextPro_WesternConference_CentralDivision_2026;Huntsville;Chicago Fire II
USA_MLSNextPro_WesternConference_CentralDivision_2026;Austin FC II;Colorado Rapids 2
USA_MLSNextPro_WesternConference_PacificDivision_2026;Los Angeles FC 2;Real Monarchs
USA_MLSNextPro_WesternConference_PacificDivision_2026;Tacoma Defiance;Portland Timbers 2
USA_USLLeagueOne_2026;AV Alta;Charlotte Independ.
USA_USLLeagueTwo_SouthAtlantic_2026;North Carolina FC U23;Asheville City
USA_USLLeagueTwo_NorCal_2026;San Francisco City;Academica SC
USA_USLLeagueTwo_Northwest_2026;Bigfoot;Portland Bangers
USA_USLLeagueTwo_Chesapeake_2026;Christos;Loudoun 2
USA_USLLeagueTwo_MidSouth_2026;Little Rock Rangers;Louisiana
USA_USLLeagueTwo_SouthCentral_2026;East Atlanta;Birmingham 2
USA_USLLeagueTwo_Metropolitan_2026;Ironbound SC;Staten Island ASC
USA_USLLeagueTwo_NorCal_2026;Marin;Glens SC
USA_USLLeagueTwo_Chesapeake_2026;Northern Virginia;Patuxent
USA_USLLeagueTwo_GreatLakes_2026;Lansing City;Flint City
