LeagueId;MatchDate;Home;Away
Bhutan_PremierLeague;2026-07-28;Paro;Thimphu FC
Germany_Oberliga_Bayern_Sud;2026-07-28;FC Schwaig;TSV 1880 Wasserburg
Iceland_Division_1;2026-07-28;Aegir;Njardvik
FaroeIslands_PremierLeague;2026-07-28;B36 Torshavn;Argir
Lithuania_ILyga;2026-07-28;Dainava Alytus;Transinvest 2
Lithuania_ILyga;2026-07-28;Zalgiris 2;FK Minija
Somalia_NationalLeague;2026-07-28;Horseed;Badbaado
Somalia_NationalLeague;2026-07-28;Raadsan;Elman
Sweden_Superettan;2026-07-28;Helsingborg;Nordic United
Sweden_Superettan;2026-07-28;Landskrona;Norrkoping
Finland_Kolmonen_Eastern_Group3;2026-07-28;HaPK;KoPa
Finland_Kolmonen_Eastern_Group3;2026-07-28;MiPK;LAUTP/2
Finland_Kolmonen_Western_Group2;2026-07-28;FC Haka j.;Tampere Utd/2
Finland_Kolmonen_Western_Group1;2026-07-28;SalPa II;VG-62
