LeagueId;Home;Away
Bhutan_PremierLeague;Transport United;BFF Academy U19
Bolivia_DivisionProfesional;Real Oruro;Universitario de Vinto
Bolivia_DivisionProfesional;Real Potosi;Academia del Balompie
Estonia_Esiliiga;Maardu;Flora U21
Finland_Kakkonen_GroupB;MuSa;GrIFK
Somalia_NationalLeague;Jeenyo;Gantaalaha Afgooye
USA_USLChampionship;Hartford Athletic;Orange County SC
USA_USLChampionship;Sacramento Republic;Rhode Island
USA_USLLeagueOne;Greenville;Sarasota Paradise
USA_USLLeagueOne;New York Cosmos;FC Naples
USA_USLLeagueTwo_GreatForest;Cleveland Force;Steel City
USA_USLLeagueTwo_SouthAtlantic;North Carolina FC U23;Charlotte Eagles
USA_USLLeagueTwo_Chesapeake;Bethesda SC;Virginia Marauders
USA_USLLeagueTwo_Northeast;Black Rock;Boston Bolts
USA_USLLeagueTwo_Southeast;Brave SC;Inter Gainesville
USA_USLLeagueTwo_Metropolitan;Cedar;Ironbound SC
USA_USLLeagueTwo_SouthFlorida;Fort Lauderdale;Weston
USA_USLLeagueTwo_GreatLakes;Kalamazoo FC;Lansing City
USA_USLLeagueTwo_SouthFlorida;Lakeland United;Miami City
USA_USLLeagueTwo_MidAtlantic;Ocean City;LVU Rush
USA_USLLeagueTwo_Chesapeake;Patuxent;Christos
USA_USLLeagueTwo_MidAtlantic;RC New Jersey;West Chester Utd
USA_USLLeagueTwo_MidAtlantic;Reading;Philadelphia Lone Star
USA_USLLeagueTwo_SouthAtlantic;Salem City;Tobacco Road
USA_USLLeagueTwo_SouthAtlantic;SC United Bantams;Charlotte Independ. 2
USA_USLLeagueTwo_Valley;Toledo Villa;Northern Indiana
USA_USLLeagueTwo_SouthAtlantic;Wake FC;Port City
USA_USLLeagueTwo_SouthCentral;Apotheos;Dothan United
USA_USLLeagueTwo_Metropolitan;Manhattan;New Jersey Copa
USA_USLLeagueTwo_Metropolitan;Morris Elite;Westchester Flames
USA_USLLeagueTwo_Chesapeake;Northern Virginia;Lionsbridge
USA_USLLeagueTwo_SouthCentral;Swarm FC;East Atlanta
USA_USLLeagueTwo_Chesapeake;Virginia Beach;Annapolis Blues
USA_USLLeagueTwo_NorCal;Davis Legacy;San Francisco City
USA_USLLeagueTwo_LoneStar;Houston FC;Houston Sur
USA_USLLeagueTwo_MidSouth;Jackson Boom;Hattiesburg
USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Memphis FC
USA_USLLeagueTwo_MidSouth;Mississippi Brilla;Louisiana
USA_USLLeagueTwo_SouthCentral;Montgomery United;Columbus United
USA_USLLeagueTwo_NorCal;Project 51O;Marin
USA_USLLeagueTwo_Heartland;River Light;Rockford Raptors
USA_USLLeagueTwo_Heartland;RKC SC;Chicago Dutch Lions
USA_USLLeagueTwo_Heartland;Rochester FC;St. Croix
USA_USLLeagueTwo_LoneStar;San Antonio FC 2;Twin City Toucans
USA_USLLeagueTwo_Ranger;West Texas;Lubbock Matadors
USA_USLLeagueTwo_Southwest;City SC;AMSG FC
USA_USLLeagueTwo_LoneStar;Laredo Heat;GFI Woodlands
USA_USLLeagueTwo_NorCal;Academica SC;San Juan
USA_USLLeagueTwo_Northwest;Bigfoot;Ballard
USA_USLLeagueTwo_Southwest;Ventura;Stars FC
Kazakhstan_FirstLeague;Akademiya Ontustik;Arys
Kazakhstan_FirstLeague;Aktobe 2;Khan Tengri
Kazakhstan_FirstLeague;Jaiyq;Tobol 2
