LeagueId;Home;Away
Australia_NPLACT;Canberra Croatia;Canberra Olympic
Australia_NPLNSW;Blacktown City;Sydney Utd
Australia_NPLNSW;Marconi;St George Saints
Australia_NPLNSW;Rockdale Ilinden;NWS Spirit
Australia_NPLNSW;Wollongong Wolves;St. George City
Australia_NPLQueensland;Gold Coast;Magic United
Australia_NPLQueensland;Brisbane City;Brisbane Roar U23
Australia_NPLTasmania;South East Utd.;South Hobart
Australia_NPLVictoria;South Melbourne;Dandenong Thunder
Australia_NorthernNSWStateLeague;Wallsend Red Devils;Singleton Strikers
Australia_NSWLeagueOne;Central Coast Mariners U23;Rydalmere Lions
Australia_VictoriaPremierLeague;Western Utd. U21;Melbourne Victory U21
Australia_NPL_NSW_U20;Blacktown City U20;Sydney Utd U20
Australia_NPL_NSW_U20;Marconi S. U20;St George Saints U20
Australia_NPL_NSW_U20;Rockdale Ilinden U20;NWS Spirit U20
Australia_NPL_NSW_U20;Wollongong Wolves U20;St. George City U20
Australia_NPLQueenslandU23;Gold Coast Blaze U23;Magic United U23
Australia_NPLQueenslandU23;Brisbane City U23;QLD State Team U17
Belarus_VysshayaLiga;Belshina;Baranovici
Belarus_VysshayaLiga;Zhodino;Isloch
Belarus_PershayaLiga;Smorgon;Volna Pinsk
Belarus_PershayaLiga;Osipovichi;Molodechno
Belarus_PershayaLiga;Lida;Uni X Labs
Estonia_Meistriliiga;Tammeka;Harju JK Laagri
Estonia_Esiliiga;Flora U21;Levadia U21
Estonia_Esiliiga;Nomme Kalju U21;Elva
Estonia_EsiliigaB;Narva U21;Tulevik
Estonia_EsiliigaB;Tabasalu;Parnu JK Vaprus U21
Estonia_EsiliigaB;Legion;Tallinna Kalev U21
Finland_Ykkosliiga;Mikkeli;Haka
Finland_Ykkonen;TPV;JJK Jyvaskyla
Finland_Ykkonen;Rovaniemi;Keski-Uusimaa
Finland_Kakkonen_GroupB;Ilves 2;EPS
Finland_Kakkonen_GroupC;VPS 2;Huima / Urho
FaroeIslands_PremierLeague;07 Vestur Sorvagur;HB Torshavn
Kazakhstan_PremierLeague;Aktobe;Zhetysu
Kazakhstan_PremierLeague;Atyrau;Kaspij Aktau
Kazakhstan_PremierLeague;Kaisar;Ertis Pavlodar
Kazakhstan_PremierLeague;Ordabasy;Ulytau
Latvia_Virsliga;Grobina;Tukums 2000
Lithuania_Toplyga;FA Siauliai;Zalgiris
Norway_OBOSLigaen;Odd;Haugesund
Sweden_Allsvenskan;Göteborg;AIK Stockholm
Sweden_Allsvenskan;Kalmar;Orgryte
Sweden_Allsvenskan;Elfsborg;Hammarby
USA_USLChampionship;Tampa Bay;Lexington
USA_USLChampionship;Pittsburgh;Brooklyn
USA_USLChampionship;Rhode Island;Orange County SC
USA_USLChampionship;Louisville City;Hartford Athletic
USA_USLChampionship;FC Tulsa;Sacramento Republic
USA_USLChampionship;Colorado Springs;Phoenix Rising
USA_USLChampionship;San Antonio;Monterey Bay
USA_USLChampionship;New Mexico;Oakland Roots
USA_USLChampionship;Las Vegas Lights;El Paso
USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;Toronto FC II
USA_MLSNextPro_EasternConference_SoutheastDivision;Chattanooga;Inter Miami II
USA_MLSNextPro_WesternConference_CentralDivision;North Texas;St. Louis City 2
USA_MLSNextPro_EasternConference_NortheastDivision;New England Revolution II;Philadelphia II
USA_USLLeagueOne;New York Cosmos;Greenville
USA_USLLeagueOne;Corpus Christi FC;Chattanooga Red Wolves
USA_USLLeagueOne;Fort Wayne;Spokane Velocity
USA_USLLeagueTwo_LoneStar;GFI Woodlands;Houston Sur
USA_USLLeagueTwo_MidSouth;Jackson Boom;Mississippi Brilla
USA_USLLeagueTwo_LoneStar;Twin City Toucans;Laredo Heat
USA_USLLeagueTwo_Ranger;McKinney Chupacabras;Texoma
USA_USLLeagueTwo_Heartland;St. Croix;Edgewater Castle
USA_USLLeagueTwo_MidAtlantic;Eagle FC;West Chester Utd
USA_USLLeagueTwo_NorCal;Project 51O;Davis Legacy
USA_USLLeagueTwo_Northwest;Ballard;Tacoma Stars
USA_USLLeagueTwo_Chesapeake;Virginia Marauders;Bethesda SC
USA_USLLeagueTwo_Northwest;West Seattle Junction;FC Olympia
USA_USLLeagueTwo_Southwest;City SC;Redlands FC
Bhutan_PremierLeague;RTC;Ugyen Academy
