LeagueId;Home;Away
Australia_NPLACT;Canberra Olympic;Canberra White Eagles
Australia_NPLACT;Canberra Croatia;Brindabella
Australia_NPLACT;Canberra Juventus;O'Connor Knights
Australia_NPLACT;Tuggeranong Utd;Belconnen Utd.
Australia_NPLACT;Tigers FC;Queanbeyan City
Australia_NPLNorthernNSW;Edgeworth E.;Belmont Swansea Utd.
Australia_NPLNorthernNSW;Weston Bears;Lambton J.
Australia_NPLNorthernNSW;Cooks Hill United;Charlestown Azzurri
Australia_NPLNorthernNSW;Maitland;Adamstown Rosebud
Australia_NPLNSW;Manly Utd;Sutherland
Australia_NPLNSW;SD Raiders;Blacktown City
Australia_NPLNSW;Sydney Olympic;Wollongong Wolves
Australia_NPLNSW;APIA Leichhardt;Sydney FC U23
Australia_NPLNSW;NWS Spirit;St George Saints
Australia_NPLNSW;St. George City;UNSW
Australia_NPLQueensland;Moreton City Excelsior;Magic United
Australia_NPLTasmania;South Hobart;Ulverstone
Australia_NPLTasmania;Clarence Zebras;Launceston
Australia_NPLTasmania;Devonport;South East Utd.
Australia_NPLVictoria;Melbourne City U21;Heidelberg
Australia_NPLVictoria;Dandenong Thunder;Bentleigh
Australia_NPLWesternAustralia;Olympic Kingsway;Perth RedStar
Australia_NPLWesternAustralia;Sorrento;Fremantle City
Australia_NorthernNSWStateLeague;Cessnock City Hornets;Dudley Redhead United
Australia_NorthernNSWStateLeague;Singleton Strikers;South Cardiff
Australia_NorthernNSWStateLeague;Newcastle Croatia;Lake Macquarie
Australia_NSWLeagueOne;Hakoah Sydney;Hurstville Zagreb
Australia_NSWLeagueOne;Northern Tigers;Newcastle Jets U23
Australia_NSWLeagueOne;Canterbury Bankstown;Prospect United
Australia_NSWLeagueOne;Dulwich Hill;Bulls Academy
Australia_NSWLeagueOne;Inter Lions;Hills United
Australia_NSWLeagueOne;Rydalmere Lions;Western City Rangers
Australia_QueenslandPremierLeague;St. George Willawong;Robina City
Australia_QueenslandPremierLeague;Logan Lightning;Ipswich
Australia_QueenslandPremierLeague;Redlands;Capalaba
Australia_QueenslandPremierLeague;Broadbeach Utd.;Caboolture
Australia_TasmaniaNorthernChampionship;Launceston United U21;Burnie Utd.
Australia_TasmaniaNorthernChampionship;Northern Rangers;Launceston U21
Australia_TasmaniaNorthernChampionship;Somerset;Riverside Olympic U21
Australia_TasmaniaNorthernChampionship;Devonport U21;Ulverstone U21
Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Olympia Warriors
Australia_TasmaniaSouthernChampionship;New Town;South Hobart U21
Australia_TasmaniaSouthernChampionship;Hobart Utd.;Hobart City
Australia_TasmaniaSouthernChampionship;Clarence Zebras U21;Taroona
Australia_VictoriaPremierLeague;Port Melbourne Sharks;North Sunshine Eagles
Australia_VictoriaPremierLeague;Eltham Redbacks;North Geelong
Australia_VictoriaPremierLeague;Melbourne Srbija;Manningham United Blues
Australia_VictoriaPremierLeague2;Moreland City;Springvale
Australia_VictoriaPremierLeague2;Bayside Argonauts;Altona City
Australia_VictoriaPremierLeague2;Keilor Park;Malvern
Australia_VictoriaPremierLeague2;Nunawading City;Goulburn Valley Suns
Australia_WAStateLeague;Cockburn City;Kingsley Westside
Australia_WAStateLeague;Curtin Univ;Floreat Athena
Australia_WAStateLeague;Gwelup Croatia;Inglewood
Australia_WAStateLeague;Joondalup;Mandurah City
Australia_WAStateLeague;Quinns;Nedlands
Australia_WAStateLeague;Subiaco;Murdoch Melville
Australia_NPL_NSW_U20;St. George City U20;UNSW U20
Australia_NPL_NSW_U20;Manly Utd U20;Sutherland U20
Australia_NPL_NSW_U20;SD Raiders U20;Blacktown City U20
Australia_NPL_NSW_U20;Sydney Olympic U20;Wollongong Wolves U20
Australia_NPL_NSW_U20;APIA Leichhardt U20;Sydney FC U20
Australia_NPL_NSW_U20;NWS Spirit U20;St George Saints U20
Australia_NPLQueenslandU23;Moreton City Excelsior U23;Magic United U23
Australia_NPLQueenslandU23;Peninsula U23;Wynnum Wolves U23
