LeagueId;Home;Away
Australia_QueenslandPremierLeague_2026;Caboolture;Sunshine Coast Wanderers
Australia_QueenslandPremierLeague_2026;Ipswich;Holland Park Hawks
USA_USLLeagueTwo_Mountain_2026;Flatirons;Colorado Storm
USA_USLLeagueTwo_LoneStar_2026;Lonestar SC;Laredo Heat
USA_USLLeagueTwo_Metropolitan_2026;Motown 2;Morris Elite
USA_USLLeagueTwo_MidSouth_2026;Red River;Little Rock Rangers
USA_USLLeagueTwo_GreatPlains_2026;Peoria;St. Louis Ambush
USA_USLLeagueTwo_Southwest_2026;Redlands FC;Capo
Australia_NPLNorthernNSW_2026;Cooks Hill United;Valentine
Australia_NPLNorthernNSW_2026;Edgeworth E.;Kahibah
Australia_NPLQueensland_2026;Wynnum Wolves;Rochedale
Australia_NPLSouthAustralia_2026;Adelaide Comets;Croydon
Australia_NPLVictoria_2026;Green Gully;Bentleigh
Australia_NPLVictoria_2026;Heidelberg;St Albans
Australia_NSWLeagueOne_2026;Hurstville Zagreb;Canterbury Bankstown
Australia_NSWLeagueOne_2026;Prospect United;Hakoah Sydney
Australia_SAStateLeague_2026;Adelaide Olympic;Salisbury Utd.
Australia_SAStateLeague_2026;Eastern United;Modbury
Australia_TasmaniaSouthernChampionship_2026;Glenorchy Knights U21;Clarence Zebras U21
Australia_VictoriaPremierLeague2_2026;Box Hill;Whittlesea United
Australia_VictoriaPremierLeague2_2026;Kingston City;Nunawading City
Australia_VictoriaPremierLeague2_2026;Springvale;Keilor Park
