LeagueId;Home;Away
Iceland_Division_1;Afturelding;Njardvik
Iceland_Division_1;Fylkir;Kopavogur
Iceland_Division_1;Grindavik;Aegir
Iceland_Division_1;Leiknir;IR Reykjavik
Iceland_Division_2;Selfoss;Haukar
Iceland_Division_2;Throttur Vogar;Fjolnir
Norway_2ndDivision_Group2;Eidsvold;Tromsdalen
Norway_3rdDivision_Group1;Vålerenga 2;Union Carl Berner
Norway_3rdDivision_Group4;Flekkeroy;Akra
Norway_3rdDivision_Group5;Skedsmo;Skjetten
Sweden_Superettan;Brage;Falkenberg
Sweden_Division1_Norra;FBK Karlstad;Hammarby TFF
Sweden_Division1_Norra;Sollentuna;AFC Eskilstuna
Sweden_Division1_Norra;Assyriska FF;Vasalund
Sweden_Division1_Sodra;Kristianstad;Trelleborg
Sweden_Division1_Sodra;Hassleholms IF;Tvaaker
Sweden_Division2_NorraGotaland;Vanersborgs IF;Stenungsunds
Sweden_Division2_NorraGotaland;Skara;Herrestads AIF
Sweden_Division2_NorraSvealand;Kungsangen;Skiljebo
Sweden_Division2_SodraGotaland;IFK Berga;Vaxjo Norra
Sweden_Division2_VastraGotaland;Onsala;Landvetter
Sweden_Division2_VastraGotaland;Dalstorps IF;Lindome
USA_USLLeagueTwo_SouthFlorida;Brevard SC;Weston
USA_USLLeagueTwo_SouthCentral;Birmingham 2;Swarm FC
Estonia_Meistriliiga;Parnu JK Vaprus;Kuressaare
