LeagueId;Home;Away
Finland_Veikkausliiga_2026;Ilves;SJK
Finland_Veikkausliiga_2026;HJK;KuPS
Finland_Veikkausliiga_2026;Mariehamn;Inter Turku
Finland_Veikkausliiga_2026;Gnistan;VPS
Finland_Veikkausliiga_2026;TPS Turku;Jaro
Finland_Veikkausliiga_2026;Oulu;Lahti
Iceland_Division_1_2026;Throttur;Vestri
Iceland_Division_1_2026;Volsungur;Grotta
Iceland_Division_2_2026;Dalvik/Reynir;KFA
Iceland_Division_2_2026;Kormakur/Hvot;Hviti
Iceland_Division_2_2026;Olafsvik;KFG Gardabaer
Iceland_Division_2_2026;Kari;Magni
Norway_OBOSLigaen_2026;Åsane;Ranheim
Norway_OBOSLigaen_2026;Haugesund;Kongsvinger
Norway_OBOSLigaen_2026;Lyn;Hodd
Norway_OBOSLigaen_2026;Sandnes;Raufoss
Norway_OBOSLigaen_2026;Stabaek;Bryne
Norway_OBOSLigaen_2026;Strømmen;Moss
Norway_OBOSLigaen_2026;Strömsgodset;Odd
Norway_OBOSLigaen_2026;Sogndal;Egersund
Norway_2ndDivision_Group1_2026;Traeff;Eik-Tonsberg
Norway_2ndDivision_Group1_2026;Lysekloster;Brattvag
Norway_2ndDivision_Group1_2026;Vidar;Halden
Norway_2ndDivision_Group1_2026;Mjondalen;Bjarg
Norway_2ndDivision_Group1_2026;Pors;Arendal
Norway_2ndDivision_Group1_2026;Sandviken;Notodden
Norway_2ndDivision_Group2_2026;Ull/Kisa;Rana FK
Norway_2ndDivision_Group2_2026;Kjelsås;Honefoss
Norway_2ndDivision_Group2_2026;Lørenskog;Grorud
Norway_3rdDivision_Group1_2026;Grei;Nordstrand
Norway_3rdDivision_Group1_2026;Asker;Ullern
Norway_3rdDivision_Group1_2026;Frigg;Baerum Sportsklubb
Norway_3rdDivision_Group2_2026;FK Kvik;Volda TI
Norway_3rdDivision_Group2_2026;Herd;Ntnui
Norway_3rdDivision_Group2_2026;Orkla;Molde 2
Norway_3rdDivision_Group2_2026;Ranheim 2;Nardo
Norway_3rdDivision_Group2_2026;Rosenborg 2;Spjelkavik
Norway_3rdDivision_Group2_2026;Byåsen;Aalesund 2
Norway_3rdDivision_Group3_2026;Sogndal 2;Stord
Norway_3rdDivision_Group3_2026;Brann 2;Fana
Norway_3rdDivision_Group3_2026;Djerv 1919;Gneist
Norway_3rdDivision_Group3_2026;Askoy;Forde
Norway_3rdDivision_Group4_2026;Madla IL;Mandalskameratene
Norway_3rdDivision_Group5_2026;Fauske Sprint;Floya
Norway_3rdDivision_Group5_2026;Bossekop;Kongsvinger 2
Norway_3rdDivision_Group5_2026;Ulfstind;Harstad
Norway_3rdDivision_Group6_2026;Lillehammer;Elverum
Norway_3rdDivision_Group6_2026;Oppsal;Raelingen
Norway_3rdDivision_Group6_2026;Orn;Sandefjord 2
Norway_3rdDivision_Group6_2026;Fram;Drobak-Frogn
Sweden_Superettan_2026;Ljungskile;Örebro
Sweden_Superettan_2026;Varberg;Öster
Sweden_Superettan_2026;Nordic United;Oddevold
Sweden_Superettan_2026;Sundsvall;Östersund
Sweden_Division1_Norra_2026;Stockholm Internazionale;Enkoping SK
Sweden_Division1_Norra_2026;Arlanda;Karlstad
Sweden_Division1_Norra_2026;Gefle;Stocksund
Sweden_Division1_Sodra_2026;Laholms;Utsikten
Sweden_Division1_Sodra_2026;Trollhättan;Angelholm
Sweden_Division1_Sodra_2026;AFC Malmo;Jonkoping
Sweden_Division1_Sodra_2026;Atvidaberg;Rosengard
Sweden_Division1_Sodra_2026;Lunds;Skövde
Sweden_Division2_NorraGotaland_2026;Ahlafors IF;Tord
Sweden_Division2_NorraGotaland_2026;Husqvarna;Karlstad II
Sweden_Division2_NorraGotaland_2026;Motala;Vanersborgs FK
Sweden_Division2_NorraSvealand_2026;IK Franke;Viggbyholms
Sweden_Division2_NorraSvealand_2026;Taby;Gute
Sweden_Division2_NorraSvealand_2026;Bollstanas;Korsnas
Sweden_Division2_NorraSvealand_2026;Falu;Lidingo IFK
Sweden_Division2_SodraGotaland_2026;Nosaby;IFK Trelleborg
Sweden_Division2_SodraGotaland_2026;Osterlen;Karlskrona
Sweden_Division2_SodraGotaland_2026;Rappe GOIF;Staffanstorp United
Sweden_Division2_SodraGotaland_2026;Solvesborgs;Oskarshamn
Sweden_Division2_SodraSvealand_2026;Haninge;Sleipner
Sweden_Division2_SodraSvealand_2026;Eker Orebro;Farsta
Sweden_Division2_VastraGotaland_2026;Astorps;Torslanda
Sweden_Division2_VastraGotaland_2026;Astrio;Hestrafors
USA_USLLeagueTwo_Metropolitan_2026;New Jersey Copa;Ironbound SC
USA_USLLeagueTwo_Heartland_2026;Edgewater Castle;Chicago Dutch Lions
USA_USLLeagueTwo_Valley_2026;Louisville City 2;Kings Hammer Columbus
USA_USLLeagueTwo_Heartland_2026;Rochester FC;Rockford Raptors
USA_USLLeagueTwo_GreatForest_2026;Buffalo;Steel City
USA_USLLeagueTwo_Valley_2026;West Virginia;Dayton
