Population;Matches;OriginalOK;OriginalKO;OriginalSuccessRate;SimulatedAltaMatches;SimulatedAltaOK;SimulatedAltaKO;SimulatedAltaSuccessRate;OKLostFromAlta;KORemovedFromAlta;NetKOAdvantage
ALTA;123;99;24;0.8049;111;91;20;0.8198;8;4;-4
ALTA_NO_AUSTRALIA;123;99;24;0.8049;111;91;20;0.8198;8;4;-4
