MatchId;PredictionDate;MatchDate;LeagueId;Round;Home;Away;Score;Band;Outcome;HG;AG;Goals;AlgorithmVersion;ResolvedResultFile;ResolvedMatchDate;HomeRecentMatches;HomeRecentPoints;HomeRecentPPG5;HomeRecentWins5;HomeRecentDraws5;HomeRecentLosses5;HomeRecentGF5;HomeRecentGA5;HomeRecentOver25Rate5;AwayRecentMatches;AwayRecentPoints;AwayRecentPPG5;AwayRecentWins5;AwayRecentDraws5;AwayRecentLosses5;AwayRecentGF5;AwayRecentGA5;AwayRecentOver25Rate5;WorstRecentPPG5;AverageRecentPPG5;BothBelow080;BothWinless5;RecentFormBucket;ProposedPenalty;SimulatedScore;SimulatedBand;WouldLeaveAlta
14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;26;Ironbound SC;Staten Island ASC;79.93;ALTA;OK;3;0;3;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Metropolitan.csv;2026-07-06;5;13;2.6000;4;1;0;11;5;0.6000;5;3;0.6000;1;0;4;6;14;0.8000;0.6000;1.6000;0;0;0.40-0.79;2;77.93;ALTA;0
15;2026-07-06;;USA_USLLeagueTwo_MidSouth;19;Little Rock Rangers;Louisiana;69.89;MEDIA;KO;2;0;2;2.5.0;data\storico\risultati\USA_USLLeagueTwo_MidSouth.csv;2026-07-06;5;15;3.0000;5;0;0;10;3;0.6000;5;7;1.4000;2;1;2;9;10;0.8000;1.4000;2.2000;0;0;>=1.20;0;69.89;MEDIA;0
16;2026-07-06;;USA_USLLeagueTwo_NorCal;28;Marin;Glens SC;72.16;MEDIA;KO;1;1;2;2.5.0;data\storico\risultati\USA_USLLeagueTwo_NorCal.csv;2026-07-06;5;1;0.2000;0;1;4;6;15;0.8000;5;6;1.2000;2;0;3;5;7;0.6000;0.2000;0.7000;0;0;<0.40;3;69.16;MEDIA;0
17;2026-07-06;;USA_USLLeagueTwo_NorCal;28;San Francisco City;Academica SC;81.4;ALTA;OK;5;1;6;2.5.0;data\storico\risultati\USA_USLLeagueTwo_NorCal.csv;2026-07-06;5;12;2.4000;4;0;1;18;8;0.8000;5;6;1.2000;2;0;3;12;12;0.8000;1.2000;1.8000;0;0;>=1.20;0;81.40;ALTA;0
18;2026-07-06;;USA_USLLeagueTwo_Northwest;34;Bigfoot;Portland Bangers;74.27;MEDIA;OK;3;0;3;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Northwest.csv;2026-07-06;5;4;0.8000;1;1;3;7;15;0.8000;5;6;1.2000;2;0;3;4;8;0.2000;0.8000;1.0000;0;0;0.80-1.19;1;73.27;MEDIA;0
19;2026-07-06;;USA_USLLeagueTwo_SouthAtlantic;37;North Carolina FC U23;Asheville City;67.1;MEDIA;OK;1;2;3;2.5.0;data\storico\risultati\USA_USLLeagueTwo_SouthAtlantic.csv;2026-07-06;5;8;1.6000;2;2;1;6;4;0.4000;5;15;3.0000;5;0;0;12;1;0.4000;1.6000;2.3000;0;0;>=1.20;0;67.10;MEDIA;0
20;2026-07-06;;USA_USLLeagueTwo_SouthCentral;21;East Atlanta;Birmingham 2;74.65;MEDIA;OK;4;1;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_SouthCentral.csv;2026-07-06;5;3;0.6000;1;0;4;8;13;1.0000;5;6;1.2000;1;3;1;8;8;0.6000;0.6000;0.9000;0;0;0.40-0.79;2;72.65;MEDIA;0
26;2026-07-07;;Finland_Kakkonen_GroupC;14;JBK;Narpes Kraft;85.73;ALTA;OK;4;2;6;2.5.0;data\storico\risultati\Finland_Kakkonen_GroupC.csv;2026-07-08;5;4;0.8000;1;1;3;8;10;0.8000;5;9;1.8000;3;0;2;16;6;1.0000;0.8000;1.3000;0;0;0.80-1.19;1;84.73;ALTA;0
27;2026-07-07;;Kyrgyzstan_PremierLiga;16;Asia Talas;Abdysh-Ata;77.93;ALTA;OK;4;0;4;2.5.0;data\storico\risultati\Kyrgyzstan_PremierLiga.csv;2026-07-08;5;9;1.8000;3;0;2;10;11;1.0000;5;5;1.0000;1;2;2;6;6;0.4000;1.0000;1.4000;0;0;0.80-1.19;1;76.93;ALTA;0
30;2026-07-07;;USA_USLLeagueTwo_GreatForest;25;Lorain County Leviathan;Erie Sports Center;86.38;ALTA;OK;5;0;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatForest.csv;2026-07-08;5;6;1.2000;2;0;3;12;12;1.0000;5;0;0.0000;0;0;5;5;21;1.0000;0.0000;0.6000;0;0;<0.40;3;83.38;ALTA;0
