LeagueId;PROX_ALTA;OK;KO;HitRate;ShareOfTotalPct
Finland_Kakkonen_GroupC;10;6;4;60.0;7.46
Estonia_EsiliigaB;8;6;2;75.0;5.97
Iceland_Division_2;8;5;3;62.5;5.97
Australia_NPL_NSW_U20;6;5;1;83.33;4.48
Australia_NPLWesternAustralia;6;4;2;66.67;4.48
Australia_TasmaniaSouthernChampionship;6;4;2;66.67;4.48
Australia_VictoriaPremierLeague;6;4;2;66.67;4.48
Iceland_BestaDeildKarla;5;4;1;80.0;3.73
Australia_NPLQueenslandU23;5;3;2;60.0;3.73
Norway_3rdDivision_Group2;5;2;3;40.0;3.73
Bolivia_DivisionProfesional;4;4;0;100.0;2.99
Norway_3rdDivision_Group1;4;4;0;100.0;2.99
Australia_NPLQueensland;3;3;0;100.0;2.24
Australia_WAStateLeague;3;3;0;100.0;2.24
Estonia_Esiliiga;3;3;0;100.0;2.24
Norway_3rdDivision_Group5;3;3;0;100.0;2.24
Australia_TasmaniaNorthernChampionship;3;1;2;33.33;2.24
Australia_NSWLeagueOne;2;2;0;100.0;1.49
Finland_Kolmonen_Eastern_Group3;2;2;0;100.0;1.49
Finland_Kolmonen_Western_Group2;2;2;0;100.0;1.49
Norway_3rdDivision_Group6;2;2;0;100.0;1.49
Finland_Kakkonen_GroupA;2;1;1;50.0;1.49
Finland_Kolmonen_Southern_Group3;2;1;1;50.0;1.49
Finland_Ykkonen;2;1;1;50.0;1.49
Norway_3rdDivision_Group3;2;1;1;50.0;1.49
Norway_3rdDivision_Group4;2;1;1;50.0;1.49
Australia_NPLNorthernNSW;2;0;2;0.0;1.49
Australia_SAStateLeague;2;0;2;0.0;1.49
Australia_NPLACT;1;1;0;100.0;0.75
Australia_NPLTasmania;1;1;0;100.0;0.75
Australia_QueenslandPremierLeague;1;1;0;100.0;0.75
Australia_VictoriaPremierLeague2;1;1;0;100.0;0.75
Belarus_PershayaLiga;1;1;0;100.0;0.75
Iceland_Division_1;1;1;0;100.0;0.75
Kyrgyzstan_PremierLiga;1;1;0;100.0;0.75
Norway_2ndDivision_Group2;1;1;0;100.0;0.75
Norway_OBOSLigaen;1;1;0;100.0;0.75
Somalia_NationalLeague;1;1;0;100.0;0.75
SouthKorea_KLeague2;1;1;0;100.0;0.75
Sweden_Superettan;1;1;0;100.0;0.75
USA_MLSNextPro_EasternConference_NortheastDivision;1;1;0;100.0;0.75
USA_USLLeagueOne;1;1;0;100.0;0.75
Australia_NorthernNSWStateLeague;1;0;1;0.0;0.75
Finland_Kolmonen_Eastern_Group1;1;0;1;0.0;0.75
Finland_Kolmonen_Southern_Group1;1;0;1;0.0;0.75
Finland_Kolmonen_Southern_Group2;1;0;1;0.0;0.75
Kazakhstan_FirstLeague;1;0;1;0.0;0.75
Sweden_Division1_Sodra;1;0;1;0.0;0.75
Sweden_Division2_NorraGotaland;1;0;1;0.0;0.75
Sweden_Division2_SodraGotaland;1;0;1;0.0;0.75
Sweden_Division2_SodraSvealand;1;0;1;0.0;0.75
USA_MLSNextPro_EasternConference_SoutheastDivision;1;0;1;0.0;0.75
