LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
Australia_TasmaniaSouthernChampionship_2026;13;Hobart City;University of Tasmania;Hobart City - University of Tasmania;94.26;ALTA;1.33;13.0;10.0;10.8;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_NPLACT_2026;16;Belconnen Utd.;Canberra Juventus;Belconnen Utd. - Canberra Juventus;94.04;ALTA;2.0;10.45;8.71;12.0;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_TasmaniaNorthernChampionship_2026;13;Burnie Utd.;Riverside Olympic U21;Burnie Utd. - Riverside Olympic U21;91.97;ALTA;0.86;13.0;10.0;12.0;10.67;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Finland_Kakkonen_GroupC_2026;12;Narpes Kraft;Jaro 2;Narpes Kraft - Jaro 2;90.83;ALTA;2.67;13.0;10.0;10.67;9.33;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_TasmaniaSouthernChampionship_2026;13;Taroona;Hobart Utd.;Taroona - Hobart Utd.;90.47;ALTA;2.67;13.0;10.0;10.8;12.0;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
Australia_NPLACT_2026;16;Queanbeyan City;Tuggeranong Utd;Queanbeyan City - Tuggeranong Utd;89.14;ALTA;0.67;13.0;10.0;9.6;12.0;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_NPLWesternAustralia_2026;17;Armadale;Olympic Kingsway;Armadale - Olympic Kingsway;89.04;ALTA;4.36;11.82;6.67;10.8;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_VictoriaPremierLeague_2026;19;Langwarrin;Eltham Redbacks;Langwarrin - Eltham Redbacks;88.13;ALTA;0.92;10.51;8.33;9.6;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_TasmaniaNorthernChampionship_2026;13;Ulverstone U21;Northern Rangers;Ulverstone U21 - Northern Rangers;87.89;ALTA;0.86;13.0;5.45;12.0;12.0;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
Australia_NPLQueensland_2026;17;Queensland Lions;Olympic FC;Queensland Lions - Olympic FC;86.63;ALTA;3.27;13.0;9.37;9.6;10.8;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
FaroeIslands_1Deild_2026;16;TB Tvoroyri;Streymur 2;TB Tvoroyri - Streymur 2;86.6;ALTA;3.33;9.06;10.0;12.0;9.6;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_TasmaniaNorthernChampionship_2026;13;Launceston U21;Somerset;Launceston U21 - Somerset;86.49;ALTA;0.86;11.33;10.0;8.4;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
USA_USLLeagueTwo_GreatLakes_2026;20260630;Kalamazoo FC;Flint City;Kalamazoo FC - Flint City;86.09;ALTA;2.0;13.0;5.05;9.33;10.67;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Iceland_Division_2_2026;22;KFA;Olafsvik;KFA - Olafsvik;85.08;ALTA;1.64;13.0;9.09;9.6;8.4;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Iceland_Division_2_2026;22;Fjolnir;Kormakur/Hvot;Fjolnir - Kormakur/Hvot;82.82;ALTA;0.55;13.0;5.91;10.8;8.4;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, alta tendenza BTTS
Australia_NPL_NSW_U20_2026;23;UNSW U20;Sydney FC U20;UNSW U20 - Sydney FC U20;82.08;ALTA;2.8;11.26;6.71;10.8;8.4;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, alta tendenza BTTS
Australia_TasmaniaNorthernChampionship_2026;13;Devonport U21;Launceston United U21;Devonport U21 - Launceston United U21;81.93;ALTA;6.0;13.0;10.0;10.8;9.6;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
Australia_NSWLeagueOne_2026;22;Blacktown Spartans;Newcastle Jets U23;Blacktown Spartans - Newcastle Jets U23;81.86;ALTA;4.8;13.0;9.31;8.4;7.2;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, alta tendenza BTTS
Norway_OBOSLigaen_2026;15;Egersund;Moss;Egersund - Moss;81.81;ALTA;0.4;9.55;10.0;9.6;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over trasferta positivo, alta tendenza BTTS
Finland_Kakkonen_GroupC_2026;12;Hercules;Vaajakoski;Hercules - Vaajakoski;81.77;ALTA;0.67;8.86;10.0;12.0;8.4;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Finland_Kakkonen_GroupC_2026;12;TP-47;GBK Kokkola;TP-47 - GBK Kokkola;81.58;ALTA;0.67;11.23;9.09;8.4;8.4;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
USA_USLLeagueTwo_Chesapeake_2026;20260630;Lionsbridge;Hill City;Lionsbridge - Hill City;81.56;ALTA;3.6;13.0;8.71;9.6;8.4;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
