LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
Australia_TasmaniaSouthernChampionship_2026;13;Glenorchy Knights U21;Clarence Zebras U21;Glenorchy Knights U21 - Clarence Zebras U21;99.11;ALTA;2.0;13.0;10.0;12.0;10.8;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_NPLNorthernNSW_2026;19;Edgeworth E.;Kahibah;Edgeworth E. - Kahibah;87.5;ALTA;3.27;11.82;10.0;10.8;12.0;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_NPLQueensland_2026;17;Wynnum Wolves;Rochedale;Wynnum Wolves - Rochedale;85.34;ALTA;1.09;10.34;10.0;12.0;9.6;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_QueenslandPremierLeague_2026;18;Caboolture;Sunshine Coast Wanderers;Caboolture - Sunshine Coast Wanderers;83.07;ALTA;1.64;11.45;5.97;9.6;8.4;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
Australia_SAStateLeague_2026;17;Adelaide Olympic;Salisbury Utd.;Adelaide Olympic - Salisbury Utd.;78.72;ALTA;3.82;11.45;10.0;8.4;10.8;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo, alta tendenza BTTS
USA_USLLeagueTwo_Metropolitan_2026;20260630;Motown 2;Morris Elite;Motown 2 - Morris Elite;76.57;ALTA;4.67;13.0;10.0;9.33;8.0;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
Australia_NSWLeagueOne_2026;22;Hurstville Zagreb;Canterbury Bankstown;Hurstville Zagreb - Canterbury Bankstown;76.04;ALTA;2.8;9.0;7.58;8.4;9.6;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, alta tendenza BTTS
USA_USLLeagueTwo_Mountain_2026;20260631;Flatirons;Colorado Storm;Flatirons - Colorado Storm;75.9;ALTA;5.0;7.39;1.52;10.5;8.0;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
USA_USLLeagueTwo_Southwest_2026;20260629;Redlands FC;Capo;Redlands FC - Capo;74.66;MEDIA;3.43;12.47;9.09;6.67;6.0;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, profilo over casa positivo, alta tendenza BTTS
Australia_NPLSouthAustralia_2026;17;Adelaide Comets;Croydon;Adelaide Comets - Croydon;71.45;MEDIA;2.73;6.65;8.24;8.4;8.4;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo
USA_USLLeagueTwo_MidSouth_2026;20260630;Red River;Little Rock Rangers;Red River - Little Rock Rangers;70.3;MEDIA;2.0;12.41;1.7;9.6;6.0;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, profilo over casa positivo
USA_USLLeagueTwo_LoneStar_2026;20260630;Lonestar SC;Laredo Heat;Lonestar SC - Laredo Heat;69.95;MEDIA;2.25;11.82;2.02;7.2;8.0;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, profilo over trasferta positivo, alta tendenza BTTS
Australia_NPLVictoria_2026;19;Heidelberg;St Albans;Heidelberg - St Albans;68.41;MEDIA;2.31;9.85;8.33;8.4;7.2;buon attacco casa, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, profilo over casa positivo, profilo over trasferta positivo
Australia_NPLNorthernNSW_2026;19;Cooks Hill United;Valentine;Cooks Hill United - Valentine;68.19;MEDIA;1.64;10.71;8.81;9.6;6.0;buon attacco casa, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, profilo over casa positivo
Australia_QueenslandPremierLeague_2026;18;Ipswich;Holland Park Hawks;Ipswich - Holland Park Hawks;66.74;MEDIA;3.27;8.86;8.81;7.2;9.6;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta
Australia_NSWLeagueOne_2026;22;Prospect United;Hakoah Sydney;Prospect United - Hakoah Sydney;65.38;MEDIA;2.8;5.63;7.79;6.0;9.6;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, alta tendenza BTTS
USA_USLLeagueTwo_GreatPlains_2026;20260630;Peoria;St. Louis Ambush;Peoria - St. Louis Ambush;58.97;BASSA;3.6;13.0;6.57;6.67;5.33;buon attacco casa, difesa trasferta vulnerabile
Australia_SAStateLeague_2026;17;Eastern United;Modbury;Eastern United - Modbury;58.74;BASSA;2.73;6.65;4.22;3.6;7.2;buon attacco trasferta, difesa casa vulnerabile, trend over recente trasferta
Australia_VictoriaPremierLeague2_2026;19;Springvale;Keilor Park;Springvale - Keilor Park;58.33;BASSA;2.31;6.24;5.61;7.2;3.6;difesa casa vulnerabile, trend over recente casa, profilo over casa positivo
Australia_VictoriaPremierLeague2_2026;19;Kingston City;Nunawading City;Kingston City - Nunawading City;57.79;BASSA;1.85;4.87;6.68;9.6;3.6;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, profilo over casa positivo
Australia_NPLVictoria_2026;19;Green Gully;Bentleigh;Green Gully - Bentleigh;55.82;BASSA;0.92;3.28;9.85;7.2;8.4;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta
Australia_VictoriaPremierLeague2_2026;19;Box Hill;Whittlesea United;Box Hill - Whittlesea United;52.82;BASSA;0.46;8.69;5.3;6.0;4.8;buon attacco casa, buon attacco trasferta
