Engine;SourceFile;StandingsSource;MatchDate;LeagueId;Home;Away;TeamsCount;RelegationStartPosition;HomePosition;AwayPosition;HomePlayed;AwayPlayed;HomePoints;AwayPoints;PointsGap;OriginalBand;FinalBand;Decision
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kolmonen_Western_Group1;VG-62;MaPS;13;10;5;7;13;13;21;17;4;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;SouthKorea_KLeague2;Hwaseong;Seoul E-Land;17;14;4;2;19;19;34;36;2;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Bhutan_PremierLeague;Tsirang;Thimphu City;10;7;8;2;11;11;11;26;15;MEDIA;MEDIA;AWAY_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;SouthKorea_KLeague2;Yongin;Busan;17;14;13;3;19;19;19;36;17;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;SouthKorea_KLeague2;Gyeongnam;Daegu;17;14;9;6;19;19;25;32;7;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Australia_SAStateLeague;Adelaide Croatia Raiders;Cove FC;19;16;1;8;20;20;41;24;17;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kakkonen_GroupA;PEPO;MyPa;10;7;2;9;14;14;28;12;16;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kakkonen_GroupA;Kiffen;Union Plaani;10;7;1;10;15;14;30;5;25;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Australia_NPLSouthAustralia;Adelaide Comets;NE Metrostars;18;15;11;3;19;20;16;38;22;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Australia_NPLSouthAustralia;Adelaide City;Playford Patriots;18;15;1;5;21;20;45;32;13;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Kazakhstan_FirstLeague;Turan;FC Astana 2;14;11;3;5;16;16;34;26;8;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Sweden_Division2_SodraGotaland;Osterlen;Solvesborgs;16;13;7;12;15;14;21;16;5;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Sweden_Division2_NorraGotaland;Skara;Vanersborgs FK;19;16;1;10;16;15;37;16;21;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Sweden_Division1_Norra;Enkoping SK;Karlbergs;18;15;6;9;15;15;25;21;4;MEDIA;MEDIA;HOME_NOT_LAST_N
v25;data\output_ranking\v25\ranking_2026_08_07_v25.csv;CALCULATED_STANDINGS;2026-08-07;Finland_Kolmonen_Southern_Group1;Etelä-Espoon Pallo;NuPS;12;9;2;4;13;13;31;22;9;MEDIA;MEDIA;HOME_NOT_LAST_N
