Country;League;Season;SnapshotRound;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points
Norway;3rd Division Group 1;2026;1;1;Ready;1;1;0;0;6;1;5;3
Norway;3rd Division Group 1;2026;1;2;Gamle Oslo;1;1;0;0;6;2;4;3
Norway;3rd Division Group 1;2026;1;3;Asker;1;1;0;0;3;0;3;3
Norway;3rd Division Group 1;2026;1;4;Baerum Sportsklubb;1;1;0;0;3;0;3;3
Norway;3rd Division Group 1;2026;1;5;Heming;1;1;0;0;3;0;3;3
Norway;3rd Division Group 1;2026;1;6;Union Carl Berner;1;1;0;0;3;1;2;3
Norway;3rd Division Group 1;2026;1;7;Vålerenga 2;1;1;0;0;3;1;2;3
Norway;3rd Division Group 1;2026;1;8;Frigg;1;0;0;1;1;3;-2;0
Norway;3rd Division Group 1;2026;1;9;Grei;1;0;0;1;1;3;-2;0
Norway;3rd Division Group 1;2026;1;10;Konnerud;1;0;0;1;0;3;-3;0
Norway;3rd Division Group 1;2026;1;11;Nordstrand;1;0;0;1;0;3;-3;0
Norway;3rd Division Group 1;2026;1;12;Ullern;1;0;0;1;0;3;-3;0
Norway;3rd Division Group 1;2026;1;13;K. Oslo 2;1;0;0;1;2;6;-4;0
Norway;3rd Division Group 1;2026;1;14;Lokomotiv Oslo;1;0;0;1;1;6;-5;0
Norway;3rd Division Group 1;2026;2;1;Asker;2;2;0;0;9;1;8;6
Norway;3rd Division Group 1;2026;2;2;Baerum Sportsklubb;2;2;0;0;8;1;7;6
Norway;3rd Division Group 1;2026;2;3;Ready;2;2;0;0;8;1;7;6
Norway;3rd Division Group 1;2026;2;4;Heming;2;2;0;0;5;0;5;6
Norway;3rd Division Group 1;2026;2;5;Frigg;2;1;0;1;6;5;1;3
Norway;3rd Division Group 1;2026;2;6;Gamle Oslo;2;1;0;1;7;7;0;3
Norway;3rd Division Group 1;2026;2;7;Konnerud;2;1;0;1;4;4;0;3
Norway;3rd Division Group 1;2026;2;8;Union Carl Berner;2;1;0;1;3;3;0;3
Norway;3rd Division Group 1;2026;2;9;Vålerenga 2;2;1;0;1;4;5;-1;3
Norway;3rd Division Group 1;2026;2;10;Ullern;2;1;0;1;3;5;-2;3
Norway;3rd Division Group 1;2026;2;11;Nordstrand;2;0;0;2;2;6;-4;0
Norway;3rd Division Group 1;2026;2;12;Grei;2;0;0;2;3;8;-5;0
Norway;3rd Division Group 1;2026;2;13;Lokomotiv Oslo;2;0;0;2;1;8;-7;0
Norway;3rd Division Group 1;2026;2;14;K. Oslo 2;2;0;0;2;3;12;-9;0
Norway;3rd Division Group 1;2026;3;1;Baerum Sportsklubb;3;3;0;0;13;2;11;9
Norway;3rd Division Group 1;2026;3;2;Asker;3;3;0;0;12;1;11;9
Norway;3rd Division Group 1;2026;3;3;Heming;3;3;0;0;8;1;7;9
Norway;3rd Division Group 1;2026;3;4;Ready;3;2;1;0;11;4;7;7
Norway;3rd Division Group 1;2026;3;5;Union Carl Berner;3;2;0;1;4;3;1;6
Norway;3rd Division Group 1;2026;3;6;Frigg;3;1;1;1;9;8;1;4
Norway;3rd Division Group 1;2026;3;7;Gamle Oslo;3;1;1;1;10;10;0;4
Norway;3rd Division Group 1;2026;3;8;Vålerenga 2;3;1;1;1;7;8;-1;4
Norway;3rd Division Group 1;2026;3;9;Konnerud;3;1;0;2;5;7;-2;3
Norway;3rd Division Group 1;2026;3;10;Lokomotiv Oslo;3;1;0;2;6;10;-4;3
Norway;3rd Division Group 1;2026;3;11;Ullern;3;1;0;2;5;10;-5;3
Norway;3rd Division Group 1;2026;3;12;Grei;3;0;0;3;3;11;-8;0
Norway;3rd Division Group 1;2026;3;13;Nordstrand;3;0;0;3;3;11;-8;0
Norway;3rd Division Group 1;2026;3;14;K. Oslo 2;3;0;0;3;3;13;-10;0
Norway;3rd Division Group 1;2026;4;1;Asker;4;4;0;0;16;2;14;12
Norway;3rd Division Group 1;2026;4;2;Heming;4;4;0;0;12;2;10;12
Norway;3rd Division Group 1;2026;4;3;Ready;4;3;1;0;13;4;9;10
Norway;3rd Division Group 1;2026;4;4;Baerum Sportsklubb;4;3;0;1;14;6;8;9
Norway;3rd Division Group 1;2026;4;5;Gamle Oslo;4;2;1;1;15;11;4;7
Norway;3rd Division Group 1;2026;4;6;Konnerud;4;2;0;2;7;8;-1;6
Norway;3rd Division Group 1;2026;4;7;Lokomotiv Oslo;4;2;0;2;8;11;-3;6
Norway;3rd Division Group 1;2026;4;8;Union Carl Berner;4;2;0;2;5;8;-3;6
Norway;3rd Division Group 1;2026;4;9;Frigg;4;1;1;2;10;10;0;4
Norway;3rd Division Group 1;2026;4;10;Vålerenga 2;4;1;1;2;8;12;-4;4
Norway;3rd Division Group 1;2026;4;11;Ullern;4;1;0;3;7;13;-6;3
Norway;3rd Division Group 1;2026;4;12;Grei;4;1;0;3;6;13;-7;3
Norway;3rd Division Group 1;2026;4;13;Nordstrand;4;0;0;4;4;13;-9;0
Norway;3rd Division Group 1;2026;4;14;K. Oslo 2;4;0;0;4;3;15;-12;0
Norway;3rd Division Group 1;2026;5;1;Asker;5;5;0;0;18;3;15;15
Norway;3rd Division Group 1;2026;5;2;Baerum Sportsklubb;5;4;0;1;16;7;9;12
Norway;3rd Division Group 1;2026;5;3;Heming;5;4;0;1;14;5;9;12
Norway;3rd Division Group 1;2026;5;4;Ready;5;3;2;0;15;6;9;11
Norway;3rd Division Group 1;2026;5;5;Gamle Oslo;5;3;1;1;23;14;9;10
Norway;3rd Division Group 1;2026;5;6;Konnerud;5;2;0;3;9;12;-3;6
Norway;3rd Division Group 1;2026;5;7;Lokomotiv Oslo;5;2;0;3;9;13;-4;6
Norway;3rd Division Group 1;2026;5;8;Union Carl Berner;5;2;0;3;6;10;-4;6
Norway;3rd Division Group 1;2026;5;9;Grei;5;2;0;3;9;15;-6;6
Norway;3rd Division Group 1;2026;5;10;Frigg;5;1;1;3;11;12;-1;4
Norway;3rd Division Group 1;2026;5;11;Ullern;5;1;1;3;9;15;-6;4
Norway;3rd Division Group 1;2026;5;12;Vålerenga 2;5;1;1;3;11;20;-9;4
Norway;3rd Division Group 1;2026;5;13;Nordstrand;5;1;0;4;6;14;-8;3
Norway;3rd Division Group 1;2026;5;14;K. Oslo 2;5;1;0;4;7;17;-10;3
Norway;3rd Division Group 1;2026;6;1;Asker;6;6;0;0;23;3;20;18
Norway;3rd Division Group 1;2026;6;2;Ready;6;4;2;0;18;6;12;14
Norway;3rd Division Group 1;2026;6;3;Gamle Oslo;6;4;1;1;27;16;11;13
Norway;3rd Division Group 1;2026;6;4;Baerum Sportsklubb;6;4;1;1;18;9;9;13
Norway;3rd Division Group 1;2026;6;5;Heming;6;4;0;2;14;10;4;12
Norway;3rd Division Group 1;2026;6;6;Frigg;6;2;1;3;15;15;0;7
Norway;3rd Division Group 1;2026;6;7;Lokomotiv Oslo;6;2;1;3;13;17;-4;7
