Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
18;2;GFI Woodlands;6;4;2;0;20;10;10;14;2.333
18;3;San Antonio FC 2;7;4;0;3;15;17;-2;12;1.714
18;4;AHFC Royals;7;2;4;1;16;9;7;10;1.429
18;5;Lonestar SC;6;2;3;1;10;8;2;9;1.5
18;6;Twin City Toucans;7;2;0;5;10;16;-6;6;0.857
18;7;Hill Country Lobos;6;1;2;3;9;13;-4;5;0.833
18;8;Houston FC;6;1;2;3;11;17;-6;5;0.833
18;9;Houston Sur;6;0;1;5;9;23;-14;1;0.167
19;1;Laredo Heat;7;5;2;0;17;4;13;17;2.429
19;2;GFI Woodlands;6;4;2;0;20;10;10;14;2.333
19;3;San Antonio FC 2;7;4;0;3;15;17;-2;12;1.714
19;4;AHFC Royals;7;2;4;1;16;9;7;10;1.429
19;5;Lonestar SC;6;2;3;1;10;8;2;9;1.5
19;6;Houston FC;7;2;2;3;14;17;-3;8;1.143
19;7;Twin City Toucans;7;2;0;5;10;16;-6;6;0.857
19;8;Hill Country Lobos;6;1;2;3;9;13;-4;5;0.833
19;9;Houston Sur;7;0;1;6;9;26;-17;1;0.143
20;1;GFI Woodlands;7;5;2;0;24;10;14;17;2.429
20;2;Laredo Heat;7;5;2;0;17;4;13;17;2.429
20;3;Lonestar SC;7;3;3;1;12;9;3;12;1.714
20;4;San Antonio FC 2;7;4;0;3;15;17;-2;12;1.714
20;5;AHFC Royals;7;2;4;1;16;9;7;10;1.429
20;6;Houston FC;7;2;2;3;14;17;-3;8;1.143
20;7;Twin City Toucans;8;2;0;6;11;18;-7;6;0.75
20;8;Hill Country Lobos;7;1;2;4;9;17;-8;5;0.714
20;9;Houston Sur;7;0;1;6;9;26;-17;1;0.143
21;1;GFI Woodlands;7;5;2;0;24;10;14;17;2.429
21;2;Laredo Heat;7;5;2;0;17;4;13;17;2.429
21;3;AHFC Royals;8;3;4;1;21;11;10;13;1.625
21;4;Lonestar SC;7;3;3;1;12;9;3;12;1.714
21;5;San Antonio FC 2;8;4;0;4;17;22;-5;12;1.5
21;6;Houston FC;7;2;2;3;14;17;-3;8;1.143
21;7;Twin City Toucans;8;2;0;6;11;18;-7;6;0.75
21;8;Hill Country Lobos;7;1;2;4;9;17;-8;5;0.714
21;9;Houston Sur;7;0;1;6;9;26;-17;1;0.143
22;1;Laredo Heat;8;6;2;0;22;4;18;20;2.5
22;2;GFI Woodlands;7;5;2;0;24;10;14;17;2.429
22;3;AHFC Royals;8;3;4;1;21;11;10;13;1.625
22;4;Lonestar SC;7;3;3;1;12;9;3;12;1.714
22;5;San Antonio FC 2;8;4;0;4;17;22;-5;12;1.5
22;6;Houston FC;7;2;2;3;14;17;-3;8;1.143
22;7;Twin City Toucans;8;2;0;6;11;18;-7;6;0.75
22;8;Hill Country Lobos;8;1;2;5;9;22;-13;5;0.625
22;9;Houston Sur;7;0;1;6;9;26;-17;1;0.143
23;1;Laredo Heat;8;6;2;0;22;4;18;20;2.5
23;2;GFI Woodlands;8;6;2;0;26;10;16;20;2.5
23;3;AHFC Royals;9;4;4;1;23;11;12;16;1.778
23;4;Lonestar SC;8;3;4;1;13;10;3;13;1.625
23;5;San Antonio FC 2;9;4;1;4;18;23;-5;13;1.444
23;6;Houston FC;7;2;2;3;14;17;-3;8;1.143
23;7;Twin City Toucans;9;2;0;7;11;20;-9;6;0.667
23;8;Hill Country Lobos;8;1;2;5;9;22;-13;5;0.625
23;9;Houston Sur;8;0;1;7;9;28;-19;1;0.125
