Round;Position;Team;Played;Wins;Draws;Losses;GF;GA;GD;Points;PPG
1;1;Oliveirense;1;0;1;0;1;1;0;1;1.0
1;2;Santarem;1;0;1;0;1;1;0;1;1.0
