PredictionDate;MatchDate;LeagueId;Home;Away;Outcome;OriginalScore;OriginalBand;Last7Score;Last7Band;ScoreDelta;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;OriginalHomeLast10Score;OriginalAwayLast10Score;HomeLast7Rate;AwayLast7Rate;HomeLast7Score;AwayLast7Score;HomeLast7Count;AwayLast7Count;HomeLast7Sequence;AwayLast7Sequence;Transition
2026-07-05;2026-07-05;Australia_NPLQueenslandU23;Brisbane City U23;QLD State Team U17;KO;74.47;MEDIA-ALTA;75.33;ALTA;0.86;1.22;21.25;25.0;12.0;15.0;0.8571;1.0;12.86;15.0;7;7;0111111;1111111;NON_ALTA_TO_ALTA
2026-07-05;2026-07-05;Australia_NorthernNSWStateLeague;Wallsend Red Devils;Singleton Strikers;OK;74.09;MEDIA-ALTA;76.66;ALTA;2.57;6.42;25.0;21.67;12.0;9.0;0.8571;0.7143;12.86;10.71;7;7;1111110;0110111;NON_ALTA_TO_ALTA
2026-07-05;2026-07-05;Estonia_Esiliiga;Flora U21;Levadia U21;OK;74.86;MEDIA-ALTA;75.72;ALTA;0.86;2.86;25.0;20.0;15.0;12.0;1.0;0.8571;15.0;12.86;7;7;1111111;1111011;NON_ALTA_TO_ALTA
2026-07-05;2026-07-05;Finland_Kakkonen_GroupC;VPS 2;Huima / Urho;OK;72.7;MEDIA-ALTA;75.06;ALTA;2.36;2.2;25.0;20.0;13.5;12.0;1.0;0.8571;15.0;12.86;7;7;1111111;0111111;NON_ALTA_TO_ALTA
2026-07-12;2026-07-12;Finland_Kakkonen_GroupC;Vaajakoski;Jaro 2;OK;72.84;MEDIA-ALTA;76.7;ALTA;3.86;5.66;18.18;25.0;12.0;12.0;0.8571;1.0;12.86;15.0;7;7;1110111;1111111;NON_ALTA_TO_ALTA
2026-07-12;2026-07-12;USA_MLSNextPro_EasternConference_SoutheastDivision;Atlanta United 2;Inter Miami II;OK;72.3;MEDIA-ALTA;75.73;ALTA;3.43;5.66;25.0;23.64;9.0;9.0;0.7143;0.7143;10.71;10.71;7;7;1011110;1111100;NON_ALTA_TO_ALTA
2026-07-16;2026-07-16;Iceland_Division_2;Haukar;Throttur Vogar;OK;71.22;MEDIA-ALTA;78.08;ALTA;6.86;5.22;25.0;20.0;12.0;9.0;0.8571;1.0;12.86;15.0;7;7;1011111;1111111;NON_ALTA_TO_ALTA
2026-07-18;2026-07-18;Australia_NPLQueensland;Eastern Suburbs;Magic United;OK;73.97;MEDIA-ALTA;76.33;ALTA;2.36;6.1;17.37;25.0;12.0;13.5;0.8571;1.0;12.86;15.0;7;7;1111110;1111111;NON_ALTA_TO_ALTA
2026-07-18;2026-07-18;Australia_NPLQueenslandU23;Moreton City Excelsior U23;Peninsula U23;OK;73.89;MEDIA-ALTA;75.82;ALTA;1.93;5.5;25.0;23.89;12.0;7.5;0.8571;0.5714;12.86;8.57;7;7;1111110;1011100;NON_ALTA_TO_ALTA
2026-07-18;2026-07-18;Australia_NPLNSW;Sutherland;Sydney Olympic;KO;67.73;MEDIA-ALTA;75.23;ALTA;7.5;7.78;16.25;21.2;12.0;10.5;1.0;1.0;15.0;15.0;7;7;1111111;1111111;NON_ALTA_TO_ALTA
2026-07-25;2026-07-25;Norway_3rdDivision_Group2;Molde 2;Byåsen;OK;74.45;MEDIA-ALTA;75.31;ALTA;0.86;1.62;25.0;20.83;15.0;12.0;1.0;0.8571;15.0;12.86;7;7;1111111;1101111;NON_ALTA_TO_ALTA
2026-08-03;2026-08-03;Norway_OBOSLigaen;Ranheim;Haugesund;OK;73.67;MEDIA-ALTA;75.17;ALTA;1.5;2.5;24.0;18.67;15.0;13.5;1.0;1.0;15.0;15.0;7;7;1111111;1111111;NON_ALTA_TO_ALTA
2026-08-03;2026-08-03;Estonia_EsiliigaB;Parnu JK Vaprus U21;Levadia U19;OK;72.71;MEDIA-ALTA;75.07;ALTA;2.36;1.68;25.0;20.53;15.0;10.5;1.0;0.8571;15.0;12.86;7;7;1111111;1110111;NON_ALTA_TO_ALTA
2026-08-03;2026-08-03;Norway_3rdDivision_Group3;Brann 2;Stord;KO;72.52;MEDIA-ALTA;75.1;ALTA;2.58;3.06;24.62;23.85;12.0;9.0;0.8571;0.7143;12.86;10.71;7;7;0111111;1111001;NON_ALTA_TO_ALTA
2026-08-06;2026-08-06;Finland_Kolmonen_Eastern_Group3;MiPK;LAUTP;OK;73.51;MEDIA-ALTA;77.37;ALTA;3.86;2.2;25.0;22.31;13.5;10.5;1.0;0.8571;15.0;12.86;7;7;1111111;1111101;NON_ALTA_TO_ALTA
2026-08-08;2026-08-08;Somalia_NationalLeague;Heegan;Jazeera;OK;74.86;MEDIA-ALTA;78.07;ALTA;3.21;7.86;24.5;20.0;12.0;10.5;0.8571;0.8571;12.86;12.86;7;7;1111101;1011111;NON_ALTA_TO_ALTA
2026-08-08;2026-08-08;Sweden_Division2_SodraGotaland;Karlskrona;Torns;OK;73.91;MEDIA-ALTA;77.12;ALTA;3.21;4.74;22.0;24.67;10.5;12.0;0.8571;0.8571;12.86;12.86;7;7;1011111;1111110;NON_ALTA_TO_ALTA
