Transition;OK;KO;Total;HitRate
NON_ALTA_TO_ALTA;14;3;17;82.3529
ALTA_TO_ALTA;72;23;95;75.7895
ALTA_TO_NON_ALTA;22;8;30;73.3333
NON_ALTA_TO_NON_ALTA;1198;748;1946;61.5622
