PredictionDate;MatchDate;LeagueId;Home;Away;Outcome;OriginalScore;OriginalBand;Last7Score;Last7Band;ScoreDelta;RankingGapScore;HomeAttackScore;AwayDefenseWeaknessScore;OriginalHomeLast10Score;OriginalAwayLast10Score;HomeLast7Rate;AwayLast7Rate;HomeLast7Score;AwayLast7Score;HomeLast7Count;AwayLast7Count;HomeLast7Sequence;AwayLast7Sequence;Transition
2026-06-26;2026-06-26;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;South Hobart U21;OK;77.7;ALTA;27.86;BASSA;-49.84;0.0;0.0;0.0;0.0;0.0;1.0;0.8571;15.0;12.86;7;7;1111111;0111111;ALTA_TO_NON_ALTA
2026-06-26;2026-06-26;Australia_TasmaniaSouthernChampionship;Olympia Warriors;University of Tasmania;OK;83.24;ALTA;25.71;BASSA;-57.53;0.0;0.0;0.0;0.0;0.0;0.8571;0.8571;12.86;12.86;7;7;1111011;1111011;ALTA_TO_NON_ALTA
2026-06-26;2026-06-26;Norway_3rdDivision_Group5;Skedsmo;Skjetten;KO;77.25;ALTA;23.57;BASSA;-53.68;0.0;0.0;0.0;0.0;0.0;0.7143;0.8571;10.71;12.86;7;7;1110101;1111110;ALTA_TO_NON_ALTA
2026-06-28;2026-06-28;Norway_3rdDivision_Group5;Lillestrom 2;Tromsø 2;OK;75.03;ALTA;27.86;BASSA;-47.17;0.0;0.0;0.0;0.0;0.0;1.0;0.8571;15.0;12.86;7;7;1111111;0111111;ALTA_TO_NON_ALTA
2026-07-03;2026-07-03;Australia_NPLNorthernNSW;Edgeworth E.;Kahibah;OK;77.36;ALTA;27.86;BASSA;-49.5;0.0;0.0;0.0;0.0;0.0;0.8571;1.0;12.86;15.0;7;7;1110111;1111111;ALTA_TO_NON_ALTA
2026-07-03;2026-07-03;Australia_TasmaniaSouthernChampionship;Glenorchy Knights U21;Clarence Zebras U21;OK;81.38;ALTA;27.86;BASSA;-53.52;0.0;0.0;0.0;0.0;0.0;1.0;0.8571;15.0;12.86;7;7;1111111;1110111;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Australia_NPLACT;Monaro Panthers;Brindabella;OK;81.72;ALTA;23.57;BASSA;-58.15;0.0;0.0;0.0;0.0;0.0;0.8571;0.7143;12.86;10.71;7;7;1111110;0111101;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Australia_NPLQueensland;Queensland Lions;Olympic FC;KO;76.78;ALTA;27.86;BASSA;-48.92;0.0;0.0;0.0;0.0;0.0;0.8571;1.0;12.86;15.0;7;7;1011111;1111111;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Australia_TasmaniaNorthernChampionship;Burnie Utd.;Riverside Olympic U21;KO;77.18;ALTA;27.86;BASSA;-49.32;0.0;0.0;0.0;0.0;0.0;1.0;0.8571;15.0;12.86;7;7;1111111;1111110;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Australia_TasmaniaNorthernChampionship;Devonport U21;Launceston United U21;OK;88.56;ALTA;27.86;BASSA;-60.7;0.0;0.0;0.0;0.0;0.0;1.0;0.8571;15.0;12.86;7;7;1111111;1111110;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Australia_TasmaniaSouthernChampionship;Hobart City;University of Tasmania;OK;78.64;ALTA;27.86;BASSA;-50.78;0.0;0.0;0.0;0.0;0.0;1.0;0.8571;15.0;12.86;7;7;1111111;1110111;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Australia_TasmaniaSouthernChampionship;Taroona;Hobart Utd.;KO;82.84;ALTA;27.86;BASSA;-54.98;0.0;0.0;0.0;0.0;0.0;0.8571;1.0;12.86;15.0;7;7;1111101;1111111;ALTA_TO_NON_ALTA
2026-07-04;2026-07-04;Finland_Kakkonen_GroupB;Honka;MuSa;OK;75.58;ALTA;19.29;BASSA;-56.29;0.0;0.0;0.0;0.0;0.0;0.7143;0.5714;10.71;8.57;7;7;1110110;0111001;ALTA_TO_NON_ALTA
