RankWithinEngine;Engine;MaxPPGGap;MinMatchesPlayed;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTATotal;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIATotal;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSATotal;RemainingBASSAHitRate;BASSADelta
1;v13;0.05;10;24;20;44;54.5455;312;152;67.2414;0;0;0;0.0;312;152;464;67.2414;0.0;256;190;57.3991;23;16;39;58.9744;233;174;407;57.2482;-0.1509;20;31;39.2157;1;4;5;20.0;19;27;46;41.3043;2.0886
1;v20;0.3;10;210;164;374;56.1497;75;30;71.4286;6;3;9;66.6667;69;27;96;71.875;0.4464;515;311;62.3487;151;98;249;60.6426;364;213;577;63.0849;0.7362;209;196;51.6049;53;63;116;45.6897;156;133;289;53.9792;2.3743
1;v21;0.3;10;291;202;493;59.0264;527;237;68.9791;129;62;191;67.5393;398;175;573;69.459;0.4799;423;279;60.2564;116;88;204;56.8627;307;191;498;61.6466;1.3902;171;153;52.7778;46;52;98;46.9388;125;101;226;55.3097;2.5319
1;v21dev;0.3;10;285;200;485;58.7629;520;233;69.0571;127;62;189;67.1958;393;171;564;69.6809;0.6238;410;278;59.593;112;87;199;56.2814;298;191;489;60.9407;1.3477;171;151;53.1056;46;51;97;47.4227;125;100;225;55.5556;2.45
1;v22;0.3;10;285;200;485;58.7629;438;182;70.6452;113;48;161;70.1863;325;134;459;70.8061;0.1609;428;281;60.3667;106;84;190;55.7895;322;197;519;62.0424;1.6757;235;199;54.1475;66;68;134;49.2537;169;131;300;56.3333;2.1858
1;v23;0.3;10;257;177;434;59.2166;366;156;70.1149;96;44;140;68.5714;270;112;382;70.6806;0.5657;341;236;59.0988;92;71;163;56.4417;249;165;414;60.1449;1.0461;261;200;56.6161;69;62;131;52.6718;192;138;330;58.1818;1.5657
1;v24;0.3;10;257;177;434;59.2166;614;316;66.0215;161;94;255;63.1373;453;222;675;67.1111;1.0896;225;157;58.9005;65;53;118;55.0847;160;104;264;60.6061;1.7056;129;119;52.0161;31;30;61;50.8197;98;89;187;52.4064;0.3903
1;v25;0.3;10;240;172;412;58.2524;372;151;71.1281;91;43;134;67.9104;281;108;389;72.2365;1.1084;356;241;59.6315;92;72;164;56.0976;264;169;433;60.97;1.3385;200;173;53.6193;57;57;114;50.0;143;116;259;55.2124;1.5931
1;v251;0.3;10;143;97;240;59.5833;211;89;70.3333;59;28;87;67.8161;152;61;213;71.3615;1.0282;185;137;57.4534;50;41;91;54.9451;135;96;231;58.4416;0.9882;125;98;56.0538;34;28;62;54.8387;91;70;161;56.5217;0.4679
