Engine;MaxPPGGap;MinMatchesPlayed;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTATotal;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIATotal;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSATotal;RemainingBASSAHitRate;BASSADelta
v13;0.05;10;24;20;44;54.5455;312;152;67.2414;0;0;0;0.0;312;152;464;67.2414;0.0;256;190;57.3991;23;16;39;58.9744;233;174;407;57.2482;-0.1509;20;31;39.2157;1;4;5;20.0;19;27;46;41.3043;2.0886
v13;0.1;10;51;43;94;54.2553;312;152;67.2414;1;0;1;100.0;311;152;463;67.1706;-0.0708;256;190;57.3991;46;36;82;56.0976;210;154;364;57.6923;0.2932;20;31;39.2157;4;7;11;36.3636;16;24;40;40.0;0.7843
v13;0.3;10;148;130;278;53.2374;312;152;67.2414;12;5;17;70.5882;300;147;447;67.1141;-0.1273;256;190;57.3991;130;113;243;53.4979;126;77;203;62.069;4.6699;20;31;39.2157;6;12;18;33.3333;14;19;33;42.4242;3.2085
v13;0.25;10;122;109;231;52.8139;312;152;67.2414;8;3;11;72.7273;304;149;453;67.1082;-0.1332;256;190;57.3991;108;96;204;52.9412;148;94;242;61.157;3.7579;20;31;39.2157;6;10;16;37.5;14;21;35;40.0;0.7843
v13;0.2;10;96;89;185;51.8919;312;152;67.2414;4;1;5;80.0;308;151;459;67.1024;-0.139;256;190;57.3991;87;79;166;52.4096;169;111;280;60.3571;2.958;20;31;39.2157;5;9;14;35.7143;15;22;37;40.5405;1.3248
v13;0.15;10;68;60;128;53.125;312;152;67.2414;2;0;2;100.0;310;152;462;67.0996;-0.1418;256;190;57.3991;62;51;113;54.8673;194;139;333;58.2583;0.8592;20;31;39.2157;4;9;13;30.7692;16;22;38;42.1053;2.8896
v13;0.4;10;189;155;344;54.9419;312;152;67.2414;21;7;28;75.0;291;145;436;66.7431;-0.4983;256;190;57.3991;162;133;295;54.9153;94;57;151;62.2517;4.8526;20;31;39.2157;6;15;21;28.5714;14;16;30;46.6667;7.451
v13;0.5;10;222;180;402;55.2239;312;152;67.2414;31;10;41;75.6098;281;142;423;66.4303;-0.8111;256;190;57.3991;184;155;339;54.2773;72;35;107;67.2897;9.8906;20;31;39.2157;7;15;22;31.8182;13;16;29;44.8276;5.6119
v20;0.3;10;210;164;374;56.1497;75;30;71.4286;6;3;9;66.6667;69;27;96;71.875;0.4464;515;311;62.3487;151;98;249;60.6426;364;213;577;63.0849;0.7362;209;196;51.6049;53;63;116;45.6897;156;133;289;53.9792;2.3743
v20;0.1;10;69;52;121;57.0248;75;30;71.4286;1;1;2;50.0;74;29;103;71.8447;0.4161;515;311;62.3487;53;28;81;65.4321;462;283;745;62.0134;-0.3353;209;196;51.6049;15;23;38;39.4737;194;173;367;52.861;1.2561
v20;0.15;10;99;75;174;56.8966;75;30;71.4286;2;1;3;66.6667;73;29;102;71.5686;0.14;515;311;62.3487;75;45;120;62.5;440;266;706;62.3229;-0.0258;209;196;51.6049;22;29;51;43.1373;187;167;354;52.8249;1.22
v20;0.05;10;36;21;57;63.1579;75;30;71.4286;0;0;0;0.0;75;30;105;71.4286;0.0;515;311;62.3487;29;10;39;74.359;486;301;787;61.7535;-0.5952;209;196;51.6049;7;11;18;38.8889;202;185;387;52.1964;0.5915
v20;0.4;10;286;205;491;58.2485;75;30;71.4286;8;3;11;72.7273;67;27;94;71.2766;-0.152;515;311;62.3487;211;120;331;63.7462;304;191;495;61.4141;-0.9346;209;196;51.6049;67;82;149;44.9664;142;114;256;55.4688;3.8639
v20;0.2;10;144;108;252;57.1429;75;30;71.4286;4;1;5;80.0;71;29;100;71.0;-0.4286;515;311;62.3487;110;66;176;62.5;405;245;650;62.3077;-0.041;209;196;51.6049;30;41;71;42.2535;179;155;334;53.5928;1.9879
v20;0.25;10;179;133;312;57.3718;75;30;71.4286;6;1;7;85.7143;69;29;98;70.4082;-1.0204;515;311;62.3487;130;77;207;62.8019;385;234;619;62.1971;-0.1516;209;196;51.6049;43;55;98;43.8776;166;141;307;54.0717;2.4668
v20;0.5;10;347;257;604;57.4503;75;30;71.4286;11;3;14;78.5714;64;27;91;70.3297;-1.0989;515;311;62.3487;255;151;406;62.8079;260;160;420;61.9048;-0.4439;209;196;51.6049;81;103;184;44.0217;128;93;221;57.9186;6.3137
v21;0.3;10;291;202;493;59.0264;527;237;68.9791;129;62;191;67.5393;398;175;573;69.459;0.4799;423;279;60.2564;116;88;204;56.8627;307;191;498;61.6466;1.3902;171;153;52.7778;46;52;98;46.9388;125;101;226;55.3097;2.5319
