PointsGapMax;GoalsForGapMax;PROX_OK;PROX_KO;PROX_Total;PROX_HitRate;ALTA_OriginalOK;ALTA_OriginalKO;ALTA_OriginalHitRate;PROX_ALTA_OK;PROX_ALTA_KO;PROX_ALTA_Total;PROX_ALTA_HitRate;RemainingALTAOK;RemainingALTAKO;RemainingALTAHitRate;ALTADelta;MEDIA_OriginalOK;MEDIA_OriginalKO;MEDIA_OriginalHitRate;PROX_MEDIA_OK;PROX_MEDIA_KO;PROX_MEDIA_Total;PROX_MEDIA_HitRate;RemainingMEDIAOK;RemainingMEDIAKO;RemainingMEDIAHitRate;MEDIADelta;BASSA_OriginalOK;BASSA_OriginalKO;BASSA_OriginalHitRate;PROX_BASSA_OK;PROX_BASSA_KO;PROX_BASSA_Total;PROX_BASSA_HitRate;RemainingBASSAOK;RemainingBASSAKO;RemainingBASSAHitRate;BASSADelta
1;1;253;180;433;58.4296;3362;1534;68.6683;34;24;58;58.6207;3328;1510;68.7888;0.1205;3081;2063;59.895;117;63;180;65.0;2964;2000;59.7099;-0.1851;1507;1312;53.4587;102;93;195;52.3077;1405;1219;53.5442;0.0855
1;2;379;307;686;55.2478;3362;1534;68.6683;96;49;145;66.2069;3266;1485;68.7434;0.0751;3081;2063;59.895;151;108;259;58.3012;2930;1955;59.9795;0.0845;1507;1312;53.4587;132;150;282;46.8085;1375;1162;54.1979;0.7392
1;3;523;363;886;59.0293;3362;1534;68.6683;155;65;220;70.4545;3207;1469;68.5843;-0.084;3081;2063;59.895;211;137;348;60.6322;2870;1926;59.8415;-0.0535;1507;1312;53.4587;157;161;318;49.3711;1350;1151;53.9784;0.5197
1;4;597;383;980;60.9184;3362;1534;68.6683;179;68;247;72.4696;3183;1466;68.4663;-0.202;3081;2063;59.895;245;139;384;63.8021;2836;1924;59.5798;-0.3152;1507;1312;53.4587;173;176;349;49.5702;1334;1136;54.0081;0.5494
1;5;680;438;1118;60.8229;3362;1534;68.6683;194;87;281;69.0391;3168;1447;68.6457;-0.0226;3081;2063;59.895;300;168;468;64.1026;2781;1895;59.4739;-0.4211;1507;1312;53.4587;186;183;369;50.4065;1321;1129;53.9184;0.4597
1;6;706;479;1185;59.5781;3362;1534;68.6683;197;95;292;67.4658;3165;1439;68.7446;0.0763;3081;2063;59.895;305;186;491;62.1181;2776;1877;59.6604;-0.2346;1507;1312;53.4587;204;198;402;50.7463;1303;1114;53.9098;0.4511
2;1;380;283;663;57.3152;3362;1534;68.6683;66;36;102;64.7059;3296;1498;68.7526;0.0843;3081;2063;59.895;150;99;249;60.241;2931;1964;59.8774;-0.0176;1507;1312;53.4587;164;148;312;52.5641;1343;1164;53.57;0.1113
2;2;657;439;1096;59.9453;3362;1534;68.6683;145;68;213;68.0751;3217;1466;68.6953;0.027;3081;2063;59.895;255;146;401;63.591;2826;1917;59.5825;-0.3125;1507;1312;53.4587;257;225;482;53.3195;1250;1087;53.4874;0.0287
2;3;874;552;1426;61.2903;3362;1534;68.6683;231;95;326;70.8589;3131;1439;68.512;-0.1563;3081;2063;59.895;334;195;529;63.138;2747;1868;59.5233;-0.3717;1507;1312;53.4587;309;262;571;54.1156;1198;1050;53.2918;-0.1669
2;4;989;611;1600;61.8125;3362;1534;68.6683;264;115;379;69.657;3098;1419;68.5853;-0.083;3081;2063;59.895;400;212;612;65.3595;2681;1851;59.1571;-0.7379;1507;1312;53.4587;325;284;609;53.3662;1182;1028;53.4842;0.0255
2;5;1107;699;1806;61.2957;3362;1534;68.6683;308;147;455;67.6923;3054;1387;68.7683;0.1;3081;2063;59.895;461;252;713;64.6564;2620;1811;59.1289;-0.7661;1507;1312;53.4587;338;300;638;52.9781;1169;1012;53.5993;0.1406
2;6;1149;771;1920;59.8437;3362;1534;68.6683;318;176;494;64.3725;3044;1358;69.1504;0.4821;3081;2063;59.895;468;272;740;63.2432;2613;1791;59.3324;-0.5626;1507;1312;53.4587;363;323;686;52.9155;1144;989;53.6334;0.1747
3;1;464;393;857;54.1424;3362;1534;68.6683;81;73;154;52.5974;3281;1461;69.1902;0.5219;3081;2063;59.895;196;121;317;61.8297;2885;1942;59.768;-0.127;1507;1312;53.4587;187;199;386;48.4456;1320;1113;54.254;0.7953
3;2;804;619;1423;56.5004;3362;1534;68.6683;192;109;301;63.7874;3170;1425;68.988;0.3197;3081;2063;59.895;312;203;515;60.5825;2769;1860;59.8185;-0.0765;1507;1312;53.4587;300;307;607;49.4234;1207;1005;54.566;1.1073
3;3;1076;796;1872;57.4786;3362;1534;68.6683;282;157;439;64.2369;3080;1377;69.1048;0.4365;3081;2063;59.895;412;269;681;60.4993;2669;1794;59.8028;-0.0922;1507;1312;53.4587;382;370;752;50.7979;1125;942;54.4267;0.968
3;4;1212;896;2108;57.4953;3362;1534;68.6683;328;188;516;63.5659;3034;1346;69.2694;0.6011;3081;2063;59.895;480;300;780;61.5385;2601;1763;59.6013;-0.2937;1507;1312;53.4587;404;408;812;49.7537;1103;904;54.9576;1.4989
