RunStamp;HistoryRows;HistoryFile;ConfigId;Type;Overall_OK;Overall_KO;Overall_Total;Overall_HitRate;Overall_SampleClass;NoAU_OK;NoAU_KO;NoAU_Total;NoAU_HitRate;Train_OK;Train_KO;Train_Total;Train_HitRate;Test_OK;Test_KO;Test_Total;Test_HitRate;Test_SampleClass;TrainTestDelta;W_RankingGap;W_HomeAttack;W_AwayAttack;W_HomeDefenseWeakness;W_AwayDefenseWeakness;W_HomeLast10Over;W_AwayLast10Over;W_HomeVenueOver;W_AwayVenueOver;W_BTTSProfile
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1027;GLOBAL;405;146;551;73.5027;100+;285;95;380;75.0;230;102;332;69.2771;175;44;219;79.9087;100+;10.6316;13.167379;16.611368;4.640334;5.640949;8.233984;8.060542;0.867789;16.940728;16.743251;15.093675
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1841;GLOBAL;364;128;492;73.9837;100+;260;84;344;75.5814;205;88;293;69.9659;159;40;199;79.8995;100+;9.9336;18.012376;12.681334;11.343411;2.585882;17.003961;8.897907;5.850217;10.975463;4.589918;14.059532
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0792;GLOBAL;317;116;433;73.2102;100+;230;77;307;74.9186;174;80;254;68.5039;143;36;179;79.8883;100+;11.3844;20.49561;11.903249;8.156475;2.439832;3.140409;21.031242;8.381136;3.258501;17.415887;9.777659
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0208;GLOBAL;285;95;380;75.0;100+;210;65;275;76.3636;158;63;221;71.4932;127;32;159;79.8742;100+;8.381;30.296241;23.265847;5.687494;0.053138;11.396425;6.695734;3.415218;10.891538;1.367895;12.93047
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1393;GLOBAL;273;94;367;74.3869;100+;202;62;264;76.5152;151;63;214;70.5607;122;31;153;79.7386;100+;9.1779;26.175102;12.496555;3.049536;4.505158;11.502565;4.540281;16.593256;8.040526;6.600985;12.496036
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1947;GLOBAL;337;126;463;72.7862;100+;250;81;331;75.5287;184;87;271;67.8967;153;39;192;79.6875;100+;11.7908;19.137064;13.616555;9.259335;8.699366;2.312151;9.761536;18.445388;3.181829;9.742274;11.844502
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0988;GLOBAL;322;121;443;72.6862;100+;230;79;309;74.4337;177;84;261;67.8161;145;37;182;79.6703;100+;11.8542;21.515612;8.947877;10.751438;6.110955;7.948209;11.381857;9.90984;9.32847;14.425599;5.680142
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1975;GLOBAL;398;139;537;74.1155;100+;280;91;371;75.4717;230;96;326;70.5521;168;43;211;79.6209;100+;9.0688;15.080748;11.560171;1.710169;6.03967;10.088175;4.511981;10.527075;18.546567;23.849274;4.086169
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1549;GLOBAL;331;122;453;73.0684;100+;238;83;321;74.1433;184;84;268;68.6567;147;38;185;79.4595;100+;10.8028;20.826674;10.631291;9.933345;7.372251;1.733912;17.756278;9.7484;13.474857;10.967054;3.555937
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1298;GLOBAL;329;122;451;72.949;100+;233;79;312;74.6795;190;86;276;68.8406;139;36;175;79.4286;100+;10.588;20.144287;16.637254;6.057018;2.755313;2.000568;9.570197;1.468176;15.065984;23.082357;9.218847
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0420;GLOBAL;307;108;415;73.9759;100+;223;69;292;76.3699;172;73;245;70.2041;135;35;170;79.4118;100+;9.2077;25.009448;17.344105;2.593347;5.656767;10.643618;9.401021;9.934329;7.940962;9.477462;7.998939
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0907;GLOBAL;282;105;387;72.8682;100+;211;70;281;75.089;155;72;227;68.2819;127;33;160;79.375;100+;11.0931;22.131898;8.092213;11.895312;4.326514;7.208037;12.93043;9.060532;7.257181;5.602788;17.495095
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1267;GLOBAL;337;130;467;72.1627;100+;249;90;339;73.4513;187;91;278;67.2662;150;39;189;79.3651;100+;12.0989;7.069974;6.127698;2.089113;2.661424;7.981344;4.877015;14.600885;10.477811;4.102805;46.011931
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_1478;GLOBAL;385;143;528;72.9167;100+;270;88;358;75.419;216;99;315;68.5714;169;44;213;79.3427;100+;10.7713;16.38977;18.762567;8.6865;3.742903;1.433381;1.949672;9.819687;18.680778;22.591242;3.943498
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0058;GLOBAL;304;126;430;70.6977;100+;222;84;306;72.549;162;89;251;64.5418;142;37;179;79.3296;100+;14.7878;20.264152;6.169551;4.328258;2.472516;2.137491;10.78127;38.636992;3.190431;11.415776;6.603563
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0279;GLOBAL;387;137;524;73.855;100+;275;91;366;75.1366;222;94;316;70.2532;165;43;208;79.3269;100+;9.0737;12.014627;13.125255;1.07675;0.477408;12.305302;9.474783;7.46589;16.498697;15.459067;18.102221
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0418;GLOBAL;399;144;543;73.4807;100+;291;95;386;75.3886;228;99;327;69.7248;171;45;216;79.1667;100+;9.4419;12.592925;22.617103;3.786004;3.290658;1.347788;7.713291;11.241722;14.719402;2.028649;26.662458
20260815_005722;2288;data\storico\ranking\v22\storico_ranking_v22.csv;GLOB_0233;GLOBAL;322;117;439;73.3485;100+;237;80;317;74.7634;178;79;257;69.2607;144;38;182;79.1209;100+;9.8602;18.395442;10.256076;4.562955;0.442385;16.665265;5.998107;12.734168;9.660061;5.466122;21.819419
