LeagueId;MatchDate;Home;Away;HomeXG;AwayXG;HomeGoals;AwayGoals;Source;SourceMatchId
Italy_SerieA;2022-08-13;AC Milan;Udinese;2.68095;0.439661;4;2;understat;18582
Italy_SerieA;2022-08-13;Lecce;Inter;0.752988;2.52817;1;2;understat;18585
Italy_SerieA;2022-08-13;Monza;Torino;1.0301;3.13646;1;2;understat;18584
Italy_SerieA;2022-08-13;Sampdoria;Atalanta;0.617683;2.28675;0;2;understat;18583
Italy_SerieA;2022-08-14;Fiorentina;Cremonese;2.01254;1.76638;3;2;understat;18587
Italy_SerieA;2022-08-14;Lazio;Bologna;0.709672;1.59632;2;1;understat;18586
Italy_SerieA;2022-08-14;Salernitana;Roma;0.505094;2.98256;0;1;understat;18589
Italy_SerieA;2022-08-14;Spezia;Empoli;0.861875;0.987781;1;0;understat;18588
Italy_SerieA;2022-08-15;Juventus;Sassuolo;2.24204;0.878583;3;0;understat;18591
Italy_SerieA;2022-08-15;Verona;Napoli;1.13087;2.79803;2;5;understat;18590
Italy_SerieA;2022-08-20;Inter;Spezia;2.62744;0.482897;3;0;understat;18594
Italy_SerieA;2022-08-20;Sassuolo;Lecce;0.803483;0.703764;1;0;understat;18595
Italy_SerieA;2022-08-20;Torino;Lazio;0.996405;0.713273;0;0;understat;18592
Italy_SerieA;2022-08-20;Udinese;Salernitana;1.42871;1.50184;0;0;understat;18593
Italy_SerieA;2022-08-21;Atalanta;AC Milan;0.538424;1.53637;1;1;understat;18599
Italy_SerieA;2022-08-21;Bologna;Verona;1.13475;2.46808;1;1;understat;18598
Italy_SerieA;2022-08-21;Empoli;Fiorentina;0.757409;0.796219;0;0;understat;18597
Italy_SerieA;2022-08-21;Napoli;Monza;3.26352;0.121476;4;0;understat;18596
Italy_SerieA;2022-08-22;Roma;Cremonese;2.91426;0.508942;1;0;understat;18600
Italy_SerieA;2022-08-22;Sampdoria;Juventus;0.948831;0.807606;0;0;understat;18601
Italy_SerieA;2022-08-26;Lazio;Inter;0.997005;1.62842;3;1;understat;18603
Italy_SerieA;2022-08-26;Monza;Udinese;0.988468;2.26189;1;2;understat;18602
Italy_SerieA;2022-08-27;AC Milan;Bologna;2.83694;0.505259;2;0;understat;18606
Italy_SerieA;2022-08-27;Cremonese;Torino;0.815757;2.71403;1;2;understat;18605
Italy_SerieA;2022-08-27;Juventus;Roma;0.633345;0.963959;1;1;understat;18604
Italy_SerieA;2022-08-27;Spezia;Sassuolo;1.17548;2.83921;2;2;understat;18607
Italy_SerieA;2022-08-28;Fiorentina;Napoli;0.381649;1.68549;0;0;understat;18611
Italy_SerieA;2022-08-28;Lecce;Empoli;0.813378;0.37813;1;1;understat;18610
Italy_SerieA;2022-08-28;Salernitana;Sampdoria;1.76461;1.66897;4;0;understat;18608
Italy_SerieA;2022-08-28;Verona;Atalanta;0.369511;0.843159;0;1;understat;18609
