LeagueId;MatchDate;Home;Away;HomeXG;AwayXG;HomeGoals;AwayGoals;Source;SourceMatchId
Italy_SerieA;2024-08-17;AC Milan;Torino;2.1004;0.876602;2;2;understat;27365
Italy_SerieA;2024-08-17;Empoli;Monza;0.578573;0.327848;0;0;understat;27364
Italy_SerieA;2024-08-17;Genoa;Inter;2.31286;2.00656;2;2;understat;27362
Italy_SerieA;2024-08-17;Parma Calcio 1913;Fiorentina;1.83796;0.81313;1;1;understat;27363
Italy_SerieA;2024-08-18;Bologna;Udinese;3.3102;0.944621;1;1;understat;27367
Italy_SerieA;2024-08-18;Cagliari;Roma;1.30634;1.29639;0;0;understat;27368
Italy_SerieA;2024-08-18;Lazio;Venezia;2.33223;0.789649;3;1;understat;27369
Italy_SerieA;2024-08-18;Verona;Napoli;1.80536;0.975176;3;0;understat;27366
Italy_SerieA;2024-08-19;Juventus;Como;1.30582;0.171238;3;0;understat;27371
Italy_SerieA;2024-08-19;Lecce;Atalanta;1.88414;2.45909;0;4;understat;27370
Italy_SerieA;2024-08-24;Inter;Lecce;2.48059;0.335346;2;0;understat;27375
Italy_SerieA;2024-08-24;Monza;Genoa;0.401371;0.660299;0;1;understat;27374
Italy_SerieA;2024-08-24;Parma Calcio 1913;AC Milan;2.46266;2.09812;2;1;understat;27372
Italy_SerieA;2024-08-24;Udinese;Lazio;1.11581;1.68277;2;1;understat;27373
Italy_SerieA;2024-08-25;Fiorentina;Venezia;0.660213;1.01295;0;0;understat;27376
Italy_SerieA;2024-08-25;Napoli;Bologna;2.07052;0.544518;3;0;understat;27378
Italy_SerieA;2024-08-25;Roma;Empoli;2.04246;3.0773;1;2;understat;27379
Italy_SerieA;2024-08-25;Torino;Atalanta;2.49919;3.08667;2;1;understat;27377
Italy_SerieA;2024-08-26;Cagliari;Como;1.03532;2.08973;1;1;understat;27380
Italy_SerieA;2024-08-26;Verona;Juventus;0.878611;1.36151;0;3;understat;27381
Italy_SerieA;2024-08-30;Inter;Atalanta;2.28876;1.17772;4;0;understat;27383
Italy_SerieA;2024-08-30;Venezia;Torino;0.635612;1.80895;0;1;understat;27382
Italy_SerieA;2024-08-31;Bologna;Empoli;1.35876;1.11428;1;1;understat;27385
Italy_SerieA;2024-08-31;Lazio;AC Milan;2.32967;1.34242;2;2;understat;27387
Italy_SerieA;2024-08-31;Lecce;Cagliari;2.34113;2.09263;1;0;understat;27384
Italy_SerieA;2024-08-31;Napoli;Parma Calcio 1913;2.33511;1.90229;2;1;understat;27386
Italy_SerieA;2024-09-01;Fiorentina;Monza;2.41541;0.489982;2;2;understat;27388
Italy_SerieA;2024-09-01;Genoa;Verona;1.34735;2.09653;0;2;understat;27389
Italy_SerieA;2024-09-01;Juventus;Roma;0.415282;0.382591;0;0;understat;27390
Italy_SerieA;2024-09-01;Udinese;Como;1.18455;1.65728;1;0;understat;27391
Italy_SerieA;2024-09-14;AC Milan;Venezia;2.18898;0.263269;4;0;understat;27398
Italy_SerieA;2024-09-14;Como;Bologna;1.45782;1.15087;2;2;understat;27397
Italy_SerieA;2024-09-14;Empoli;Juventus;0.601249;0.726024;0;0;understat;27392
Italy_SerieA;2024-09-15;Atalanta;Fiorentina;2.4507;1.96392;3;2;understat;27393
Italy_SerieA;2024-09-15;Cagliari;Napoli;0.881581;1.42805;0;4;understat;27395
Italy_SerieA;2024-09-15;Genoa;Roma;1.59603;2.65805;1;1;understat;27394
Italy_SerieA;2024-09-15;Monza;Inter;0.217777;1.8081;1;1;understat;27399
Italy_SerieA;2024-09-15;Torino;Lecce;0.447368;1.6617;0;0;understat;27401
Italy_SerieA;2024-09-16;Lazio;Verona;1.79243;0.533276;2;1;understat;27396
Italy_SerieA;2024-09-16;Parma Calcio 1913;Udinese;0.87968;3.08828;2;3;understat;27400
Italy_SerieA;2024-09-20;Cagliari;Empoli;1.68655;1.02688;0;2;understat;27403
Italy_SerieA;2024-09-20;Verona;Torino;0.777792;1.96682;2;3;understat;27405
Italy_SerieA;2024-09-21;Juventus;Napoli;0.419301;0.233773;0;0;understat;27407
Italy_SerieA;2024-09-21;Lecce;Parma Calcio 1913;1.25857;2.054;2;2;understat;27408
Italy_SerieA;2024-09-21;Venezia;Genoa;2.33503;0.388857;2;0;understat;27411
Italy_SerieA;2024-09-22;Fiorentina;Lazio;2.85634;1.14467;2;1;understat;27404
Italy_SerieA;2024-09-22;Inter;AC Milan;0.941382;2.75751;1;2;understat;27406
Italy_SerieA;2024-09-22;Monza;Bologna;0.707402;1.45302;1;2;understat;27409
Italy_SerieA;2024-09-22;Roma;Udinese;2.5658;0.525078;3;0;understat;27410
Italy_SerieA;2024-09-24;Atalanta;Como;1.31694;0.579703;2;3;understat;27402
Italy_SerieA;2024-09-27;AC Milan;Lecce;2.43265;0.462274;3;0;understat;27417
Italy_SerieA;2024-09-28;Bologna;Atalanta;0.176428;2.47751;1;1;understat;27412
Italy_SerieA;2024-09-28;Genoa;Juventus;0.385259;2.91803;0;3;understat;27416
Italy_SerieA;2024-09-28;Udinese;Inter;0.984798;2.30465;2;3;understat;27413
Italy_SerieA;2024-09-29;Como;Verona;2.47493;1.5544;3;2;understat;27414
Italy_SerieA;2024-09-29;Empoli;Fiorentina;0.44778;1.25438;0;0;understat;27415
Italy_SerieA;2024-09-29;Napoli;Monza;1.35886;0.298287;2;0;understat;27418
Italy_SerieA;2024-09-29;Roma;Venezia;1.99001;2.02845;2;1;understat;27420
Italy_SerieA;2024-09-29;Torino;Lazio;0.494815;2.24735;2;3;understat;27421
Italy_SerieA;2024-09-30;Parma Calcio 1913;Cagliari;2.98598;3.057;2;3;understat;27419
Italy_SerieA;2024-10-04;Napoli;Como;1.91407;0.638474;3;1;understat;27430
Italy_SerieA;2024-10-04;Verona;Venezia;2.10738;1.43755;2;1;understat;27427
Italy_SerieA;2024-10-05;Atalanta;Genoa;4.0137;0.543171;5;1;understat;27422
Italy_SerieA;2024-10-05;Inter;Torino;3.44641;1.29026;3;2;understat;27428
Italy_SerieA;2024-10-05;Udinese;Lecce;1.56312;0.645952;1;0;understat;27431
Italy_SerieA;2024-10-06;Bologna;Parma Calcio 1913;0.835615;1.08533;0;0;understat;27424
Italy_SerieA;2024-10-06;Fiorentina;AC Milan;1.94286;2.83446;2;1;understat;27426
Italy_SerieA;2024-10-06;Juventus;Cagliari;3.21709;1.045;1;1;understat;27429
Italy_SerieA;2024-10-06;Lazio;Empoli;2.0459;0.912844;2;1;understat;27423
Italy_SerieA;2024-10-06;Monza;Roma;1.11968;1.47893;1;1;understat;27425
Italy_SerieA;2024-10-19;AC Milan;Udinese;1.20398;0.522785;1;0;understat;27440
Italy_SerieA;2024-10-19;Como;Parma Calcio 1913;1.28527;0.918205;1;1;understat;27436
Italy_SerieA;2024-10-19;Genoa;Bologna;0.450285;1.15682;2;2;understat;27434
Italy_SerieA;2024-10-19;Juventus;Lazio;1.49305;0.0648311;1;0;understat;27438
Italy_SerieA;2024-10-20;Cagliari;Torino;1.51181;1.23394;3;2;understat;27432
Italy_SerieA;2024-10-20;Empoli;Napoli;1.00465;1.31758;0;1;understat;27435
Italy_SerieA;2024-10-20;Lecce;Fiorentina;0.223823;2.21676;0;6;understat;27439
Italy_SerieA;2024-10-20;Roma;Inter;0.78742;0.796917;0;1;understat;27441
Italy_SerieA;2024-10-20;Venezia;Atalanta;0.881872;1.83371;0;2;understat;27433
