PredictionDate;AlgorithmVersion;LeagueId;Round;Home;Away;Match;Score;Band;HG;AG;Goals;Over25;BTTS
2026-07-01;2.2.0;Norway_3rdDivision_Group4_2026;13;Brodd;Haugesund 2;Brodd - Haugesund 2;95.22;ALTA;;;;;
2026-07-01;2.2.0;Norway_3rdDivision_Group5_2026;13;Lillestrom 2;Tromsø 2;Lillestrom 2 - Tromsø 2;92.42;ALTA;;;;;
2026-07-01;2.2.0;Norway_3rdDivision_Group6_2026;13;Rade;Lyn 2;Rade - Lyn 2;89.04;ALTA;;;;;
2026-07-01;2.2.0;Norway_3rdDivision_Group4_2026;13;Vindbjart;Stabaek 2;Vindbjart - Stabaek 2;86.18;ALTA;;;;;
2026-07-01;2.2.0;Sweden_Division2_SodraGotaland_2026;15;Linero IF;IFK Karlshamn;Linero IF - IFK Karlshamn;85.16;ALTA;;;;;
2026-07-01;2.2.0;Norway_3rdDivision_Group1_2026;13;K. Oslo 2;Heming;K. Oslo 2 - Heming;82.98;ALTA;;;;;
2026-07-01;2.2.0;Iceland_BestaDeildKarla_2026;18;Keflavik;KR Reykjavik;Keflavik - KR Reykjavik;82.39;ALTA;;;;;
2026-07-01;2.2.0;Iceland_BestaDeildKarla_2026;18;Stjarnan;Akureyri;Stjarnan - Akureyri;80.51;ALTA;;;;;
2026-07-01;2.2.0;USA_USLLeagueTwo_MidAtlantic_2026;20260630;Philadelphia Lone Star;Ocean City;Philadelphia Lone Star - Ocean City;79.48;ALTA;;;;;
2026-07-01;2.2.0;Norway_2ndDivision_Group1_2026;13;Sotra;Jerv;Sotra - Jerv;77.52;ALTA;;;;;
2026-07-01;2.2.0;USA_USLLeagueTwo_Northeast_2026;20260629;Seacoast Utd Phantoms;Black Rock;Seacoast Utd Phantoms - Black Rock;77.5;ALTA;;;;;
2026-07-01;2.2.0;Finland_Ykkonen_2026;14;OLS Oulu;KuPS Akatemia;OLS Oulu - KuPS Akatemia;77.43;ALTA;;;;;
2026-07-01;2.2.0;Norway_3rdDivision_Group4_2026;13;Varhaug;Odd 2;Varhaug - Odd 2;77.36;ALTA;;;;;
2026-07-01;2.2.0;Sweden_Division2_SodraSvealand_2026;15;Ragsved;Forward;Ragsved - Forward;77.19;ALTA;;;;;
2026-07-01;2.2.0;Norway_2ndDivision_Group2_2026;13;Skeid;Trygg/Lade;Skeid - Trygg/Lade;76.08;ALTA;;;;;
2026-07-01;2.2.0;USA_USLLeagueTwo_GreatForest_2026;20260630;Erie Sports Center;Pittsburgh Riverhounds 2;Erie Sports Center - Pittsburgh Riverhounds 2;76.0;ALTA;;;;;
2026-07-01;2.2.0;Iceland_BestaDeildKarla_2026;18;Thor Akureyri;Valur;Thor Akureyri - Valur;74.28;MEDIA;;;;;
2026-07-01;2.2.0;Iceland_BestaDeildKarla_2026;18;Hafnarfjordur;Vestmannaeyjar;Hafnarfjordur - Vestmannaeyjar;74.13;MEDIA;;;;;
2026-07-01;2.2.0;Sweden_Superettan_2026;15;Sandviken;Helsingborg;Sandviken - Helsingborg;73.71;MEDIA;;;;;
2026-07-01;2.2.0;Sweden_Division2_SodraSvealand_2026;15;Karlslund;Fittja;Karlslund - Fittja;71.89;MEDIA;;;;;
2026-07-01;2.2.0;Finland_Ykkonen_2026;14;KPV;Keski-Uusimaa;KPV - Keski-Uusimaa;71.62;MEDIA;;;;;
2026-07-01;2.2.0;Norway_2ndDivision_Group2_2026;13;Follo;Levanger;Follo - Levanger;71.25;MEDIA;;;;;
2026-07-01;2.2.0;Sweden_Division1_Norra_2026;15;Umeå;Jarfalla;Umeå - Jarfalla;69.61;MEDIA;;;;;
2026-07-01;2.2.0;Norway_3rdDivision_Group3_2026;13;Varegg;V. Haugesund;Varegg - V. Haugesund;67.96;MEDIA;;;;;
2026-07-01;2.2.0;Norway_2ndDivision_Group2_2026;13;Stjordals Blink;Junkeren;Stjordals Blink - Junkeren;67.39;MEDIA;;;;;
2026-07-01;2.2.0;Sweden_Superettan_2026;15;Landskrona;Värnamo;Landskrona - Värnamo;64.64;MEDIA;;;;;
2026-07-01;2.2.0;USA_USLLeagueTwo_NorCal_2026;20260629;Glens SC;San Francisco City;Glens SC - San Francisco City;62.33;MEDIA;;;;;
2026-07-01;2.2.0;Sweden_Division2_SodraSvealand_2026;15;Orebro Syr.;Syrianska;Orebro Syr. - Syrianska;61.28;MEDIA;;;;;
2026-07-01;2.2.0;Sweden_Superettan_2026;15;Norrkoping;Norrby;Norrkoping - Norrby;51.04;BASSA;;;;;
2026-07-01;2.2.0;Finland_Ykkosliiga_2026;13;KaPa;JaPS;KaPa - JaPS;48.97;BASSA;;;;;
