PredictionDate;LeagueId;Match;Score;Band;Result;Goals;Over25;BTTS;Reason
2026-06-28;USA_USLLeagueTwo_Metropolitan;Long Island Rough Riders - Cedar Stars;0.0;BASSA;4-1;5;OK;OK;
2026-06-28;Sweden_Superettan;Ljungskile - Örebro;43.84;BASSA;3-2;5;OK;OK;
2026-06-28;Sweden_Division1_Norra;Sollentuna - AFC Eskilstuna;46.58;MEDIA;1-4;5;OK;OK;
2026-06-28;Finland_Ykkosliiga;KaPa - JaPS;47.65;MEDIA;2-1;3;OK;OK;
2026-06-28;Finland_Veikkausliiga;HJK - KuPS;50.79;MEDIA;0-4;4;OK;KO;
2026-06-28;Sweden_Division1_Sodra;Hassleholms IF - Tvaaker;52.61;MEDIA;4-2;6;OK;OK;
2026-06-28;USA_USLLeagueTwo_SouthFlorida;Brevard SC - Weston FC;53.24;MEDIA;2-2;4;OK;OK;
2026-06-28;Sweden_Superettan;Nordic United - Oddevold;54.04;MEDIA;3-3;6;OK;OK;
2026-06-28;Norway_2ndDivision_Group1;Sandviken - Notodden;54.13;MEDIA;0-4;4;OK;KO;
2026-06-28;USA_USLLeagueTwo_Mountain;Flatirons FC - Utah United;54.27;MEDIA;0-3;3;OK;KO;
2026-06-28;Norway_2ndDivision_Group1;Pors - Arendal;54.4;MEDIA;2-4;6;OK;OK;
2026-06-28;Sweden_Division2_SodraGotaland;IFK Berga - Vaxjo Norra;54.94;MEDIA;3-1;4;OK;OK;
2026-06-29;USA_USLLeagueTwo_SouthCentral;Swarm FC - Dothan United;55.31;MEDIA;3-1;4;OK;OK;
2026-06-28;Sweden_Division1_Norra;FBK Karlstad - Hammarby TFF;56.89;MEDIA;0-7;7;OK;KO;
2026-06-28;Norway_OBOSLigaen;Lyn - Hodd;56.99;MEDIA;1-4;5;OK;OK;
2026-06-28;Sweden_Division2_SodraSvealand;Orebro Syr. - Syrianska;57.18;MEDIA;3-0;3;OK;KO;
2026-06-28;Sweden_Superettan;Sandviken - Helsingborg;58.2;MEDIA;4-2;6;OK;OK;
2026-06-28;Sweden_Division2_SodraGotaland;Rappe GOIF - Staffanstorp United;58.22;MEDIA;1-4;5;OK;OK;
2026-06-28;Finland_Veikkausliiga;TPS Turku - Jaro;58.3;MEDIA;3-2;5;OK;OK;
2026-06-28;Finland_Veikkausliiga;Ilves - SJK;58.38;MEDIA;2-2;4;OK;OK;
