Band;Matches;Over15;Over15Pct;Over25;Over25Pct;Under25;Under25Pct
ALTA;63;57;90.48;43;68.25;20;31.75
MEDIA;39;29;74.36;23;58.97;16;41.03
BASSA;3;2;66.67;2;66.67;1;33.33
