PredictionDate;LeagueId;Match;Score;Band;Result;Goals;Over25;BTTS;Reason
2026-06-28;Norway_3rdDivision_Group5;Skedsmo - Skjetten;91.56;ALTA;0-1;1;KO;KO;
2026-06-28;Norway_3rdDivision_Group3;Varegg - V. Haugesund;88.12;ALTA;1-1;2;KO;OK;
2026-06-28;Norway_3rdDivision_Group1;Konnerud - Ready;87.73;ALTA;0-1;1;KO;KO;
2026-06-28;Iceland_Division_2;Kari - Magni;87.59;ALTA;1-1;2;KO;OK;
2026-06-29;USA_USLLeagueTwo_Northwest;Portland Bangers - Bigfoot;85.14;ALTA;2-0;2;KO;KO;
2026-06-28;Norway_2ndDivision_Group2;Follo - Levanger;84.78;ALTA;0-2;2;KO;KO;
2026-06-28;Norway_3rdDivision_Group5;Ulfstind - Harstad;82.76;ALTA;1-1;2;KO;OK;
2026-06-28;Sweden_Division2_NorraGotaland;Vanersborgs IF - Stenungsunds;81.78;ALTA;1-0;1;KO;KO;
2026-06-28;Norway_3rdDivision_Group3;Sogndal 2 - Stord;81.71;ALTA;0-2;2;KO;KO;
2026-06-30;USA_USLLeagueTwo_Northwest;Portland Bangers - FC Olympia;81.43;ALTA;2-0;2;KO;KO;
2026-06-30;USA_USLLeagueTwo_MidAtlantic;Reading - Eagle FC;80.0;ALTA;1-1;2;KO;OK;
2026-06-28;Sweden_Division1_Sodra;Kristianstad - Trelleborg;79.17;ALTA;0-0;0;KO;KO;
2026-06-30;USA_USLLeagueTwo_Chesapeake;Patuxent - Hill City;78.86;ALTA;0-1;1;KO;KO;
2026-06-30;USA_USLLeagueTwo_GreatLakes;Kalamazoo FC - Oakland County;77.75;ALTA;2-0;2;KO;KO;
2026-06-28;Norway_3rdDivision_Group3;Austevoll - Fyllingsdalen;77.74;ALTA;2-0;2;KO;KO;
2026-06-28;Iceland_Division_2;Dalvik/Reynir - KFA;77.66;ALTA;1-0;1;KO;KO;
2026-06-28;Sweden_Division2_NorraGotaland;Skara - Herrestads AIF;76.38;ALTA;2-0;2;KO;KO;
2026-06-28;Norway_2ndDivision_Group1;Lysekloster - Brattvag;75.96;ALTA;1-1;2;KO;OK;
2026-06-29;Iceland_BestaDeildKarla;Akranes - Fram;75.82;ALTA;0-2;2;KO;KO;
2026-06-28;Norway_3rdDivision_Group5;Bossekop - Kongsvinger 2;75.54;ALTA;0-2;2;KO;KO;
