Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinOverFull>=0.8;640;455;185;71.09;7.4;10.37
MinOverL8>=0.8;619;427;192;68.98;7.16;8.26
AvgBTTSFull>=0.8;544;372;172;68.38;6.29;7.66
MinOverFull>=0.7;1501;1025;476;68.29;17.37;7.57
MinBTTSFull>=0.7;801;546;255;68.16;9.27;7.45
MinBTTSFull>=0.8;269;182;87;67.66;3.11;6.94
MinGFFull>=1.8;1464;989;475;67.55;16.94;6.83
MinOverL7>=0.8;790;532;258;67.34;9.14;6.62
MinOverL8>=0.7;1659;1111;548;66.97;19.19;6.25
AvgBTTSL8>=0.8;842;561;281;66.63;9.74;5.91
MinBTTSL8>=0.8;320;213;107;66.56;3.7;5.84
MinBTTSL8>=0.7;1025;681;344;66.44;11.86;5.72
MinGFL8>=1.8;1470;975;495;66.33;17.01;5.61
MinOverL5>=0.7;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8;1613;1068;545;66.21;18.66;5.49
MinOverL7>=0.7;2163;1428;735;66.02;25.03;5.3
AvgBTTSL8>=0.7;2002;1321;681;65.98;23.16;5.26
MinGFL5>=1.8;1791;1180;611;65.88;20.72;5.17
MinGFFull>=1.6;2321;1528;793;65.83;26.85;5.11
MinGFL7>=1.8;1532;1008;524;65.8;17.73;5.08
AvgBTTSL7>=0.8;643;423;220;65.79;7.44;5.07
AvgBTTSFull>=0.7;1971;1294;677;65.65;22.8;4.93
MinOverFull>=0.6;3426;2238;1188;65.32;39.64;4.6
MinBTTSL7>=0.8;418;273;145;65.31;4.84;4.59
MinGFL8>=1.6;2445;1590;855;65.03;28.29;4.31
AvgBTTSL7>=0.7;2649;1722;927;65.01;30.65;4.29
MinOverL7>=0.6;2737;1779;958;65.0;31.67;4.28
MinGAL8>=1.4;3187;2070;1117;64.95;36.87;4.23
MinBTTSL7>=0.7;1503;976;527;64.94;17.39;4.22
MinGFL7>=1.6;2144;1391;753;64.88;24.81;4.16
MinOverL8>=0.6;3774;2448;1326;64.86;43.67;4.15
MinBTTSL5>=0.7;1103;715;388;64.82;12.76;4.1
MinBTTSL5>=0.8;1103;715;388;64.82;12.76;4.1
MinBTTSFull>=0.6;2696;1745;951;64.73;31.19;4.01
MinGAFull>=1.4;3433;2219;1214;64.64;39.72;3.92
AvgBTTSL5>=0.8;1619;1046;573;64.61;18.73;3.89
MinGFL8>=1.4;3268;2109;1159;64.53;37.81;3.82
AvgBTTSFull>=0.6;4432;2860;1572;64.53;51.28;3.81
MinGFL5>=1.6;2634;1698;936;64.46;30.48;3.75
DeltaOverL5>=0.3;45;29;16;64.44;0.52;3.72
MinGAL7>=1.4;3523;2270;1253;64.43;40.76;3.71
MinGFL5>=1.4;3683;2369;1314;64.32;42.61;3.6
MinGFFull>=1.4;3546;2279;1267;64.27;41.03;3.55
MinGFL7>=1.4;3522;2261;1261;64.2;40.75;3.48
AvgBTTSL7>=0.6;4397;2819;1578;64.11;50.87;3.39
MinBTTSL8>=0.6;3119;1999;1120;64.09;36.09;3.37
MinOverL7>=0.5;4962;3174;1788;63.97;57.41;3.25
MinGAL5>=1.4;3703;2367;1336;63.92;42.84;3.2
MinGFL7>=1.2;4519;2888;1631;63.91;52.29;3.19
AvgBTTSL8>=0.6;4621;2953;1668;63.9;53.47;3.18
MinBTTSL7>=0.6;2052;1311;741;63.89;23.74;3.17
AvgBTTSL5>=0.7;3394;2168;1226;63.88;39.27;3.16
MinOverL5>=0.5;4560;2911;1649;63.84;52.76;3.12
MinOverL5>=0.6;4560;2911;1649;63.84;52.76;3.12
MinGAFull>=1.2;4859;3099;1760;63.78;56.22;3.06
MinGAL8>=1.2;4724;3013;1711;63.78;54.66;3.06
MinGFL8>=1.2;4742;3011;1731;63.5;54.87;2.78
AvgGAL7>=1.6;4290;2720;1570;63.4;49.64;2.68
AvgGAL8>=1.6;4344;2749;1595;63.28;50.26;2.56
MinGAL7>=1.2;4522;2861;1661;63.27;52.32;2.55
AvgGAL5>=1.6;4591;2903;1688;63.23;53.12;2.51
AvgGAFull>=1.6;4201;2655;1546;63.2;48.61;2.48
MinGFFull>=1.2;4961;3135;1826;63.19;57.4;2.47
MinGFL5>=1.2;4952;3127;1825;63.15;57.29;2.43
MinOverL8>=0.5;5710;3599;2111;63.03;66.07;2.31
MinOverL8>=0.4;6260;3943;2317;62.99;72.43;2.27
MinGAL5>=1.2;4924;3100;1824;62.96;56.97;2.24
MinBTTSL5>=0.5;4046;2547;1499;62.95;46.81;2.23
MinBTTSL5>=0.6;4046;2547;1499;62.95;46.81;2.23
MinBTTSFull>=0.5;5184;3258;1926;62.85;59.98;2.13
MinBTTSL8>=0.5;5433;3406;2027;62.69;62.86;1.97
MinBTTSL7>=0.5;4503;2822;1681;62.67;52.1;1.95
AvgGAL8>=1.4;5699;3571;2128;62.66;65.94;1.94
AvgBTTSL5>=0.6;5442;3409;2033;62.64;62.96;1.92
MinOverFull>=0.5;5562;3482;2080;62.6;64.35;1.88
AvgGAL7>=1.4;5704;3570;2134;62.59;66.0;1.87
AvgGAFull>=1.4;5697;3564;2133;62.56;65.91;1.84
MinGFL5>=1.0;6208;3880;2328;62.5;71.83;1.78
MinBTTSL8>=0.4;6046;3776;2270;62.45;69.95;1.73
MinGAL7>=1.0;6332;3952;2380;62.41;73.26;1.69
