Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinBTTSFull>=0.7 AND MinGFL5>=1.8;330;245;85;74.24;3.82;13.52
MinBTTSFull>=0.8 AND MinGFL5>=1.8;124;92;32;74.19;1.43;13.47
MinOverFull>=0.8 AND AvgBTTSL5>=0.8;327;241;86;73.7;3.78;12.98
MinOverFull>=0.8 AND MinBTTSFull>=0.7;255;187;68;73.33;2.95;12.61
MinOverFull>=0.8 AND MinBTTSL7>=0.7;288;211;77;73.26;3.33;12.54
MinGFFull>=1.8 AND MinGAL8>=1.4;549;402;147;73.22;6.35;12.5
MinOverFull>=0.8 AND MinGFL5>=1.4;474;347;127;73.21;5.48;12.49
MinBTTSFull>=0.7 AND MinGFFull>=1.8;313;229;84;73.16;3.62;12.44
MinOverFull>=0.8 AND MinGAL5>=1.4;471;344;127;73.04;5.45;12.32
MinOverFull>=0.8 AND MinGAFull>=1.2;552;403;149;73.01;6.39;12.29
MinOverFull>=0.8 AND MinBTTSL5>=0.7;237;173;64;73.0;2.74;12.28
MinOverFull>=0.8 AND MinBTTSL5>=0.8;237;173;64;73.0;2.74;12.28
AvgBTTSFull>=0.8 AND MinGFL5>=1.8;244;178;66;72.95;2.82;12.23
MinOverFull>=0.8 AND MinGAL8>=1.2;542;395;147;72.88;6.27;12.16
MinOverL8>=0.8 AND MinBTTSL8>=0.8;140;102;38;72.86;1.62;12.14
MinOverFull>=0.8 AND MinGFL5>=1.8;331;241;90;72.81;3.83;12.09
MinOverFull>=0.8 AND AvgGAL7>=1.6;543;395;148;72.74;6.28;12.02
MinOverFull>=0.8 AND MinGAL7>=1.2;538;391;147;72.68;6.22;11.96
MinOverFull>=0.8 AND MinGFL8>=1.4;472;343;129;72.67;5.46;11.95
MinOverFull>=0.8 AND MinGAL8>=1.4;467;339;128;72.59;5.4;11.87
MinOverFull>=0.8 AND AvgGAL8>=1.6;547;397;150;72.58;6.33;11.86
MinOverFull>=0.8 AND MinBTTSL8>=0.8;131;95;36;72.52;1.52;11.8
MinOverFull>=0.8 AND MinGAL7>=1.4;480;348;132;72.5;5.55;11.78
MinOverFull>=0.8 AND MinGFL7>=1.4;476;345;131;72.48;5.51;11.76
MinOverFull>=0.8 AND AvgBTTSL8>=0.8;258;187;71;72.48;2.99;11.76
MinOverFull>=0.8 AND MinGAFull>=1.4;490;355;135;72.45;5.67;11.73
MinOverFull>=0.8 AND AvgGAL5>=1.6;544;394;150;72.43;6.29;11.71
MinOverL8>=0.8 AND AvgBTTSFull>=0.8;210;152;58;72.38;2.43;11.66
MinBTTSFull>=0.8 AND MinGFFull>=1.8;123;89;34;72.36;1.42;11.64
MinGFFull>=1.8 AND MinGAL7>=1.4;617;446;171;72.29;7.14;11.57
MinOverFull>=0.8 AND MinGFFull>=1.4;493;356;137;72.21;5.7;11.49
MinOverFull>=0.8 AND AvgGAL7>=1.4;590;426;164;72.2;6.83;11.48
MinOverFull>=0.8 AND MinGAL5>=1.2;532;384;148;72.18;6.16;11.46
AvgBTTSFull>=0.8 AND MinOverFull>=0.7;327;236;91;72.17;3.78;11.45
MinOverL8>=0.8 AND MinBTTSL7>=0.7;291;210;81;72.16;3.37;11.45
MinOverL8>=0.8 AND MinBTTSFull>=0.8;122;88;34;72.13;1.41;11.41
MinOverFull>=0.8 AND MinGFL5>=1.2;534;385;149;72.1;6.18;11.38
MinOverFull>=0.8 AND AvgBTTSL5>=0.7;487;351;136;72.07;5.63;11.35
MinOverFull>=0.8 AND MinBTTSL8>=0.7;247;178;69;72.06;2.86;11.35
MinOverFull>=0.8 AND AvgGAFull>=1.6;551;397;154;72.05;6.38;11.33
MinOverFull>=0.8 AND AvgGAL8>=1.4;590;425;165;72.03;6.83;11.31
MinOverFull>=0.8 AND AvgBTTSFull>=0.8;236;170;66;72.03;2.73;11.31
MinOverFull>=0.8 AND MinGFL5>=1.6;411;296;115;72.02;4.76;11.3
MinOverL7>=0.8 AND MinBTTSL8>=0.8;150;108;42;72.0;1.74;11.28
MinOverFull>=0.8 AND MinBTTSL8>=0.5;578;416;162;71.97;6.69;11.25
AvgBTTSFull>=0.8 AND MinGFFull>=1.8;239;172;67;71.97;2.77;11.25
MinOverL8>=0.8 AND MinBTTSFull>=0.7;214;154;60;71.96;2.48;11.24
MinOverFull>=0.8 AND MinGAL7>=1.0;588;423;165;71.94;6.8;11.22
MinOverFull>=0.8 AND MinBTTSFull>=0.8;135;97;38;71.85;1.56;11.13
MinOverL8>=0.8 AND AvgBTTSL5>=0.8;330;237;93;71.82;3.82;11.1
MinOverFull>=0.8 AND AvgGAFull>=1.4;596;428;168;71.81;6.9;11.09
MinGFL5>=1.8 AND MinGAL7>=1.4;733;526;207;71.76;8.48;11.04
MinOverFull>=0.8 AND MinBTTSL5>=0.5;506;363;143;71.74;5.85;11.02
MinOverFull>=0.8 AND MinBTTSL5>=0.6;506;363;143;71.74;5.85;11.02
MinOverFull>=0.8 AND MinBTTSL7>=0.5;548;393;155;71.72;6.34;11.0
MinGFFull>=1.8 AND MinGAL8>=1.2;826;592;234;71.67;9.56;10.95
MinGFL5>=1.8 AND MinGAL8>=1.4;666;477;189;71.62;7.71;10.9
MinGFFull>=1.8 AND AvgGAFull>=1.6;722;517;205;71.61;8.35;10.89
MinOverFull>=0.8 AND AvgBTTSFull>=0.6;581;416;165;71.6;6.72;10.88
MinOverFull>=0.8 AND MinBTTSFull>=0.5;574;411;163;71.6;6.64;10.88
MinOverFull>=0.7 AND MinBTTSFull>=0.8;176;126;50;71.59;2.04;10.87
MinOverFull>=0.8 AND AvgBTTSL7>=0.6;570;408;162;71.58;6.59;10.86
MinGFFull>=1.8 AND MinGAFull>=1.4;604;432;172;71.52;6.99;10.8
MinOverFull>=0.7 AND MinBTTSL8>=0.8;193;138;55;71.5;2.23;10.78
MinOverL8>=0.8 AND MinBTTSL5>=0.7;242;173;69;71.49;2.8;10.77
MinOverL8>=0.8 AND MinBTTSL5>=0.8;242;173;69;71.49;2.8;10.77
MinOverFull>=0.8 AND AvgBTTSL8>=0.6;578;413;165;71.45;6.69;10.73
MinOverFull>=0.8 AND MinGFL7>=1.2;525;375;150;71.43;6.07;10.71
MinOverFull>=0.8 AND MinGFFull>=1.6;420;300;120;71.43;4.86;10.71
MinOverFull>=0.8 AND AvgBTTSL7>=0.8;224;160;64;71.43;2.59;10.71
MinOverL8>=0.8 AND MinBTTSL7>=0.8;161;115;46;71.43;1.86;10.71
MinGFFull>=1.8 AND MinGAFull>=1.2;857;612;245;71.41;9.92;10.69
MinGFFull>=1.8 AND MinGAL7>=1.2;780;557;223;71.41;9.02;10.69
MinGFFull>=1.8 AND MinOverL5>=0.7;601;429;172;71.38;6.95;10.66
MinGFFull>=1.8 AND MinOverL5>=0.8;601;429;172;71.38;6.95;10.66
MinOverL8>=0.8 AND MinGFL5>=1.4;461;329;132;71.37;5.33;10.65
MinOverFull>=0.8 AND MinGFFull>=1.2;548;391;157;71.35;6.34;10.63
MinGFL5>=1.8 AND MinGAL5>=1.4;743;530;213;71.33;8.6;10.61
MinOverFull>=0.8 AND AvgBTTSL5>=0.6;593;423;170;71.33;6.86;10.61
MinOverFull>=0.8 AND MinGFL5>=1.0;579;413;166;71.33;6.7;10.61
MinGFL8>=1.8 AND MinGAL8>=1.4;551;393;158;71.32;6.38;10.61
MinOverFull>=0.8 AND MinGFL8>=1.2;530;378;152;71.32;6.13;10.6
MinGFFull>=1.8 AND AvgGAL7>=1.6;745;531;214;71.28;8.62;10.56
MinOverFull>=0.8 AND MinOverL5>=0.7;578;412;166;71.28;6.69;10.56
MinOverFull>=0.8 AND MinOverL5>=0.8;578;412;166;71.28;6.69;10.56
MinOverFull>=0.8 AND AvgBTTSFull>=0.7;449;320;129;71.27;5.19;10.55
MinGFFull>=1.8 AND MinBTTSL8>=0.7;358;255;103;71.23;4.14;10.51
MinOverL8>=0.8 AND MinGFL7>=1.4;462;329;133;71.21;5.35;10.49
MinBTTSFull>=0.7 AND MinOverL7>=0.8;250;178;72;71.2;2.89;10.48
MinOverFull>=0.8 AND MinGFFull>=1.8;333;237;96;71.17;3.85;10.45
MinGFFull>=1.8 AND AvgGAL7>=1.4;973;692;281;71.12;11.26;10.4
MinGFFull>=1.8 AND AvgGAL8>=1.4;972;691;281;71.09;11.25;10.37
MinOverFull>=0.8;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverFull>=0.7;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverFull>=0.6;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverL8>=0.6;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverL7>=0.5;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverL8>=0.5;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverL8>=0.4;640;455;185;71.09;7.4;10.37
MinOverFull>=0.8 AND MinOverFull>=0.5;640;455;185;71.09;7.4;10.37
