Band;Matches;Over15;Over15Pct;Over25;Over25Pct;Under25;Under25Pct
ALTA;0;0;0.0;0;0.0;0;0.0
MEDIA;0;0;0.0;0;0.0;0;0.0
BASSA;0;0;0.0;0;0.0;0;0.0
