LeagueId;Round;MatchDate;PredictionDate;Home;Away;Band;HistoricalStatus;Postponed;SourceFile
USA_USLLeagueTwo_SouthCentral;17;;2026-06-26;Birmingham 2;Swarm FC;BASSA;;NO;data\storico\ranking\v20\storico_ranking_v20.csv
FaroeIslands_PremierLeague;16;;2026-06-30;HB Torshavn;Skala Itrottarfelag;MEDIA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
FaroeIslands_PremierLeague;16;;2026-06-30;Toftir;Argir;MEDIA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
FaroeIslands_PremierLeague;16;;2026-06-30;Vikingur;Runavik;MEDIA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
Latvia_Virsliga;21;;2026-06-30;Auda;Riga FC;MEDIA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
Latvia_Virsliga;21;;2026-06-30;Jelgava;Grobina;BASSA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
Lithuania_Toplyga;23;;2026-06-30;FA Siauliai;Transinvest;ALTA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
Lithuania_Toplyga;23;;2026-06-30;FK Panevezys;Suduva;MEDIA;;NO;data\storico\ranking\v21\storico_ranking_v21.csv
Australia_NPLACT;16;;2026-07-04;Queanbeyan City;Tuggeranong Utd;ALTA;;NO;data\storico\ranking\v22\storico_ranking_v22.csv
Australia_NPLTasmania;14;;2026-07-04;Launceston;Launceston United;MEDIA;;NO;data\storico\ranking\v22\storico_ranking_v22.csv
Australia_TasmaniaNorthernChampionship;13;;2026-07-04;Launceston U21;Somerset;ALTA;;NO;data\storico\ranking\v22\storico_ranking_v22.csv
Australia_VictoriaPremierLeague2;19;;2026-07-04;Malvern;Eastern Lions;MEDIA;;NO;data\storico\ranking\v22\storico_ranking_v22.csv
USA_USLChampionship;22;;2026-07-05;FC Tulsa;Sacramento Republic;BASSA;;NO;data\storico\ranking\v24\storico_ranking_v24.csv
USA_USLLeagueTwo_MidAtlantic;28;;2026-07-05;Eagle FC;West Chester Utd;ALTA;;NO;data\storico\ranking\v24\storico_ranking_v24.csv
Australia_NPLNorthernNSW;19;;2026-07-07;Charlestown Azzurri;Weston Bears;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NPLNorthernNSW;19;;2026-07-08;Kahibah;Maitland;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NPLNorthernNSW;19;;2026-07-11;Edgeworth E.;Belmont Swansea Utd.;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NorthernNSWStateLeague;14;2026-07-12;2026-07-12;West Wallsend;New Lambton;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Kazakhstan_PremierLeague;27;2026-07-12;2026-07-12;Atyrau;Yelimay Semey;BASSA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NPLNorthernNSW;19;2026-07-14;2026-07-14;Kahibah;Maitland;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NPLNorthernNSW;20;2026-07-18;2026-07-18;Cooks Hill United;Broadmeadow;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NorthernNSWStateLeague;15;2026-07-18;2026-07-18;Lake Macquarie;Singleton Strikers;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NPLNorthernNSW;20;2026-07-19;2026-07-18;Charlestown Azzurri;Edgeworth E.;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NorthernNSWStateLeague;15;2026-07-19;2026-07-18;Dudley Redhead United;Newcastle Croatia;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Australia_NorthernNSWStateLeague;15;2026-07-19;2026-07-18;South Cardiff;Wallsend Red Devils;MEDIA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Somalia_NationalLeague;25;2026-07-22;2026-07-21;Gantaalaha Afgooye;Mogadishu City;MEDIA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Somalia_NationalLeague;25;2026-07-24;2026-07-23;Badbaado;Raadsan;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Somalia_NationalLeague;25;2026-07-24;2026-07-23;Elman;Jeenyo;BASSA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Finland_Kolmonen_Western_Group1;14;2026-07-25;2026-07-25;Peimari United;SalPa II;BASSA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Finland_Kolmonen_Western_Group2;14;2026-07-25;2026-07-25;TP-49;Ylojarvi United;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Finland_Kolmonen_Western_Group2;14;2026-07-25;2026-07-25;Tampere Utd II;Lasten;ALTA;;NO;data\storico\ranking\v25\storico_ranking_v25.csv
Slovenia_PrvaLiga;2;2026-07-25;2026-07-25;Aluminij;Celje;BASSA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Somalia_NationalLeague;25;2026-07-25;2026-07-25;Heegan;Jazeera;ALTA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Somalia_NationalLeague;25;2026-07-25;2026-07-25;Horseed;Jubba;MEDIA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
USA_USLChampionship;24;2026-07-25;2026-07-25;Birmingham;New Mexico;BASSA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
USA_USLLeagueTwo_PlayOff;4;2026-07-25;2026-07-25;Flint City;Peoria;ALTA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
USA_USLLeagueTwo_PlayOff;4;2026-07-25;2026-07-25;Laredo Heat;Fort Lauderdale;BASSA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
USA_USLLeagueTwo_PlayOff;4;2026-07-25;2026-07-25;Vermont Green;Asheville City;MEDIA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Eastern_Group3;13;2026-07-26;2026-07-26;Mikkelin Palloilijat II;Edustus IPS;ALTA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Southern_Group1;13;2026-07-26;2026-07-26;GrIFK/Akatemia U23;EPS Reservi;ALTA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Southern_Group2;13;2026-07-26;2026-07-26;PPJ/Lauttasaari;HPS/2;ALTA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Southern_Group3;13;2026-07-26;2026-07-26;Futura;RiPS;ALTA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Western_Group1;14;2026-07-28;2026-07-27;SalPa II;VG-62;MEDIA;;NO;data\storico\ranking\v251\storico_ranking_v251.csv
