LeagueId;Date;Round;Home;Away;HG;AG;Notes
Norway_3rdDivision_Group1;2026-06-25;12;Frigg;Asker;2;1;
Norway_3rdDivision_Group1;2026-06-25;12;Nordstrand;Ready;1;1;
