LeagueId;Round;MatchDate;Home;Away;HG;AG;Notes
Iceland_BestaDeildKarla;;2026-07-06;Keflavik;Fram;1;1;
Kyrgyzstan_PremierLiga;;2026-07-06;Bars;Ilbirs;4;1;
Latvia_Virsliga;;2026-07-06;Super Nova;Ogre United;1;2;
Lithuania_Toplyga;;2026-07-06;Suduva;Transinvest;0;0;
Somalia_NationalLeague;;2026-07-06;Raadsan;Dekedaha;3;6;
Sweden_Allsvenskan;;2026-07-06;Brommapojkarna;GAIS;1;1;
Sweden_Allsvenskan;;2026-07-06;Hacken;Djurgarden;2;4;
USA_USLChampionship;;2026-07-06;Miami FC;Birmingham;1;1;
USA_MLSNextPro_EasternConference_NortheastDivision;;2026-07-06;Cincinnati 2;New York Red Bulls II;2;2;After penalties 5-4
USA_MLSNextPro_EasternConference_NortheastDivision;;2026-07-06;Connecticut FC;Carolina Core;3;1;
USA_MLSNextPro_EasternConference_SoutheastDivision;;2026-07-06;Crown Legacy;Orlando City B;1;1;After penalties 4-2
USA_MLSNextPro_EasternConference_SoutheastDivision;;2026-07-06;Huntsville;Chicago Fire II;2;2;After penalties 3-2
USA_MLSNextPro_WesternConference_CentralDivision;;2026-07-06;Austin FC II;Colorado Rapids 2;3;2;
USA_MLSNextPro_WesternConference_PacificDivision;;2026-07-06;Los Angeles FC 2;Real Monarchs;2;2;After penalties 8-9
USA_MLSNextPro_WesternConference_PacificDivision;;2026-07-06;Tacoma Defiance;Portland Timbers 2;0;2;
USA_USLLeagueOne;;2026-07-06;Westchester SC;Boise;0;1;
USA_USLLeagueOne;;2026-07-06;AV Alta;Charlotte Independ.;1;1;
USA_USLLeagueTwo_SouthAtlantic;;2026-07-06;North Carolina FC U23;Asheville City;1;2;
USA_USLLeagueTwo_NorCal;;2026-07-06;San Francisco City;Academica SC;5;1;
USA_USLLeagueTwo_Northwest;;2026-07-06;Bigfoot;Portland Bangers;3;0;Awarded match
USA_USLLeagueTwo_MidSouth;;2026-07-06;Little Rock Rangers;Louisiana;2;0;
USA_USLLeagueTwo_SouthFlorida;;2026-07-06;Miami City;Miami;0;2;
USA_USLLeagueTwo_MidAtlantic;;2026-07-06;PA Classics;Reading;2;3;
USA_USLLeagueTwo_SouthCentral;;2026-07-06;East Atlanta;Birmingham 2;4;1;
USA_USLLeagueTwo_Metropolitan;;2026-07-06;Ironbound SC;Staten Island ASC;3;0;
USA_USLLeagueTwo_NorCal;;2026-07-06;Marin;Glens SC;1;1;
USA_USLLeagueTwo_Chesapeake;;2026-07-06;Northern Virginia;Patuxent;8;0;
USA_USLLeagueTwo_GreatLakes;;2026-07-06;Lansing City;Flint City;2;6;
