LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Finland_Kolmonen_Eastern_Group2;14;2026-07-29;KuPS/Akatemia 2;Kings;2;7;Finale;
Finland_Kolmonen_Eastern_Group3;14;2026-07-29;LAUTP;Mikkelin Palloilijat 2;2;3;Finale;
Finland_Kolmonen_Western_Group3;8;2026-07-29;KPV/Akatemia;Virkiä;2;4;Finale;
Finland_Kolmonen_Eastern_Group1;13;2026-07-29;SAPA;Blackbird;1;1;Finale;
Finland_Kolmonen_Southern_Group2;14;2026-07-29;TiPS;Valtti;3;2;Finale;
Finland_Kolmonen_Eastern_Group3;14;2026-07-26;Mikkelin Palloilijat 2;Edustus IPS;2;1;Finale;
Finland_Kolmonen_Western_Group1;14;2026-07-25;IFK 2;PiPS;3;1;Finale;
Finland_Kolmonen_Eastern_Group3;14;2026-07-25;LAUTP/2;LAUTP;0;1;Finale;
Finland_Kolmonen_Western_Group1;14;2026-07-25;Peimari United;SalPa 2;1;1;Finale;
Finland_Kolmonen_Western_Group1;14;2026-07-25;EuPa;LTU U20;0;0;Finale;
