LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Finland_Kolmonen_Southern_Group1;?;2026-07-23;HooGee;Pöxyt;1;2;Finale;
Finland_Kolmonen_Southern_Group3;?;2026-07-23;Ponnistus;Sibbo-Vargarna;0;2;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-23;KPV/Akatemia;VPV;2;1;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-23;NIK;VIFK;1;3;Finale;
Finland_Kolmonen_Southern_Group2;?;2026-07-23;Atlantis FC/2;Kontu;3;2;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-23;Kiisto;FC Ylivieska;0;1;Finale;
Finland_Kolmonen_Eastern_Group3;?;2026-07-23;KoPa;PeKa;2;2;Finale;
Finland_Kolmonen_Western_Group1;?;2026-07-23;VG 62;ÅCF;3;0;Finale;
Finland_Kolmonen_Western_Group1;?;2026-07-23;JyTy;MaPS Masku;1;1;Finale;
Finland_Kolmonen_Southern_Group2;?;2026-07-23;Toolon Taisto;TiPS;1;1;Finale;
Finland_Kolmonen_Western_Group2;?;2026-07-22;TPV/2;TP-T;3;0;Finale;
Finland_Kolmonen_Southern_Group3;?;2026-07-22;JäPS/47;Gnistan Ogeli;3;1;Finale;
Finland_Kolmonen_Eastern_Group1;?;2026-07-22;Blackbird;Komeetat;2;0;Finale;
Finland_Kolmonen_Western_Group1;?;2026-07-22;KaaPo;PIF;2;4;Finale;
Finland_Kolmonen_Eastern_Group2;?;2026-07-19;Zulimanit;PK-37 Iisalmi;0;2;Finale;
Finland_Kolmonen_Western_Group2;?;2026-07-17;FC LeKi;TP-T;0;2;Finale;
Finland_Kolmonen_Eastern_Group2;?;2026-07-17;Toivalan Urheilijat;Kings;0;8;Finale;
Finland_Kolmonen_Eastern_Group1;?;2026-07-17;Komeetat;JPS;1;1;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-16;NIK;Kiisto;0;0;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-16;SJK-j;KPV/Akatemia;6;3;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-16;VPV;Virkiä;1;0;Finale;
Finland_Kolmonen_North;?;2026-07-11;Villan Pojat;KePS;2;1;Finale;
Finland_Kolmonen_Western_Group3;?;2026-07-10;Sp. Kristina;Sundom IF;1;2;Finale;
