LeagueId;Round;MatchDate;Home;Away;HG;AG;Status;Notes
Australia_NPLNSW;24;2026-07-12;Marconi;WS Wanderers U21;3;0;Finale;
Australia_NPLNSW;24;2026-07-12;Sydney Utd;Rockdale Ilinden;1;0;Finale;
Australia_NPLNorthernNSW;19;2026-07-12;Broadmeadow;Newcastle Olympic;2;1;Finale;
Australia_NPLNorthernNSW;19;2026-07-12;Valentine;Kahibah;3;2;Finale;
Australia_NPLQueensland;19;2026-07-12;Gold Coast;Olympic FC;3;0;Finale;
Australia_NPLQueensland;19;2026-07-12;Gold Coast Knights;Brisbane City;0;0;Finale;
Australia_NPLQueensland;19;2026-07-12;Queensland Lions;Eastern Suburbs;1;0;Finale;
Australia_NPLQueenslandU23;19;2026-07-12;Gold Coast Blaze U23;Olympic FC U23;7;1;Finale;
Australia_NPLQueenslandU23;19;2026-07-12;Gold Coast Knights U23;Brisbane City U23;3;1;Finale;
Australia_NPLQueenslandU23;19;2026-07-12;QLD State Team U17;Rochedale U23;1;3;Finale;
Australia_NPLQueenslandU23;19;2026-07-12;Queensland Lions U23;Eastern Suburbs U23;1;1;Finale;
Australia_NPLVictoria;21;2026-07-12;St Albans;George Cross;2;2;Finale;
Australia_NPL_NSW_U20;24;2026-07-12;Marconi S. U20;WS Wanderers U20;3;1;Finale;
Australia_NPL_NSW_U20;24;2026-07-12;Sydney Utd U20;Rockdale Ilinden U20;6;0;Finale;
Australia_NSWLeagueOne;24;2026-07-12;Central Coast Mariners U23;Blacktown Spartans;0;2;Finale;
Australia_NorthernNSWStateLeague;14;2026-07-12;Toronto Awaba Stags;Wallsend Red Devils;2;2;Finale;
Australia_QueenslandPremierLeague;20;2026-07-12;Sunshine Coast Wanderers;Brisbane Strikers;0;2;Finale;
Belarus_PershayaLiga;16;2026-07-12;Gomel 2;BumProm Gomel;1;1;Finale;
Belarus_PershayaLiga;16;2026-07-12;Volna Pinsk;Soligorsk;2;4;Finale;
Belarus_VysshayaLiga;16;2026-07-12;Arsenal Dzerzhinsk;Vitebsk;0;3;Finale;
Bolivia_DivisionProfesional;12;2026-07-12;Real Potosi;Nacional Potosi;1;1;Finale;
Bolivia_DivisionProfesional;12;2026-07-12;The Strongest;Bolivar;1;1;Finale;
Estonia_Esiliiga;21;2026-07-12;Nomme Utd U21;Flora U21;1;1;Finale;
Estonia_EsiliigaB;19;2026-07-12;Johvi Phoenix;Parnu JK Vaprus U21;4;2;Finale;
Estonia_EsiliigaB;19;2026-07-12;Levadia U19;Tallinna Kalev U21;4;1;Finale;
Estonia_EsiliigaB;19;2026-07-12;Tammeka U21;Narva U21;2;1;Finale;
Estonia_EsiliigaB;19;2026-07-12;Tartu Kalev;Legion;10;2;Finale;
Finland_Kakkonen_GroupA;13;2026-07-12;Lahden Reipas;HIFK;1;1;Finale;
Finland_Kakkonen_GroupC;14;2026-07-12;Narpes Kraft;VPS 2;3;2;Finale;
Finland_Kakkonen_GroupC;14;2026-07-12;SJK Akatemia 2;TP-47;0;0;Finale;
Finland_Kakkonen_GroupC;14;2026-07-12;Vaajakoski;Jaro 2;5;2;Finale;
Iceland_BestaDeildKarla;19;2026-07-12;Akureyri;Akranes;3;2;Finale;
Iceland_BestaDeildKarla;19;2026-07-12;Fram;Thor Akureyri;6;1;Finale;
Iceland_BestaDeildKarla;19;2026-07-12;Hafnarfjordur;Valur;2;0;Finale;
