LeagueId;Round;MatchDate;Home;Away;HG;AG;Notes
Australia_SAStateLeague;?;2026-07-16;Fulham Utd.;Cumberland Utd.;1;3;
Bhutan_PremierLeague;?;2026-07-16;Thimphu FC;Paro;1;5;
Bolivia_DivisionProfesional;?;2026-07-16;Real Potosi;SA Bulo Bulo;5;0;
Bolivia_DivisionProfesional;?;2026-07-16;The Strongest;Oriente Petrolero;2;1;
Bolivia_DivisionProfesional;?;2026-07-16;Academia del Balompie;Independiente;3;1;
Estonia_Esiliiga;?;2026-07-16;Viimsi JK;Elva;1;3;
Finland_Kakkonen_GroupA;?;2026-07-16;HIFK;PPJ;1;2;
Iceland_Division_1;?;2026-07-16;Afturelding;Leiknir;3;2;
Kazakhstan_FirstLeague;?;2026-07-16;FC Batyr;Shakhter K.;0;2;
Kazakhstan_FirstLeague;?;2026-07-16;Arys;Turan;0;4;
Kazakhstan_FirstLeague;?;2026-07-16;Taraz;Aktobe 2;1;1;
Kazakhstan_FirstLeague;?;2026-07-16;Khan Tengri;Yelimay Semey 2;0;1;
Norway_Eliteserien;?;2026-07-16;Vålerenga;Aalesund;6;1;
Somalia_NationalLeague;?;2026-07-16;Jeenyo;Heegan;0;0;
Somalia_NationalLeague;?;2026-07-16;Raadsan;Jubba;8;2;
USA_USLChampionship;?;2026-07-16;Lexington;New Mexico;1;4;
USA_USLChampionship;?;2026-07-16;Miami FC;Indy Eleven;2;0;
USA_USLChampionship;?;2026-07-16;Sporting Jax;Pittsburgh;2;1;
USA_MLSNextPro_EasternConference_NortheastDivision;?;2026-07-16;New England Revolution II;Columbus Crew 2;2;2;After penalties 3-4
USA_USLLeagueOne;?;2026-07-16;One Knoxville;Fort Wayne;2;1;
USA_USLLeagueOne;?;2026-07-16;Chattanooga Red Wolves;AV Alta;1;0;
USA_USLLeagueOne;?;2026-07-16;Forward Madison;Richmond Kickers;4;0;
USA_USLLeagueTwo_PlayOff;?;2026-07-16;Fort Lauderdale;Swarm FC;4;0;
USA_USLLeagueTwo_PlayOff;?;2026-07-16;Minneapolis City;West Virginia;2;0;
