LeagueId;Round;MatchDate;PredictionDate;Home;Away;HG;AG;Status
Austria_Steiermark;4;2026-09-15;2026-09-15;SV Wildon;SV Schermann Rorhrach;0;2;Finale
Spain_LaLiga;8;2026-09-15;2026-09-15;Vallecano;Espanyol;2;1;Finale
Finland_Kolmonen_Eastern_Group2;22;2026-09-16;2026-09-16;Jippo-J/Punamusta;Niemisen Urheilijat;1;3;Finale
Spain_LaLiga;9;2026-09-16;2026-09-16;Levante;Ath. Bilbao;;;Posticipata
Finland_Kolmonen_Eastern_Group3;23;2026-09-17;2026-09-16;Mikkelin Pallo-Kissat;KJP;2;2;Finale
Finland_Kolmonen_Southern_Group1;20;2026-09-17;2026-09-16;EIF/Akademi;Gilla FC;4;2;Finale
